RegID,RegStatus,RegDate,CourseID,StudentID,CourseOffering.CourseID,CourseOffering.CourseName,CourseOffering.CourseDescription,CourseOffering.CourseType,Student.StudentID,Student.StudentName,Student.Semester,RegStatusFlag
2149,"Web Registered",2021-05-05 00:00:00.000,6001,295,6001,"Web Tools and Methods","Introductory course diving into REST API and Java","InPerson",295,"mondragon renyer",3,0
2520,"Web Registered",2021-05-05 00:00:00.000,6000,174,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",174,"latty abdul-raqib",4,0
2572,"Web Registered",2021-05-05 00:00:00.000,6003,391,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",391,"surens tolhurst",3,0
2668,"Web Registered",2021-05-05 00:00:00.000,6008,157,6008,"Network Structures and Cloud Computing","focuses on the fundamentals of cloud computing, the principal areas of cloud architectures, cloud security, cloud governance, cloud storage, cloud virtualization and cloud capacity","Online",157,"latronya abdelaziz",4,0
2944,"Web Registered",2021-05-05 00:00:00.000,6002,248,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",248,"laura- jiron",3,0
3080,"Web Registered",2021-05-05 00:00:00.000,6000,265,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",265,"monce renouf",3,0
3259,"Web Registered",2021-05-05 00:00:00.000,6003,361,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",361,"surabhi sweitzer",2,0
3391,"Web Registered",2021-05-05 00:00:00.000,6002,278,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",278,"moncheri rentas-paniagua",2,0
3800,"Web Registered",2021-05-05 00:00:00.000,6002,296,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",296,"mondre renz",2,0
3818,"Web Registered",2021-05-05 00:00:00.000,6000,255,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",255,"monasha jitander",2,0
3884,"Web Registered",2021-05-05 00:00:00.000,6003,211,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",211,"laud canestrini",3,0
4035,"Web Registered",2021-05-05 00:00:00.000,6000,137,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",137,"latricha abbe",4,0
4041,"Web Registered",2021-05-05 00:00:00.000,6003,161,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",161,"latryce abdelmuti",1,0
4051,"Web Registered",2021-05-05 00:00:00.000,6002,268,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",268,"moncerat rensberger",3,0
4070,"Web Registered",2021-05-05 00:00:00.000,6002,318,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",318,"raequan repinski",2,0
4090,"Web Registered",2021-05-05 00:00:00.000,6003,301,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",301,"monea renzoni",3,0
4227,"Web Registered",2021-05-05 00:00:00.000,6002,132,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",132,"aadhira abbasi",4,0
4307,"Web Registered",2021-05-05 00:00:00.000,6002,395,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",395,"sureya toliver",3,0
4406,"Web Registered",2021-05-05 00:00:00.000,6002,298,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",298,"monds renzelman",2,0
4555,"Web Registered",2021-05-05 00:00:00.000,6004,305,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",305,"monee reome",4,0
4655,"Web Registered",2021-05-05 00:00:00.000,6002,238,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",238,"launcelot jipp",3,0
4689,"Web Registered",2021-05-05 00:00:00.000,6000,275,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",275,"monchelle renta-vives",2,0
4864,"Web Registered",2021-05-05 00:00:00.000,6003,191,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",191,"latyna candito",2,0
4916,"Web Registered",2021-05-05 00:00:00.000,6002,288,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",288,"mondarius rentz",2,0
4958,"Web Registered",2021-05-05 00:00:00.000,6002,276,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",276,"monchello rentar",2,0
5103,"Web Registered",2021-05-05 00:00:00.000,6003,271,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",271,"moncerrat rensen",3,0
5266,"Web Registered",2021-05-05 00:00:00.000,6000,245,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",245,"launius jirik",3,0
5349,"Web Registered",2021-05-05 00:00:00.000,6003,201,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",201,"laubestein canel",3,0
5360,"Web Registered",2021-05-05 00:00:00.000,6000,315,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",315,"raeona repetowski",3,0
5474,"Web Registered",2021-05-05 00:00:00.000,6003,371,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",371,"suranjan tola",3,0
5608,"Web Registered",2021-05-05 00:00:00.000,6002,286,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",286,"monda rentoulis",3,0
5619,"Web Registered",2021-05-05 00:00:00.000,6003,341,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",341,"raey riise",2,0
5684,"Web Registered",2021-05-05 00:00:00.000,6003,171,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",171,"lattimore abdul-haqq",2,0
5685,"Web Registered",2021-05-05 00:00:00.000,6003,261,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",261,"monaye jitesh",2,0
6034,"Web Registered",2021-05-05 00:00:00.000,6000,127,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",127,"aadham abaya",1,0
6112,"Web Registered",2021-05-05 00:00:00.000,6002,258,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",258,"monastersky jitender",4,0
6116,"Web Registered",2021-05-05 00:00:00.000,6002,140,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",140,"latrika abberger",1,0
6193,"Web Registered",2021-05-05 00:00:00.000,6010,283,6010,"Program Structures and Algorithms","Presents data structures and related algorithms, beginning with a brief review of dynamic memory allocation","InPerson",283,"moncur rentfrow",4,0
6224,"Web Registered",2021-05-05 00:00:00.000,6002,304,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",304,"monecia reola",4,0
6247,"Web Registered",2021-05-05 00:00:00.000,6002,308,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",308,"moneek reopell",3,0
6432,"Web Registered",2021-05-05 00:00:00.000,6002,122,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",122,"aadan abati",1,0
6454,"Web Registered",2021-05-05 00:00:00.000,6000,177,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",177,"latundra abdulkarim",2,0
6595,"Web Registered",2021-05-05 00:00:00.000,6003,241,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",241,"laundyn jirak",4,0
6922,"Web Registered",2021-05-05 00:00:00.000,6002,168,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",168,"latterll abdool",1,0
6942,"Web Registered",2021-05-05 00:00:00.000,6008,147,6008,"Network Structures and Cloud Computing","focuses on the fundamentals of cloud computing, the principal areas of cloud architectures, cloud security, cloud governance, cloud storage, cloud virtualization and cloud capacity","Online",147,"latrise abbott",1,0
6948,"Web Registered",2021-05-05 00:00:00.000,6002,385,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",385,"surena tolen",3,0
7066,"Web Registered",2021-05-05 00:00:00.000,6002,130,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",130,"aadhavan abbamonte",2,0
7261,"Web Registered",2021-05-05 00:00:00.000,6003,281,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",281,"moncrieffe renteria",2,0
7448,"Web Registered",2021-05-05 00:00:00.000,6000,165,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",165,"latt abdin",1,0
7651,"Web Registered",2021-05-05 00:00:00.000,6002,306,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",306,"moneeb reon",3,0
7890,"Web Registered",2021-05-05 00:00:00.000,6003,251,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",251,"monali jisan",3,0
7915,"Web Registered",2021-05-05 00:00:00.000,6003,151,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",151,"latrissa abby",2,0
7954,"Web Registered",2021-05-05 00:00:00.000,6001,292,6001,"Web Tools and Methods","Introductory course diving into REST API and Java","InPerson",292,"mondesir renwick",3,0
7963,"Web Registered",2021-05-05 00:00:00.000,6009,305,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",305,"monee reome",4,0
8132,"Web Registered",2021-05-05 00:00:00.000,6003,351,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",351,"supple sweezer",2,0
8267,"Web Registered",2021-05-05 00:00:00.000,6003,221,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",221,"laudny jimmi",4,0
8367,"Web Registered",2021-05-05 00:00:00.000,6000,382,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",382,"sureena toledano",2,0
8411,"Web Registered",2021-05-05 00:00:00.000,6002,249,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",249,"laura-ann jirsa",3,0
8569,"Web Registered",2021-05-05 00:00:00.000,6000,235,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",235,"lauma jinnerson",2,0
8719,"Web Registered",2021-05-05 00:00:00.000,6003,231,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",231,"laughton jinkens",3,0
8791,"Web Registered",2021-05-05 00:00:00.000,6002,148,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",148,"latrish abboud",1,0
8838,"Web Registered",2021-05-05 00:00:00.000,6000,167,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",167,"lattarulo abdon",1,0
8941,"Web Registered",2021-05-05 00:00:00.000,6003,381,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",381,"suree tole",2,0
1004,"Web Registered",2021-06-11 00:00:00.000,6004,278,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",278,"moncheri rentas-paniagua",2,0
1026,"Web Registered",2021-04-21 00:00:00.000,6000,349,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",349,"suphiye rikard",3,0
1086,"Web Registered",2021-04-21 00:00:00.000,6000,169,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",169,"lattie abdou",1,0
1144,"Web Registered",2021-04-21 00:00:00.000,6000,369,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",369,"surajmal tokunaga",3,0
1156,"Web Registered",2021-06-08 00:00:00.000,6008,151,6008,"Network Structures and Cloud Computing","focuses on the fundamentals of cloud computing, the principal areas of cloud architectures, cloud security, cloud governance, cloud storage, cloud virtualization and cloud capacity","Online",151,"latrissa abby",2,0
1198,"Web Registered",2021-06-08 00:00:00.000,6000,121,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",121,"aadam gilchrist",1,0
1234,"Web Registered",2021-06-25 00:00:00.000,6007,276,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",276,"monchello rentar",2,0
1243,"Web Registered",2021-06-06 00:00:00.000,6003,307,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",307,"moneeba reontae",3,0
1251,"Web Registered",2021-06-11 00:00:00.000,6007,272,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",272,"moncerrath renshaw",3,0
1262,"Web Registered",2021-04-21 00:00:00.000,6005,399,6005,"Datawarehousing and Business Intelligence","Examines the technical and management aspects of building a data warehouse","InPerson",399,"surgyan tollefsrud",3,0
1280,"Web Registered",2021-06-25 00:00:00.000,6007,196,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",196,"lauana candozo",3,0
1281,"Web Registered",2021-06-06 00:00:00.000,6000,343,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",343,"raeyah rijo",3,0
1329,"Web Registered",2021-06-25 00:00:00.000,6007,366,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",366,"suraiyah swem",2,0
1332,"Web Registered",2021-05-16 00:00:00.000,6009,107,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",107,"Steph Curry",2,0
1335,"Web Registered",2021-06-25 00:00:00.000,6007,206,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",206,"lauchlen canelo",3,0
1350,"Web Registered",2021-05-16 00:00:00.000,6009,357,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",357,"suprit sweigard",3,0
1401,"Web Registered",2021-04-21 00:00:00.000,6009,125,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",125,"aaden abatti",1,0
1407,"Web Registered",2023-05-05 00:00:00.000,6002,332,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",332,"raeto rihana",3,0
1413,"Web Registered",2023-05-05 00:00:00.000,6002,172,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",172,"latton abdul-jabbar",2,0
1414,"Web Registered",2023-05-05 00:00:00.000,6002,342,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",342,"raeya rijakpal",4,0
1418,"Web Registered",2023-05-05 00:00:00.000,6002,312,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",312,"raeniyah repass",3,0
1419,"Web Registered",2021-06-25 00:00:00.000,6007,156,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",156,"latrone abdelal",2,0
1420,"Web Registered",2021-05-16 00:00:00.000,6009,237,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",237,"launce jinwright",4,0
1445,"Web Registered",2021-06-25 00:00:00.000,6007,166,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",166,"latta abdo",1,0
1451,"Web Registered",2021-06-11 00:00:00.000,6007,312,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",312,"raeniyah repass",3,0
1453,"Web Registered",2021-06-11 00:00:00.000,6007,242,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",242,"launi jiran",4,0
1498,"Web Registered",2021-06-25 00:00:00.000,6007,236,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",236,"launa jinright",2,0
1529,"Web Registered",2021-06-06 00:00:00.000,6000,363,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",363,"surah swelgart",4,0
1538,"Web Registered",2021-06-11 00:00:00.000,6004,328,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",328,"raeshell rigueiro",3,0
1582,"Web Registered",2021-05-16 00:00:00.000,6009,157,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",157,"latronya abdelaziz",4,0
1630,"Web Registered",2021-06-06 00:00:00.000,6000,373,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",373,"surat toland",3,0
1656,"Web Registered",2021-06-08 00:00:00.000,6005,307,6005,"Datawarehousing and Business Intelligence","Examines the technical and management aspects of building a data warehouse","InPerson",307,"moneeba reontae",3,0
1660,"Web Registered",2021-06-25 00:00:00.000,6007,106,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",106,"Kal Mathews",1,0
1739,"Web Registered",2021-05-16 00:00:00.000,6009,367,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",367,"suraj swenceski",4,0
1751,"Web Registered",2021-05-16 00:00:00.000,6009,177,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",177,"latundra abdulkarim",2,0
1758,"Web Registered",2021-06-08 00:00:00.000,6008,307,6008,"Network Structures and Cloud Computing","focuses on the fundamentals of cloud computing, the principal areas of cloud architectures, cloud security, cloud governance, cloud storage, cloud virtualization and cloud capacity","Online",307,"moneeba reontae",3,0
1791,"Web Registered",2021-04-21 00:00:00.000,6000,186,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",186,"latwanda canders",1,0
1793,"Web Registered",2023-05-05 00:00:00.000,6002,101,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",101,"Yucong Liu",1,0
1834,"Web Registered",2021-04-21 00:00:00.000,6001,179,6001,"Web Tools and Methods","Introductory course diving into REST API and Java","InPerson",179,"latunja abdullah",4,0
1836,"Web Registered",2021-06-06 00:00:00.000,6003,295,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",295,"mondragon renyer",3,0
1858,"Web Registered",2023-05-05 00:00:00.000,6002,259,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",259,"monay jitendr",3,0
1865,"Web Registered",2021-06-06 00:00:00.000,6000,153,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",153,"latrivia abdalla",4,0
1914,"Web Registered",2021-04-21 00:00:00.000,6009,390,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",390,"surenity tolfree",3,0
1970,"Web Registered",2021-06-06 00:00:00.000,6003,167,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",167,"lattarulo abdon",1,0
1977,"Web Registered",2021-05-16 00:00:00.000,6009,227,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",227,"laughlin-jay jinenez",3,0
1999,"Web Registered",2021-04-21 00:00:00.000,6009,253,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",253,"monarrez jishant",3,0
2003,"Web Registered",2021-04-21 00:00:00.000,6009,135,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",135,"latrica abbatiello",2,0
2008,"Web Registered",2021-06-11 00:00:00.000,6010,149,6010,"Program Structures and Algorithms","Presents data structures and related algorithms, beginning with a brief review of dynamic memory allocation","InPerson",149,"latrisha abbruzzese",2,0
2038,"Web Registered",2023-05-05 00:00:00.000,6002,202,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",202,"laubin canela",3,0
2044,"Web Registered",2021-06-11 00:00:00.000,6004,178,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",178,"latunia abdulla",4,0
2055,"Web Registered",2021-06-11 00:00:00.000,6007,154,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",154,"latron abdallah",1,0
2085,"Web Registered",2021-06-11 00:00:00.000,6007,302,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",302,"moneak renzulli",2,0
2087,"Web Registered",2023-05-05 00:00:00.000,6002,192,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",192,"latyra candland",2,0
2091,"Web Registered",2021-05-16 00:00:00.000,6009,287,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",287,"mondale rentschler",3,0
2144,"Web Registered",2021-04-11 00:00:00.000,6004,234,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",234,"lauklyn jinks",2,0
2147,"Web Registered",2021-06-06 00:00:00.000,6000,152,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",152,"latrista abdal",2,0
2180,"Web Registered",2023-05-05 00:00:00.000,6002,392,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",392,"suresh tolin",3,0
2184,"Web Registered",2021-04-21 00:00:00.000,6009,313,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",313,"raenna repenning",3,0
2211,"Web Registered",2021-06-11 00:00:00.000,6004,168,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",168,"latterll abdool",1,0
2293,"Web Registered",2021-06-06 00:00:00.000,6000,243,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",243,"launia jirasek",3,0
2322,"Web Registered",2021-06-25 00:00:00.000,6007,256,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",256,"monasia jitchaku",2,0
2391,"Web Registered",2021-05-16 00:00:00.000,6009,217,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",217,"laudermilk jiminian",3,0
2404,"Web Registered",2021-04-21 00:00:00.000,6000,184,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",184,"latwan candell",1,0
2428,"Web Registered",2021-06-06 00:00:00.000,6000,203,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",203,"lauby caneles",3,0
2442,"Web Registered",2021-04-11 00:00:00.000,6004,254,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",254,"monarski jisu",2,0
2445,"Web Registered",2021-06-06 00:00:00.000,6003,147,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",147,"latrise abbott",1,0
2530,"Web Registered",2023-05-05 00:00:00.000,6002,322,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",322,"raeqwan replenski",3,0
2539,"Web Registered",2021-06-25 00:00:00.000,6007,306,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",306,"moneeb reon",3,0
2594,"Web Registered",2021-06-11 00:00:00.000,6007,399,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",399,"surgyan tollefsrud",3,0
2613,"Web Registered",2023-05-05 00:00:00.000,6002,162,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",162,"latsha abdelrahman",2,0
2618,"Web Registered",2021-06-11 00:00:00.000,6007,162,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",162,"latsha abdelrahman",2,0
2665,"Web Registered",2023-05-05 00:00:00.000,6002,302,6002,"UX Design and Testing","Deals with wireframing and testing softwares","Online",302,"moneak renzulli",2,0
2687,"Web Registered",2021-06-06 00:00:00.000,6003,149,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",149,"latrisha abbruzzese",2,0
2721,"Web Registered",2021-06-06 00:00:00.000,6003,394,6003,"Database Management and Design","Deals with designing databases and running complex queries","Online",394,"sureskumar toliongco",3,0
2722,"Web Registered",2021-06-25 00:00:00.000,6007,180,6007,"Application Engineering Development"," Employs the object-oriented paradigm, visual user experience, and system design principles to put together complicated, powerful, real-world applications","Online",180,"latunya abdullai",1,0
2742,"Web Registered",2021-06-11 00:00:00.000,6004,188,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",188,"latwon candido",1,0
2774,"Web Registered",2021-06-06 00:00:00.000,6009,290,6009,"Big Data Systems","Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs","InPerson",290,"mondel renuart",3,0
2792,"Web Registered",2021-04-21 00:00:00.000,6000,229,6000,"Web Design","Introduction to basics of HTML,CSS and JavaScript","InPerson",229,"laughry jing",3,0
2803,"Web Registered",2021-04-11 00:00:00.000,6004,146,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",146,"latrisa abbot",1,0
2805,"Web Registered",2021-04-11 00:00:00.000,6004,391,6004,"Design Patterns","Introducses to the best practices used by experienced object-oriented software developers","Online",391,"surens tolhurst",3,0
2822,"Web Registered",2021-06-11 00:00:00.000,6010,393,6010,"Program Structures and Algorithms","Presents data structures and related algorithms, beginning with a brief review of dynamic memory allocation","InPerson",393,"sureshkumar toline",2,0
