CustomerID,Customer,CustomerContactName,CountryCode,CustomerCountry,CustomerAddress,CustomerCity,CustomerPhone
57,"Jazz Style Fashion& Art","Dizzi Gillespi","FR","France","265, boulevard Charonne","Paris","(1) 42.34.22.66"
38,"King Size Clothes","Al Yankovic","UK","UK","Garden House Crowther Way","Cowes","(198) 555-8888"
52,"Kohl Industries AG","Helmuth Klein","DE","Germany","Heerstr. 22","Leipzig","0342-023176"
40,"La Boheme","Philippe de Laval","FR","France","67, avenue de l'Europe","Versailles","30.59.84.10"
22,"La Camisas Cansadas","Filemón","ES","Spain","C/ Moralzarzal, 86","Madrid","(91) 555 94 44"
9,"La Legion Mercenaire","Bernard de Gaule","FR","France","12, rue des Bouchers","Marseille","91.24.45.40"
69,"La Moda Alucinante","Emilio Ilegal","ES","Spain","Gran Vía, 1","Madrid","(91) 745 6200"
49,"La Moda d'il Futuri","Luca Brassi","IT","Italy","Via Ludovico il Moro 22","Bergamo","035-640230"
58,"La Moda Pasada","Francisca Font Barceló","MX","Mexico","Calle Dr. Jorge Cash 321","México D.F.","(5) 552-3745"
60,"La Roba do Santho","Leopoldo Samba","PT","Portugal","Estrada da saúde n. 58","Lisboa","(1) 356-5634"
3,"La Ropa Vieja","Sancho Panza","MX","Mexico","C/ Ritual de lo Habitual 2312","México D.F.","(5) 555-3932"
2,"La Tienda de la Esquina","Paco el Maco","MX","Mexico","Avda. de la Constitución 2222","México D.F.","(5) 555-4729"
8,"Las Corbatas","Julio Iglesias","ES","Spain","C/ de Don Quijote, 67","Madrid","(91) 555 22 82"
26,"Le Sais de Rión","Jeanne d´Anjou","FR","France","54, rue Royale","Nantes","40.32.21.21"
90,"Leningrad Cowboys Shop","Reijoo Haajanen","FI","Finland","Keskuskatu 45","Helsinki","90-224 8858"
54,"Los Espandrilos Fantasticos","Don Gerardo","AR","Argentina","La Colomina la buena vista Piso 20-A","Buenos Aires","(1) 135-5333"
12,"Los Pantalones Magicos","Victoria Abril","AR","Argentina","Plaza de Mayo 6","Buenos Aires","(1) 135-5555"
13,"Los Sombreros Gigantes","Speedy Gonzales","MX","Mexico","El Barrio Chino 12","México D.F.","(5) 555-3392"
30,"Los Trajes de Matador","El Cordobes","ES","Spain","Finca La Campana, 33","Sevilla","(95) 555 82 82"
46,"Los Vatos Locos","Tony Montana","VE","Venezuela","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","(9) 331-6954"
75,"Macalena","Paul Smith","US","USA","P.O. Box 555","Lander","(307) 555-4680"
6,"Man Kleider","Herman Hinschler","DE","Germany","Forsterstr. 57","Mannheim","0621-08460"
7,"Menàge à Trois","Julie Binoché","FR","France","24, place Kléber","Strasbourg","88.60.15.31"
81,"Merced do Vaile","Mercedes Couto","BR","Brazil","Av. Inês de Castro, 414","São Paulo","(11) 555-2167"
42,"Millenium","Joe Barry","CA","Canada","1900 Oak St.","Vancouver","(604) 555-3392"
94,"Modehuset Abel","Dennis Olsen","DK","Denmark","Smagsløget 45","Århus","86213243"
89,"Nirvana Stores","Alice Chain","US","USA","305 - 14th Ave. S. Suite 3B","Seattle","(206) 555-4112"
39,"Noch Einmal GMBH","Dieter Rummernige","DE","Germany","Maubelstr. 90","Brandenburg","0555-09876"
31,"Paintho da Gama","Anna Figo","BR","Brazil","Av. Brasil, 442","Campinas","(11) 555-9482"
87,"Perkii Urkii","Miiko Heikillä","FI","Finland","Torikatu 38","Oulu","981-443655"
85,"Pour l´homme","Henry Renault","FR","France","59 rue de l'Abbaye","Reims","26.47.15.10"
36,"Pulp Toxedos","Marcellus Wallace","US","USA","City Center Plaza 516 Main St.","Elgin","(503) 555-6874"
62,"Roba di Piel","Jorge Alemaio","BR","Brazil","Alameda dos Canàrios, 891","São Paulo","(11) 555-1189"
73,"Rode & Vite","Preben Elkjaer","DK","Denmark","Vinbæltet 34","København","31123456"
64,"Ropa total","Emerson Fittipaldi","AR","Argentina","Av. del Libertador 900","Buenos Aires","(1) 123-5555"
11,"Shoe Expert","David Foot","UK","UK","Fauntleroy Circus","London","(171) 555-1212"
20,"Ski Store","Lars Saalbach","AT","Austria","Kirchgasse 6","Graz","7675-3425"
91,"Slotzy Danz","Boniekk Wallessa","PL","Poland","ul. Filtrowa 68","Warszawa","(26) 642-7012"
24,"Sport & Fritid AB","Linda Haglund","SE","Sweden","Åkergatan 24","Bräcke","0695-34 67 21"
66,"Sport Shop","Anna Bella","IT","Italy","Strada Provinciale 124","Reggio Emilia","0522-556721"
55,"SSS-Sport Shoes Store","Al Bundy","US","USA","2743 Bering St.","Anchorage","(907) 555-7584"
127,"Stephanies","Staffan Blond","SE","Sweden","Gatauppochner. 1","Stockholm","(8) 10 20 30"
71,"Sunny Ski Store","Perry Farell","US","USA","187 Suffolk Ln.","Boise","(208) 555-8097"
15,"Tendha do Flamengo","Edson Arantes do Nascimento","BR","Brazil","Av. dos Lusíadas, 23","São Paulo","(11) 555-7647"
19,"Th Fashing","Greg Thatcher","UK","UK","35 King George","London","(171) 555-0297"
32,"The Corner Store","Ross The Boss","US","USA","2732 Baker Blvd.","Eugene","(503) 555-7555"
16,"The sharped dressed man","Ian Wright","UK","UK","Berkeley Gardens 12 Brewery","London","(171) 555-2282"
48,"Too Hot 4U","Andrea Pamelsson","US","USA","89 Chiaroscuro Rd.","Portland","(503) 555-9573"
78,"TTT-The Ticky Tie","Mary Stone","US","USA","55 Grizzly Peak Rd.","Butte","(406) 555-5834"
5,"Urras Shop","Urra Gurra Aktersnurra","SE","Sweden","Berguvsvägen 8","Luleå","0921-12 34 65"
44,"Warp AG","Klaus Deum","DE","Germany","Magazinweg 7","Frankfurt a.M.","069-0245984"
65,"X-Site","Malcolm X","US","USA","2817 Milton Dr.","Albuquerque","(505) 555-5939"
