customerkey,nome,sobrenome,nome_completo,genero,primeira_compra,Cidade
14806,"Damien","Jai","Damien Jai","Male",2020-04-22 00:00:00.000,"London"
14820,"Drew","Bhat","Drew Bhat","Male",2020-02-14 00:00:00.000,"London"
14928,"Roy","Patel","Roy Patel","Male",2018-07-30 00:00:00.000,"London"
14934,"Jermaine","Sai","Jermaine Sai","Male",2020-11-10 00:00:00.000,"London"
14968,"Troy","Patel","Troy Patel","Male",2020-07-30 00:00:00.000,"London"
14974,"K.","Saravan","K. Saravan","Male",2020-03-31 00:00:00.000,"London"
15119,"Johnny","Tang","Johnny Tang","Male",2020-05-25 00:00:00.000,"London"
15653,"Gerald","Madan","Gerald Madan","Male",2018-11-09 00:00:00.000,"London"
15686,"Pedro","Vazquez","Pedro Vazquez","Male",2020-02-26 00:00:00.000,"London"
16187,"Louis","Hu","Louis Hu","Male",2020-08-08 00:00:00.000,"London"
16190,"Lance","Alvarez","Lance Alvarez","Male",2020-03-18 00:00:00.000,"London"
16201,"Ross","Martin","Ross Martin","Male",2019-01-18 00:00:00.000,"London"
16294,"Steve","Hu","Steve Hu","Male",2020-07-05 00:00:00.000,"London"
16311,"Carl","Beck","Carl Beck","Male",2019-01-31 00:00:00.000,"London"
16437,"Jésus","Gutierrez","Jésus Gutierrez","Male",2020-03-20 00:00:00.000,"London"
16546,"Terrance","Jordan","Terrance Jordan","Male",2019-04-08 00:00:00.000,"London"
16573,"Ruben","Dominguez","Ruben Dominguez","Male",2019-04-21 00:00:00.000,"London"
16588,"Andre","Martinez","Andre Martinez","Male",2019-04-30 00:00:00.000,"London"
16599,"Ramón","Cai","Ramón Cai","Male",2020-06-18 00:00:00.000,"London"
17087,"Jésus","Dominguez","Jésus Dominguez","Male",2020-07-20 00:00:00.000,"London"
17094,"Julio","Dominguez","Julio Dominguez","Male",2019-06-22 00:00:00.000,"London"
17101,"Shannon","Gutierrez","Shannon Gutierrez","Male",2020-03-19 00:00:00.000,"London"
17214,"Damien","Liu","Damien Liu","Male",2019-06-06 00:00:00.000,"London"
17626,"Alfredo","Blanco","Alfredo Blanco","Male",2019-06-28 00:00:00.000,"London"
17628,"Roberto","Munoz","Roberto Munoz","Male",2020-02-07 00:00:00.000,"London"
17642,"Gregory","Luo","Gregory Luo","Male",2020-03-30 00:00:00.000,"London"
17645,"Albert","Alonso","Albert Alonso","Male",2020-10-01 00:00:00.000,"London"
17743,"Gerald","Gomez","Gerald Gomez","Male",2019-07-03 00:00:00.000,"London"
17772,"Leonard","Andersen","Leonard Andersen","Male",2019-07-12 00:00:00.000,"London"
17794,"Theodore","Rowe","Theodore Rowe","Male",2019-08-23 00:00:00.000,"London"
17821,"Marvin","Gill","Marvin Gill","Male",2020-04-18 00:00:00.000,"London"
17835,"Francisco","Perez","Francisco Perez","Male",2020-08-25 00:00:00.000,"London"
17841,"Walter","Navarro","Walter Navarro","Male",2019-08-26 00:00:00.000,"London"
17849,"Wesley","He","Wesley He","Male",2019-08-10 00:00:00.000,"London"
17887,"Joel","Madan","Joel Madan","Male",2020-09-20 00:00:00.000,"London"
17958,"Ricardo","Lal","Ricardo Lal","Male",2019-09-24 00:00:00.000,"London"
17962,"Colin","Zhou","Colin Zhou","Male",2019-09-14 00:00:00.000,"London"
18127,"Franklin","He","Franklin He","Male",2019-11-03 00:00:00.000,"London"
18136,"Carl","Xie","Carl Xie","Male",2019-11-16 00:00:00.000,"London"
18173,"Brent","Zhang","Brent Zhang","Male",2019-11-03 00:00:00.000,"London"
18177,"Reginald","Suarez","Reginald Suarez","Male",2019-11-04 00:00:00.000,"London"
18181,"Neil","Diaz","Neil Diaz","Male",2020-05-26 00:00:00.000,"London"
18625,"Derrick","Moreno","Derrick Moreno","Male",2019-11-13 00:00:00.000,"London"
19044,"Cesar","Rana","Cesar Rana","Male",2020-11-10 00:00:00.000,"London"
19048,"Bryant","Raman","Bryant Raman","Male",2019-12-09 00:00:00.000,"London"
19059,"George","Rodriguez","George Rodriguez","Male",2021-01-14 00:00:00.000,"London"
19070,"Kristopher","Garcia","Kristopher Garcia","Male",2019-12-15 00:00:00.000,"London"
19071,"Joe","Jimenez","Joe Jimenez","Male",2020-05-03 00:00:00.000,"London"
19082,"Alvin","Zhang","Alvin Zhang","Male",2020-07-04 00:00:00.000,"London"
19172,"Calvin","Luo","Calvin Luo","Male",2019-01-02 00:00:00.000,"London"
19186,"Bob","Garcia","Bob Garcia","Male",2019-01-21 00:00:00.000,"London"
19258,"Douglas","Mehta","Douglas Mehta","Male",2019-02-22 00:00:00.000,"London"
19279,"Omar","Xu","Omar Xu","Male",2020-09-04 00:00:00.000,"London"
19322,"Gerald","Romero","Gerald Romero","Male",2019-05-11 00:00:00.000,"London"
19347,"Alvin","Zhao","Alvin Zhao","Male",2021-01-11 00:00:00.000,"London"
19362,"Karl","Raje","Karl Raje","Male",2019-06-08 00:00:00.000,"London"
19477,"Lance","Rubio","Lance Rubio","Male",2019-09-30 00:00:00.000,"London"
19497,"Raul","She","Raul She","Male",2020-08-17 00:00:00.000,"London"
19499,"Shawn","Black","Shawn Black","Male",2019-11-09 00:00:00.000,"London"
19513,"Jessie","Liang","Jessie Liang","Male",2020-08-17 00:00:00.000,"London"
19941,"Cedric","Liang","Cedric Liang","Male",2018-01-12 00:00:00.000,"London"
20054,"Clarence","Nara","Clarence Nara","Male",2018-03-13 00:00:00.000,"London"
20133,"Jorge","Li","Jorge Li","Male",2020-07-04 00:00:00.000,"London"
20167,"Joe","Serrano","Joe Serrano","Male",2018-05-07 00:00:00.000,"London"
20173,"Dennis","Zhao","Dennis Zhao","Male",2018-06-20 00:00:00.000,"London"
20570,"George","Martinez","George Martinez","Male",2020-04-17 00:00:00.000,"London"
20576,"Johnathan","Kapoor","Johnathan Kapoor","Male",2019-01-01 00:00:00.000,"London"
20592,"Jorge","Liu","Jorge Liu","Male",2019-01-24 00:00:00.000,"London"
20712,"Colin","Huang","Colin Huang","Male",2019-02-17 00:00:00.000,"London"
20859,"Roy","Romero","Roy Romero","Male",2019-05-02 00:00:00.000,"London"
20862,"Marshall","Sutton","Marshall Sutton","Male",2019-05-16 00:00:00.000,"London"
20892,"Henry","Sara","Henry Sara","Male",2019-07-01 00:00:00.000,"London"
20922,"Clayton","Wagner","Clayton Wagner","Male",2019-08-02 00:00:00.000,"London"
20951,"Darrell","Jai","Darrell Jai","Male",2020-08-11 00:00:00.000,"London"
21026,"Clifford","Fernandez","Clifford Fernandez","Male",2020-05-04 00:00:00.000,"London"
21046,"Terrance","Suri","Terrance Suri","Male",2020-08-16 00:00:00.000,"London"
21110,"Brent","Zeng","Brent Zeng","Male",2020-02-14 00:00:00.000,"London"
21111,"Ricardo","Deng","Ricardo Deng","Male",2020-02-08 00:00:00.000,"London"
21134,"Bob","Chapman","Bob Chapman","Male",2020-05-10 00:00:00.000,"London"
21516,"Larry","Serrano","Larry Serrano","Male",2019-12-18 00:00:00.000,"London"
21517,"Gerald","Subram","Gerald Subram","Male",2019-12-12 00:00:00.000,"London"
21534,"Warren","Rai","Warren Rai","Male",2019-11-28 00:00:00.000,"London"
21540,"Ross","Rubio","Ross Rubio","Male",2019-12-04 00:00:00.000,"London"
21824,"Warren","She","Warren She","Male",2020-12-10 00:00:00.000,"London"
21847,"Dominic","Madan","Dominic Madan","Male",2020-07-24 00:00:00.000,"London"
21848,"Jerry","Raje","Jerry Raje","Male",2020-06-15 00:00:00.000,"London"
21857,"Jay","Dominguez","Jay Dominguez","Male",2020-01-24 00:00:00.000,"London"
21858,"Curtis","Lin","Curtis Lin","Male",2020-01-20 00:00:00.000,"London"
22434,"Billy","Schmidt","Billy Schmidt","Male",2020-10-18 00:00:00.000,"London"
22460,"Julio","Torres","Julio Torres","Male",2020-10-11 00:00:00.000,"London"
22468,"Ruben","Gonzalez","Ruben Gonzalez","Male",2020-11-16 00:00:00.000,"London"
22520,"Rodney","Torres","Rodney Torres","Male",2020-10-14 00:00:00.000,"London"
22596,"Omar","Xu","Omar Xu","Male",2020-11-01 00:00:00.000,"London"
22599,"Philip","Gill","Philip Gill","Male",2020-11-11 00:00:00.000,"London"
22614,"Tommy","Shan","Tommy Shan","Male",2020-01-18 00:00:00.000,"London"
22622,"Neil","Sanz","Neil Sanz","Male",2020-08-27 00:00:00.000,"London"
22686,"Wayne","Anand","Wayne Anand","Male",2020-03-11 00:00:00.000,"London"
22687,"Javier","Jiménez","Javier Jiménez","Male",2019-12-29 00:00:00.000,"London"
22695,"Darren","Martin","Darren Martin","Male",2020-03-10 00:00:00.000,"London"
22813,"Jerry","Deng","Jerry Deng","Male",2020-10-27 00:00:00.000,"London"
22837,"Sergio","Chandra","Sergio Chandra","Male",2020-09-12 00:00:00.000,"London"
22869,"Rafael","Lu","Rafael Lu","Male",2020-09-19 00:00:00.000,"London"
23232,"Frank","Serrano","Frank Serrano","Male",2020-04-06 00:00:00.000,"London"
23235,"Cedric","Pal","Cedric Pal","Male",2020-02-04 00:00:00.000,"London"
23607,"Wayne","She","Wayne She","Male",2020-01-14 00:00:00.000,"London"
23625,"Micheal","Navarro","Micheal Navarro","Male",2020-10-17 00:00:00.000,"London"
23629,"Alfredo","Gill","Alfredo Gill","Male",2020-02-07 00:00:00.000,"London"
23907,"Hector","Navarro","Hector Navarro","Male",2020-05-05 00:00:00.000,"London"
23954,"Jonathon","Serrano","Jonathon Serrano","Male",2020-04-08 00:00:00.000,"London"
24034,"Pedro","Ruiz","Pedro Ruiz","Male",2020-06-17 00:00:00.000,"London"
24044,"Arturo","Kumar","Arturo Kumar","Male",2020-07-21 00:00:00.000,"London"
24054,"Gerald","Hernandez","Gerald Hernandez","Male",2020-07-23 00:00:00.000,"London"
24064,"Stanley","Fernandez","Stanley Fernandez","Male",2020-02-18 00:00:00.000,"London"
24071,"Victor","Suarez","Victor Suarez","Male",2020-05-21 00:00:00.000,"London"
24144,"Gerald","Sanchez","Gerald Sanchez","Male",2020-10-14 00:00:00.000,"London"
24193,"Louis","Becker","Louis Becker","Male",2020-09-20 00:00:00.000,"London"
24550,"Randy","Ma","Randy Ma","Male",2020-02-04 00:00:00.000,"London"
24573,"Colin","Rai","Colin Rai","Male",2020-05-20 00:00:00.000,"London"
24697,"Manuel","Rodriguez","Manuel Rodriguez","Male",2020-10-08 00:00:00.000,"London"
24859,"Cesar","Arun","Cesar Arun","Male",2021-01-25 00:00:00.000,"London"
24868,"Darryl","Hu","Darryl Hu","Male",2020-07-17 00:00:00.000,"London"
24869,"Misty","Shock","Misty Shock","Male",2020-09-23 00:00:00.000,"London"
25141,"Walter","Gutierrez","Walter Gutierrez","Male",2020-05-10 00:00:00.000,"London"
25312,"Erik","Ramos","Erik Ramos","Male",2020-11-09 00:00:00.000,"London"
25505,"Curtis","Zhou","Curtis Zhou","Male",2020-09-15 00:00:00.000,"London"
25510,"Grant","Kumar","Grant Kumar","Male",2020-11-16 00:00:00.000,"London"
25604,"Martin","Vance","Martin Vance","Male",2020-12-17 00:00:00.000,"London"
25632,"Lee","Moreno","Lee Moreno","Male",2020-03-06 00:00:00.000,"London"
25642,"Jon","Rai","Jon Rai","Male",2020-02-24 00:00:00.000,"London"
25646,"Randall","Torres","Randall Torres","Male",2020-02-17 00:00:00.000,"London"
25701,"Francisco","Garcia","Francisco Garcia","Male",2020-02-11 00:00:00.000,"London"
25728,"Nelson","Romero","Nelson Romero","Male",2020-03-08 00:00:00.000,"London"
25739,"Cory","Rodriguez","Cory Rodriguez","Male",2020-03-19 00:00:00.000,"London"
25747,"Marshall","Xu","Marshall Xu","Male",2020-03-14 00:00:00.000,"London"
25755,"Jeffery","Huang","Jeffery Huang","Male",2020-08-29 00:00:00.000,"London"
25757,"Jeffery","Wu","Jeffery Wu","Male",2020-04-06 00:00:00.000,"London"
25774,"Corey","Pal","Corey Pal","Male",2020-09-04 00:00:00.000,"London"
25781,"Alejandro","Xie","Alejandro Xie","Male",2020-07-26 00:00:00.000,"London"
25782,"Marshall","Gao","Marshall Gao","Male",2020-05-28 00:00:00.000,"London"
25783,"Omar","Sun","Omar Sun","Male",2020-02-27 00:00:00.000,"London"
25796,"Kelvin","Jai","Kelvin Jai","Male",2020-10-06 00:00:00.000,"London"
26206,"Kurt","She","Kurt She","Male",2020-12-23 00:00:00.000,"London"
26390,"Ivan","Mehta","Ivan Mehta","Male",2020-08-04 00:00:00.000,"London"
26837,"Albert","Martin","Albert Martin","Male",2020-05-13 00:00:00.000,"London"
26849,"Billy","Martin","Billy Martin","Male",2020-05-04 00:00:00.000,"London"
26863,"Alvin","Chen","Alvin Chen","Male",2021-01-05 00:00:00.000,"London"
26901,"Louis","Nara","Louis Nara","Male",2020-11-21 00:00:00.000,"London"
26906,"Darrell","Rai","Darrell Rai","Male",2020-10-10 00:00:00.000,"London"
26938,"Maurice","Shen","Maurice Shen","Male",2020-06-06 00:00:00.000,"London"
26993,"Julio","Gill","Julio Gill","Male",2020-12-05 00:00:00.000,"London"
27175,"Marshall","Raji","Marshall Raji","Male",2020-11-16 00:00:00.000,"London"
27781,"Allen","Sai","Allen Sai","Male",2020-08-27 00:00:00.000,"London"
27828,"Ernest","Gao","Ernest Gao","Male",2020-03-23 00:00:00.000,"London"
27841,"Gerald","Vance","Gerald Vance","Male",2020-03-19 00:00:00.000,"London"
27852,"Jamie","Ramos","Jamie Ramos","Male",2020-09-11 00:00:00.000,"London"
27885,"Marvin","Torres","Marvin Torres","Male",2020-09-28 00:00:00.000,"London"
27938,"Ricky","Serrano","Ricky Serrano","Male",2020-07-12 00:00:00.000,"London"
27940,"Ross","Suarez","Ross Suarez","Male",2020-05-11 00:00:00.000,"London"
28370,"Eddie","Gutierrez","Eddie Gutierrez","Male",2020-10-07 00:00:00.000,"London"
28386,"Sergio","Subram","Sergio Subram","Male",2020-11-03 00:00:00.000,"London"
28399,"Dale","Deng","Dale Deng","Male",2020-10-29 00:00:00.000,"London"
28411,"Jay","Rodriguez","Jay Rodriguez","Male",2020-02-25 00:00:00.000,"London"
28426,"Melvin","Xie","Melvin Xie","Male",2020-10-11 00:00:00.000,"London"
28436,"Derrick","Carlson","Derrick Carlson","Male",2020-10-31 00:00:00.000,"London"
28477,"Kenneth","Tang","Kenneth Tang","Male",2020-12-04 00:00:00.000,"London"
28515,"Tony","Lal","Tony Lal","Male",2020-12-19 00:00:00.000,"London"
28516,"Vincent","Lin","Vincent Lin","Male",2020-12-01 00:00:00.000,"London"
28704,"Roy","Ruiz","Roy Ruiz","Male",2020-08-29 00:00:00.000,"London"
28877,"Joe","Vance","Joe Vance","Male",2020-02-28 00:00:00.000,"London"
28899,"Alejandro","Anand","Alejandro Anand","Male",2020-12-25 00:00:00.000,"London"
28921,"Corey","Deng","Corey Deng","Male",2020-03-22 00:00:00.000,"London"
29359,"Harold","Fernandez","Harold Fernandez","Male",2020-11-13 00:00:00.000,"London"
29477,"Neil","Ruiz","Neil Ruiz","Male",2020-06-18 00:00:00.000,"London"
11336,"Shaun","Raji","Shaun Raji","Male",2019-09-27 00:00:00.000,"Paris"
11339,"Dennis","She","Dennis She","Male",2019-10-07 00:00:00.000,"Paris"
11410,"Maurice","Goel","Maurice Goel","Male",2019-11-13 00:00:00.000,"Paris"
11483,"Calvin","Chande","Calvin Chande","Male",2019-12-22 00:00:00.000,"Paris"
11545,"Reginald","Dominguez","Reginald Dominguez","Male",2020-07-13 00:00:00.000,"Paris"
11592,"Darrell","Raji","Darrell Raji","Male",2018-01-11 00:00:00.000,"Paris"
11607,"Clinton","Moreno","Clinton Moreno","Male",2018-01-19 00:00:00.000,"Paris"
12274,"Javier","Torres","Javier Torres","Male",2020-10-07 00:00:00.000,"Paris"
12279,"Mathew","Suarez","Mathew Suarez","Male",2018-05-13 00:00:00.000,"Paris"
12312,"Jake","Zhao","Jake Zhao","Male",2020-10-28 00:00:00.000,"Paris"
12313,"Jaime","Chande","Jaime Chande","Male",2021-01-15 00:00:00.000,"Paris"
12332,"Andres","Nara","Andres Nara","Male",2018-06-13 00:00:00.000,"Paris"
12383,"Albert","Gomez","Albert Gomez","Male",2018-05-31 00:00:00.000,"Paris"
12468,"Wayne","Nath","Wayne Nath","Male",2018-07-12 00:00:00.000,"Paris"
12511,"Grant","Chander","Grant Chander","Male",2020-06-28 00:00:00.000,"Paris"
12523,"Steve","Wagner","Steve Wagner","Male",2018-08-28 00:00:00.000,"Paris"
12537,"Terrence","Luo","Terrence Luo","Male",2020-06-24 00:00:00.000,"Paris"
12542,"Preston","Patel","Preston Patel","Male",2021-01-11 00:00:00.000,"Paris"
12621,"Barry","Martinez","Barry Martinez","Male",2018-09-25 00:00:00.000,"Paris"
12631,"Clarence","Gao","Clarence Gao","Male",2018-10-25 00:00:00.000,"Paris"
12641,"Willie","Raje","Willie Raje","Male",2020-12-02 00:00:00.000,"Paris"
12649,"Omar","Goel","Omar Goel","Male",2020-09-29 00:00:00.000,"Paris"
12659,"Damien","Chande","Damien Chande","Male",2020-04-16 00:00:00.000,"Paris"
12662,"Jessie","Huang","Jessie Huang","Male",2020-12-12 00:00:00.000,"Paris"
12817,"Theodore","Suarez","Theodore Suarez","Male",2018-11-24 00:00:00.000,"Paris"
12824,"Kristopher","Subram","Kristopher Subram","Male",2020-12-10 00:00:00.000,"Paris"
12842,"Kelvin","Becker","Kelvin Becker","Male",2020-09-25 00:00:00.000,"Paris"
13549,"Richard","King","Richard King","Male",2020-05-01 00:00:00.000,"Paris"
13568,"Max","Jimenez","Max Jimenez","Male",2020-02-18 00:00:00.000,"Paris"
13577,"Theodore","Torres","Theodore Torres","Male",2019-01-21 00:00:00.000,"Paris"
13610,"Omar","Sharma","Omar Sharma","Male",2020-03-21 00:00:00.000,"Paris"
13674,"Drew","Shen","Drew Shen","Male",2020-05-05 00:00:00.000,"Paris"
13681,"Adam","Hall","Adam Hall","Male",2020-10-01 00:00:00.000,"Paris"
13766,"Joe","Gill","Joe Gill","Male",2019-01-14 00:00:00.000,"Paris"
13779,"Manuel","Garcia","Manuel Garcia","Male",2019-01-02 00:00:00.000,"Paris"
14145,"Jessie","Ye","Jessie Ye","Male",2020-02-06 00:00:00.000,"Paris"
14788,"Gerald","Rana","Gerald Rana","Male",2020-03-03 00:00:00.000,"Paris"
14796,"Michael","Miller","Michael Miller","Male",2019-04-24 00:00:00.000,"Paris"
14810,"Russell","Anand","Russell Anand","Male",2020-06-04 00:00:00.000,"Paris"
14931,"Andres","Pal","Andres Pal","Male",2019-05-28 00:00:00.000,"Paris"
14932,"Pedro","Fernandez","Pedro Fernandez","Male",2020-08-12 00:00:00.000,"Paris"
14946,"Frederick","Vance","Frederick Vance","Male",2019-06-12 00:00:00.000,"Paris"
14948,"Damien","Lal","Damien Lal","Male",2019-06-14 00:00:00.000,"Paris"
15064,"Erik","Rubio","Erik Rubio","Male",2019-06-10 00:00:00.000,"Paris"
15070,"Alfredo","Navarro","Alfredo Navarro","Male",2019-06-01 00:00:00.000,"Paris"
15093,"Johnny","Moyer","Johnny Moyer","Male",2019-07-19 00:00:00.000,"Paris"
15654,"Levi","Fernandez","Levi Fernandez","Male",2020-06-10 00:00:00.000,"Paris"
15688,"Chase","Gray","Chase Gray","Male",2019-09-08 00:00:00.000,"Paris"
15700,"Eugene","Guo","Eugene Guo","Male",2019-09-27 00:00:00.000,"Paris"
16040,"Casey","Gill","Casey Gill","Male",2020-03-03 00:00:00.000,"Paris"
16052,"Danny","Gutierrez","Danny Gutierrez","Male",2019-09-04 00:00:00.000,"Paris"
16202,"Kenneth","Jai","Kenneth Jai","Male",2020-10-09 00:00:00.000,"Paris"
16281,"Gilbert","Luo","Gilbert Luo","Male",2020-06-27 00:00:00.000,"Paris"
16283,"Clayton","Raji","Clayton Raji","Male",2020-10-03 00:00:00.000,"Paris"
16286,"Billy","Torres","Billy Torres","Male",2019-09-28 00:00:00.000,"Paris"
16315,"Garrett","Richardson","Garrett Richardson","Male",2020-10-22 00:00:00.000,"Paris"
16388,"Jay","Torres","Jay Torres","Male",2019-09-28 00:00:00.000,"Paris"
16404,"Raul","Nara","Raul Nara","Male",2019-10-13 00:00:00.000,"Paris"
16408,"Arthur","Madan","Arthur Madan","Male",2019-10-13 00:00:00.000,"Paris"
16430,"Franklin","Rai","Franklin Rai","Male",2019-11-19 00:00:00.000,"Paris"
16431,"Jermaine","Rodriguez","Jermaine Rodriguez","Male",2019-11-01 00:00:00.000,"Paris"
16433,"Mathew","Dominguez","Mathew Dominguez","Male",2019-11-05 00:00:00.000,"Paris"
16440,"Jimmy","Martin","Jimmy Martin","Male",2020-02-26 00:00:00.000,"Paris"
16468,"Orlando","Dominguez","Orlando Dominguez","Male",2020-09-08 00:00:00.000,"Paris"
16476,"Shawn","Xie","Shawn Xie","Male",2019-12-04 00:00:00.000,"Paris"
16510,"Brad","Nara","Brad Nara","Male",2020-04-08 00:00:00.000,"Paris"
16535,"Colin","Chen","Colin Chen","Male",2020-06-03 00:00:00.000,"Paris"
16557,"Derek","Chander","Derek Chander","Male",2020-03-26 00:00:00.000,"Paris"
17088,"Wayne","Yuan","Wayne Yuan","Male",2020-07-20 00:00:00.000,"Paris"
17196,"Douglas","Fernandez","Douglas Fernandez","Male",2019-04-28 00:00:00.000,"Paris"
17633,"Gary","Dominguez","Gary Dominguez","Male",2019-05-15 00:00:00.000,"Paris"
17638,"Clarence","Zheng","Clarence Zheng","Male",2020-12-07 00:00:00.000,"Paris"
17643,"Wesley","Cai","Wesley Cai","Male",2020-11-07 00:00:00.000,"Paris"
17716,"Cesar","Gonzalez","Cesar Gonzalez","Male",2019-07-06 00:00:00.000,"Paris"
17759,"Kristopher","Sanchez","Kristopher Sanchez","Male",2020-06-11 00:00:00.000,"Paris"
17766,"Jake","Xu","Jake Xu","Male",2019-08-07 00:00:00.000,"Paris"
17787,"Alejandro","Zhao","Alejandro Zhao","Male",2019-11-01 00:00:00.000,"Paris"
17885,"Julio","Carlson","Julio Carlson","Male",2019-12-13 00:00:00.000,"Paris"
17973,"Johnathan","Rodriguez","Johnathan Rodriguez","Male",2018-03-21 00:00:00.000,"Paris"
17988,"Alfredo","Diaz","Alfredo Diaz","Male",2020-10-23 00:00:00.000,"Paris"
18011,"Frank","Gomez","Frank Gomez","Male",2018-08-04 00:00:00.000,"Paris"
18138,"Walter","Alonso","Walter Alonso","Male",2020-12-06 00:00:00.000,"Paris"
18143,"Chad","Shen","Chad Shen","Male",2018-10-05 00:00:00.000,"Paris"
18184,"Leonard","Chande","Leonard Chande","Male",2020-10-16 00:00:00.000,"Paris"
18618,"Mitchell","Rai","Mitchell Rai","Male",2021-01-21 00:00:00.000,"Paris"
19033,"Omar","Lin","Omar Lin","Male",2018-12-10 00:00:00.000,"Paris"
19075,"Brent","Wu","Brent Wu","Male",2020-04-27 00:00:00.000,"Paris"
19183,"Edwin","Raje","Edwin Raje","Male",2020-09-07 00:00:00.000,"Paris"
19194,"Cesar","Garcia","Cesar Garcia","Male",2019-03-18 00:00:00.000,"Paris"
19280,"Darrell","Andersen","Darrell Andersen","Male",2019-05-10 00:00:00.000,"Paris"
19287,"Shane","Chandra","Shane Chandra","Male",2019-05-26 00:00:00.000,"Paris"
19292,"Micah","Lin","Micah Lin","Male",2019-05-17 00:00:00.000,"Paris"
19296,"Jake","Zheng","Jake Zheng","Male",2019-06-14 00:00:00.000,"Paris"
