EmployeeKey,Employee Last Name,Employee Name,Employee Email Address,Employee Department,Employee Gender,Employee Marital Status,Employee Title,Employee Phone,Employee Login ID,Current Flag,Salaried Flag,Employee Status,Employee Sales Territory Country,Employee Sales Territory Group,Employee Sales Territory Region,ParentEmployeeKey,Employee Manager Last Name,Employee Manager Name,Employee Base Rate,Employee Alternate Key,Employee Hire Date,Employee Pay Frequency,Employee Vacation Hours,Employee Row Start Date,Employee Row End Date
50,"Cao","Jun Cao","jun0@adventure-works.com","Production","M","S","Production Technician - WC50","299-555-0113","adventure-works\jun0","Current","Not Salaried","Active","NA","NA","NA",40,"Liu","Jinghao Liu",11,"857651804",2008-07-14 00:00:00.000,1,90,2008-07-14 00:00:00.000,
54,"Koenigsbauer","Kirk Koenigsbauer","kirk0@adventure-works.com","Production","M","S","Production Technician - WC45","669-555-0150","adventure-works\kirk0","Current","Not Salaried","Active","NA","NA","NA",126,"Hay","Jeff Hay",10,"275962311",2008-07-15 00:00:00.000,1,74,2008-07-15 00:00:00.000,
57,"Feng","Hanying Feng","hanying0@adventure-works.com","Production","M","S","Production Technician - WC20","319-555-0139","adventure-works\hanying0","Current","Not Salaried","Active","NA","NA","NA",147,"Li","Yuhong Li",14,"568596888",2008-07-16 00:00:00.000,1,15,2008-07-16 00:00:00.000,
58,"Liu","Kevin Liu","kevin1@adventure-works.com","Production","M","S","Production Technician - WC40","714-555-0138","adventure-works\kevin1","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"918737118",2008-07-17 00:00:00.000,1,58,2008-07-17 00:00:00.000,
60,"Fatima","Suroor Fatima","suroor0@adventure-works.com","Production","M","S","Production Technician - WC50","932-555-0161","adventure-works\suroor0","Current","Not Salaried","Active","NA","NA","NA",40,"Liu","Jinghao Liu",11,"415823523",2008-07-17 00:00:00.000,1,93,2008-07-17 00:00:00.000,
65,"Yukish","Gary Yukish","gary0@adventure-works.com","Production","M","S","Production Technician - WC40","901-555-0125","adventure-works\gary0","Current","Not Salaried","Active","NA","NA","NA",89,"Hamilton","David Hamilton",15,"502058701",2008-07-22 00:00:00.000,1,69,2008-07-22 00:00:00.000,
69,"Hohman","Bob Hohman","bob0@adventure-works.com","Production","M","S","Production Technician - WC50","611-555-0116","adventure-works\bob0","Current","Not Salaried","Active","NA","NA","NA",16,"Maxwell","Taylor Maxwell",11,"843479922",2008-07-24 00:00:00.000,1,12,2008-07-24 00:00:00.000,
80,"Mirchandani","Nitin Mirchandani","nitin0@adventure-works.com","Production","M","S","Production Technician - WC20","143-555-0173","adventure-works\nitin0","Current","Not Salaried","Active","NA","NA","NA",186,"McAskill-White","Katie McAskill-White",14,"368920189",2008-07-28 00:00:00.000,1,21,2008-07-28 00:00:00.000,
85,"Evans","John Evans","john1@adventure-works.com","Production","M","S","Production Technician - WC50","172-555-0130","adventure-works\john1","Current","Not Salaried","Active","NA","NA","NA",40,"Liu","Jinghao Liu",11,"981597097",2008-08-01 00:00:00.000,1,91,2008-08-01 00:00:00.000,
88,"Yalovsky","David Yalovsky","david3@adventure-works.com","Production","M","S","Production Technician - WC30","373-555-0142","adventure-works\david3","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"746373306",2008-08-02 00:00:00.000,1,32,2008-08-02 00:00:00.000,
94,"Fakhouri","Fadi Fakhouri","fadi0@adventure-works.com","Production","M","S","Production Technician - WC20","935-555-0116","adventure-works\fadi0","Current","Not Salaried","Active","NA","NA","NA",147,"Li","Yuhong Li",14,"212801092",2008-08-04 00:00:00.000,1,16,2008-08-04 00:00:00.000,
97,"Yu","Nuan Yu","nuan0@adventure-works.com","Production","M","S","Production Technician - WC50","913-555-0184","adventure-works\nuan0","Current","Not Salaried","Active","NA","NA","NA",76,"Loh","Kok-Ho Loh",11,"431859843",2008-08-06 00:00:00.000,1,2,2008-08-06 00:00:00.000,
100,"Rettig","Bjorn Rettig","bjorn0@adventure-works.com","Production","M","S","Production Technician - WC30","199-555-0117","adventure-works\bjorn0","Current","Not Salaried","Active","NA","NA","NA",177,"Ray","Michael Ray",9.5,"420023788",2008-08-07 00:00:00.000,1,43,2008-08-07 00:00:00.000,
102,"Rothkugel","Michael Rothkugel","michael1@adventure-works.com","Production","M","S","Production Technician - WC40","454-555-0119","adventure-works\michael1","Current","Not Salaried","Active","NA","NA","NA",89,"Hamilton","David Hamilton",15,"830150469",2008-08-10 00:00:00.000,1,70,2008-08-10 00:00:00.000,
104,"Male","Pete Male","pete0@adventure-works.com","Production","M","S","Production Technician - WC50","768-555-0123","adventure-works\pete0","Current","Not Salaried","Active","NA","NA","NA",16,"Maxwell","Taylor Maxwell",11,"827686041",2008-08-11 00:00:00.000,1,13,2008-08-11 00:00:00.000,
113,"Watters","Jason Watters","jason0@adventure-works.com","Production","M","S","Production Technician - WC30","571-555-0179","adventure-works\jason0","Current","Not Salaried","Active","NA","NA","NA",138,"Randall","Cynthia Randall",9.5,"733022683",2008-08-14 00:00:00.000,1,38,2008-08-14 00:00:00.000,
125,"Baker","Bryan Baker","bryan0@adventure-works.com","Production","M","S","Production Technician - WC60","712-555-0113","adventure-works\bryan0","Current","Not Salaried","Active","NA","NA","NA",9,"Dobney","JoLynn Dobney",12.45,"458159238",2008-08-21 00:00:00.000,1,35,2008-08-21 00:00:00.000,
127,"Zabokritski","Eugene Zabokritski","eugene0@adventure-works.com","Production","M","S","Production Technician - WC30","241-555-0191","adventure-works\eugene0","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"87268837",2008-08-21 00:00:00.000,1,33,2008-08-21 00:00:00.000,
132,"McArthur","Mark McArthur","mark1@adventure-works.com","Production","M","S","Production Technician - WC60","417-555-0154","adventure-works\mark1","Current","Not Salaried","Active","NA","NA","NA",18,"Brown","Jo Brown",12.45,"948320468",2008-08-23 00:00:00.000,1,19,2008-08-23 00:00:00.000,
136,"Osada","Michiko Osada","michiko0@adventure-works.com","Production","M","S","Production Technician - WC30","984-555-0148","adventure-works\michiko0","Current","Not Salaried","Active","NA","NA","NA",177,"Ray","Michael Ray",9.5,"363996959",2008-08-26 00:00:00.000,1,44,2008-08-26 00:00:00.000,
137,"Martin","Benjamin Martin","benjamin0@adventure-works.com","Production","M","S","Production Technician - WC30","533-555-0111","adventure-works\benjamin0","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"585408256",2008-08-27 00:00:00.000,1,28,2008-08-27 00:00:00.000,
141,"Lloyd","Brian Lloyd","brian0@adventure-works.com","Production","M","S","Production Technician - WC40","110-555-0182","adventure-works\brian0","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"746201340",2008-08-29 00:00:00.000,1,55,2008-08-29 00:00:00.000,
145,"Patten","Michael Patten","michael2@adventure-works.com","Production","M","S","Production Technician - WC50","441-555-0195","adventure-works\michael2","Current","Not Salaried","Active","NA","NA","NA",40,"Liu","Jinghao Liu",11,"398737566",2008-08-31 00:00:00.000,1,98,2008-08-31 00:00:00.000,
148,"Rounthwaite","Robert Rounthwaite","robert0@adventure-works.com","Production","M","S","Production Technician - WC45","589-555-0147","adventure-works\robert0","Current","Not Salaried","Active","NA","NA","NA",163,"Kim","Shane Kim",10,"456839592",2008-09-02 00:00:00.000,1,82,2008-09-02 00:00:00.000,
156,"Nusbaum","Tawana Nusbaum","tawana0@adventure-works.com","Production","M","S","Production Technician - WC40","368-555-0113","adventure-works\tawana0","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"436757988",2008-09-05 00:00:00.000,1,50,2008-09-05 00:00:00.000,
160,"Kogan","Eugene Kogan","eugene1@adventure-works.com","Production","M","S","Production Technician - WC60","173-555-0179","adventure-works\eugene1","Current","Not Salaried","Active","NA","NA","NA",9,"Dobney","JoLynn Dobney",12.45,"66073987",2008-09-08 00:00:00.000,1,36,2008-09-08 00:00:00.000,
167,"Samant","Mandar Samant","mandar0@adventure-works.com","Production","M","S","Production Technician - WC50","140-555-0132","adventure-works\mandar0","Current","Not Salaried","Active","NA","NA","NA",76,"Loh","Kok-Ho Loh",11,"370581729",2008-09-10 00:00:00.000,1,0,2008-09-10 00:00:00.000,
172,"Caron","Rob Caron","rob1@adventure-works.com","Production","M","S","Production Technician - WC40","238-555-0116","adventure-works\rob1","Current","Not Salaried","Active","NA","NA","NA",89,"Hamilton","David Hamilton",15,"578953538",2008-09-13 00:00:00.000,1,71,2008-09-13 00:00:00.000,
176,"Cetinok","Baris Cetinok","baris0@adventure-works.com","Production","M","S","Production Technician - WC40","164-555-0114","adventure-works\baris0","Current","Not Salaried","Active","NA","NA","NA",89,"Hamilton","David Hamilton",15,"273260055",2008-09-15 00:00:00.000,1,72,2008-09-15 00:00:00.000,
178,"Masters","Steve Masters","steve0@adventure-works.com","Production","M","S","Production Technician - WC60","712-555-0170","adventure-works\steve0","Current","Not Salaried","Active","NA","NA","NA",20,"Campbell","John Campbell",12.45,"752513276",2008-09-15 00:00:00.000,1,31,2008-09-15 00:00:00.000,
181,"Earls","Terrence Earls","terrence0@adventure-works.com","Production","M","S","Production Technician - WC20","110-555-0115","adventure-works\terrence0","Current","Not Salaried","Active","NA","NA","NA",147,"Li","Yuhong Li",14,"404159499",2008-09-16 00:00:00.000,1,13,2008-09-16 00:00:00.000,
191,"Miller","Frank Miller","frank1@adventure-works.com","Production","M","S","Production Technician - WC50","167-555-0139","adventure-works\frank1","Current","Not Salaried","Active","NA","NA","NA",16,"Maxwell","Taylor Maxwell",11,"10708100",2008-09-23 00:00:00.000,1,10,2008-09-23 00:00:00.000,
196,"Entin","Michael Entin","michael4@adventure-works.com","Production","M","S","Production Technician - WC50","817-555-0186","adventure-works\michael4","Current","Not Salaried","Active","NA","NA","NA",40,"Liu","Jinghao Liu",11,"334834274",2008-09-25 00:00:00.000,1,94,2008-09-25 00:00:00.000,
197,"Penuchot","Lionel Penuchot","lionel0@adventure-works.com","Production","M","S","Production Technician - WC45","450-555-0152","adventure-works\lionel0","Current","Not Salaried","Active","NA","NA","NA",163,"Kim","Shane Kim",10,"399658727",2008-09-26 00:00:00.000,1,78,2008-09-26 00:00:00.000,
203,"Hesse","Stefen Hesse","stefen0@adventure-works.com","Production","M","S","Production Technician - WC20","165-555-0113","adventure-works\stefen0","Current","Not Salaried","Active","NA","NA","NA",186,"McAskill-White","Katie McAskill-White",14,"621932914",2008-09-28 00:00:00.000,1,19,2008-09-28 00:00:00.000,
208,"Frum","John Frum","john3@adventure-works.com","Production","M","S","Production Technician - WC30","663-555-0172","adventure-works\john3","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"568626529",2008-10-01 00:00:00.000,1,27,2008-10-01 00:00:00.000,
212,"Adams","Jay Adams","jay0@adventure-works.com","Production","M","S","Production Technician - WC60","407-555-0165","adventure-works\jay0","Current","Not Salaried","Active","NA","NA","NA",20,"Campbell","John Campbell",12.45,"63179277",2008-10-03 00:00:00.000,1,32,2008-10-03 00:00:00.000,
213,"Miksovsky","Jan Miksovsky","jan0@adventure-works.com","Production","M","S","Production Technician - WC30","139-555-0131","adventure-works\jan0","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"587567941",2008-10-03 00:00:00.000,1,30,2008-10-03 00:00:00.000,
215,"Cencini","Andrew Cencini","andrew1@adventure-works.com","Production","M","S","Production Technician - WC45","207-555-0192","adventure-works\andrew1","Current","Not Salaried","Active","NA","NA","NA",126,"Hay","Jeff Hay",10,"65848458",2008-10-04 00:00:00.000,1,73,2008-10-04 00:00:00.000,
217,"Okelberry","Chris Okelberry","chris2@adventure-works.com","Production","M","S","Production Technician - WC60","315-555-0144","adventure-works\chris2","Current","Not Salaried","Active","NA","NA","NA",18,"Brown","Jo Brown",12.45,"442121106",2008-10-05 00:00:00.000,1,16,2008-10-05 00:00:00.000,
223,"Fitzgerald","Charles Fitzgerald","charles0@adventure-works.com","Production","M","S","Production Technician - WC60","931-555-0118","adventure-works\charles0","Current","Not Salaried","Active","NA","NA","NA",20,"Campbell","John Campbell",12.45,"537092325",2009-07-03 00:00:00.000,1,27,2009-07-03 00:00:00.000,
224,"Ersan","Ebru Ersan","ebru0@adventure-works.com","Production","M","S","Production Technician - WC10","202-555-0187","adventure-works\ebru0","Current","Not Salaried","Active","NA","NA","NA",27,"Mu","Zheng Mu",13.45,"455563743",2009-07-06 00:00:00.000,1,93,2009-07-06 00:00:00.000,
226,"Goldstein","Brian Goldstein","brian2@adventure-works.com","Production","M","S","Production Technician - WC40","730-555-0117","adventure-works\brian2","Current","Not Salaried","Active","NA","NA","NA",53,"D'sa","Reuben D'sa",15,"1662732",2009-07-11 00:00:00.000,1,63,2009-07-11 00:00:00.000,
230,"Khanna","Karan Khanna","karan0@adventure-works.com","Production","M","S","Production Technician - WC60","447-555-0186","adventure-works\karan0","Current","Not Salaried","Active","NA","NA","NA",20,"Campbell","John Campbell",12.45,"834186596",2009-07-22 00:00:00.000,1,28,2009-07-22 00:00:00.000,
232,"Homer","Kevin Homer","kevin2@adventure-works.com","Production","M","S","Production Technician - WC10","555-555-0113","adventure-works\kevin2","Current","Not Salaried","Active","NA","NA","NA",27,"Mu","Zheng Mu",13.45,"801365500",2009-07-25 00:00:00.000,1,90,2009-07-25 00:00:00.000,
233,"Frintu","Mihail Frintu","mihail0@adventure-works.com","Production","M","S","Production Technician - WC40","733-555-0128","adventure-works\mihail0","Current","Not Salaried","Active","NA","NA","NA",53,"D'sa","Reuben D'sa",15,"413787783",2009-07-29 00:00:00.000,1,64,2009-07-29 00:00:00.000,
236,"Ting","Hung-Fu Ting","hung-fu0@adventure-works.com","Production","M","S","Production Technician - WC20","497-555-0181","adventure-works\hung-fu0","Current","Not Salaried","Active","NA","NA","NA",111,"Gubbels","Eric Gubbels",14,"113393530",2009-08-06 00:00:00.000,1,0,2009-08-06 00:00:00.000,
240,"Kaliyath","Sandeep Kaliyath","sandeep0@adventure-works.com","Production","M","S","Production Technician - WC40","166-555-0156","adventure-works\sandeep0","Current","Not Salaried","Active","NA","NA","NA",53,"D'sa","Reuben D'sa",15,"943170460",2009-08-17 00:00:00.000,1,65,2009-08-17 00:00:00.000,
247,"Dusza","Maciej Dusza","maciej0@adventure-works.com","Production","M","S","Production Technician - WC60","237-555-0128","adventure-works\maciej0","Current","Not Salaried","Active","NA","NA","NA",20,"Campbell","John Campbell",12.45,"414476027",2009-08-29 00:00:00.000,1,30,2009-08-29 00:00:00.000,
249,"Wedge","Patrick Wedge","patrick0@adventure-works.com","Production","M","S","Production Technician - WC10","413-555-0124","adventure-works\patrick0","Current","Not Salaried","Active","NA","NA","NA",66,"Petculescu","Cristian Petculescu",13.45,"90888098",2009-09-01 00:00:00.000,1,96,2009-09-01 00:00:00.000,
251,"Dudenhoefer","Ed Dudenhoefer","ed0@adventure-works.com","Production","M","S","Production Technician - WC60","919-555-0140","adventure-works\ed0","Current","Not Salaried","Active","NA","NA","NA",18,"Brown","Jo Brown",12.45,"461786517",2009-09-05 00:00:00.000,1,25,2009-09-05 00:00:00.000,
254,"Sunkammurali","Krishna Sunkammurali","krishna0@adventure-works.com","Production","M","S","Production Technician - WC20","491-555-0183","adventure-works\krishna0","Current","Not Salaried","Active","NA","NA","NA",111,"Gubbels","Eric Gubbels",14,"56772045",2009-09-13 00:00:00.000,1,2,2009-09-13 00:00:00.000,
258,"Zwilling","Michael Zwilling","michael7@adventure-works.com","Production","M","S","Production Technician - WC60","582-555-0148","adventure-works\michael7","Current","Not Salaried","Active","NA","NA","NA",20,"Campbell","John Campbell",12.45,"582347317",2009-09-23 00:00:00.000,1,26,2009-09-23 00:00:00.000,
260,"Kane","John Kane","john4@adventure-works.com","Production","M","S","Production Technician - WC10","254-555-0114","adventure-works\john4","Current","Not Salaried","Active","NA","NA","NA",27,"Mu","Zheng Mu",13.45,"561196580",2009-09-27 00:00:00.000,1,92,2009-09-27 00:00:00.000,
261,"Creasey","Jack Creasey","jack1@adventure-works.com","Production","M","S","Production Technician - WC40","521-555-0113","adventure-works\jack1","Current","Not Salaried","Active","NA","NA","NA",53,"D'sa","Reuben D'sa",15,"58791499",2009-10-01 00:00:00.000,1,62,2009-10-01 00:00:00.000,
1,"Gilbert","Guy Gilbert","guy1@adventure-works.com","Production","M","M","Production Technician - WC60","320-555-0195","adventure-works\guy1","Current","Not Salaried","Active","NA","NA","NA",18,"Brown","Jo Brown",12.45,"14417807",2006-01-28 00:00:00.000,1,21,2006-01-28 00:00:00.000,
15,"Higa","Sidney Higa","sidney0@adventure-works.com","Production","M","M","Production Technician - WC10","424-555-0189","adventure-works\sidney0","Current","Not Salaried","Active","NA","NA","NA",189,"Hill","Andrew Hill",13.45,"844973625",2007-09-02 00:00:00.000,1,84,2007-09-02 00:00:00.000,
22,"Selikoff","Steven Selikoff","steven0@adventure-works.com","Production","M","M","Production Technician - WC30","925-555-0114","adventure-works\steven0","Current","Not Salaried","Active","NA","NA","NA",177,"Ray","Michael Ray",9.5,"443968955",2008-07-01 00:00:00.000,1,41,2008-07-01 00:00:00.000,
28,"Salmre","Ivo Salmre","ivo0@adventure-works.com","Production","M","M","Production Technician - WC20","115-555-0179","adventure-works\ivo0","Current","Not Salaried","Active","NA","NA","NA",111,"Gubbels","Eric Gubbels",14,"964089218",2008-07-04 00:00:00.000,1,9,2008-07-04 00:00:00.000,
31,"Keil","Kendall Keil","kendall0@adventure-works.com","Production","M","M","Production Technician - WC50","138-555-0128","adventure-works\kendall0","Current","Not Salaried","Active","NA","NA","NA",16,"Maxwell","Taylor Maxwell",11,"571658797",2008-07-05 00:00:00.000,1,11,2008-07-05 00:00:00.000,
45,"Hunter","Russell Hunter","russell0@adventure-works.com","Production","M","M","Production Technician - WC50","786-555-0144","adventure-works\russell0","Current","Not Salaried","Active","NA","NA","NA",76,"Loh","Kok-Ho Loh",11,"718299860",2008-07-12 00:00:00.000,1,6,2008-07-12 00:00:00.000,
55,"Ortiz","David Ortiz","david2@adventure-works.com","Production","M","M","Production Technician - WC60","712-555-0119","adventure-works\david2","Current","Not Salaried","Active","NA","NA","NA",20,"Campbell","John Campbell",12.45,"36151748",2008-07-15 00:00:00.000,1,33,2008-07-15 00:00:00.000,
59,"Stahl","Annik Stahl","annik0@adventure-works.com","Production","M","M","Production Technician - WC60","499-555-0125","adventure-works\annik0","Current","Not Salaried","Active","NA","NA","NA",18,"Brown","Jo Brown",12.45,"801758002",2008-07-17 00:00:00.000,1,17,2008-07-17 00:00:00.000,
62,"Scardelis","Jim Scardelis","jim0@adventure-works.com","Production","M","M","Production Technician - WC50","679-555-0113","adventure-works\jim0","Current","Not Salaried","Active","NA","NA","NA",76,"Loh","Kok-Ho Loh",11,"674171828",2008-07-19 00:00:00.000,1,1,2008-07-19 00:00:00.000,
64,"Li","George Li","george0@adventure-works.com","Production","M","M","Production Technician - WC30","518-555-0199","adventure-works\george0","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"476115505",2008-07-21 00:00:00.000,1,26,2008-07-21 00:00:00.000,
67,"Sam","Raymond Sam","raymond0@adventure-works.com","Production","M","M","Production Technician - WC20","226-555-0197","adventure-works\raymond0","Current","Not Salaried","Active","NA","NA","NA",147,"Li","Yuhong Li",14,"97728960",2008-07-23 00:00:00.000,1,10,2008-07-23 00:00:00.000,
70,"Mohamed","Shammi Mohamed","shammi0@adventure-works.com","Production","M","M","Production Technician - WC40","793-555-0179","adventure-works\shammi0","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"370487086",2008-07-24 00:00:00.000,1,53,2008-07-24 00:00:00.000,
77,"Hite","Douglas Hite","douglas0@adventure-works.com","Production","M","M","Production Technician - WC45","808-555-0172","adventure-works\douglas0","Current","Not Salaried","Active","NA","NA","NA",163,"Kim","Shane Kim",10,"435234965",2008-07-27 00:00:00.000,1,80,2008-07-27 00:00:00.000,
78,"Kramer","James Kramer","james0@adventure-works.com","Production","M","M","Production Technician - WC60","119-555-0117","adventure-works\james0","Current","Not Salaried","Active","NA","NA","NA",9,"Dobney","JoLynn Dobney",12.45,"339712426",2008-07-27 00:00:00.000,1,39,2008-07-27 00:00:00.000,
83,"Patel","Rajesh Patel","rajesh0@adventure-works.com","Production","M","M","Production Technician - WC40","373-555-0137","adventure-works\rajesh0","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"632092621",2008-07-31 00:00:00.000,1,48,2008-07-31 00:00:00.000,
95,"Cornelsen","Ryan Cornelsen","ryan0@adventure-works.com","Production","M","M","Production Technician - WC40","208-555-0114","adventure-works\ryan0","Current","Not Salaried","Active","NA","NA","NA",53,"D'sa","Reuben D'sa",15,"769680433",2008-08-05 00:00:00.000,1,59,2008-08-05 00:00:00.000,
101,"Gode","Scott Gode","scott0@adventure-works.com","Production","M","M","Production Technician - WC45","391-555-0138","adventure-works\scott0","Current","Not Salaried","Active","NA","NA","NA",201,"Kane","Lori Kane",10,"199546871",2008-08-08 00:00:00.000,1,86,2008-08-08 00:00:00.000,
103,"Sacksteder","Lane Sacksteder","lane0@adventure-works.com","Production","M","M","Production Technician - WC20","200-555-0117","adventure-works\lane0","Current","Not Salaried","Active","NA","NA","NA",147,"Li","Yuhong Li",14,"322160340",2008-08-11 00:00:00.000,1,11,2008-08-11 00:00:00.000,
107,"Song","Lolan Song","lolan0@adventure-works.com","Production","M","M","Production Technician - WC50","582-555-0178","adventure-works\lolan0","Current","Not Salaried","Active","NA","NA","NA",76,"Loh","Kok-Ho Loh",11,"204035155",2008-08-12 00:00:00.000,1,7,2008-08-12 00:00:00.000,
110,"Krapauskas","Mindaugas Krapauskas","mindaugas0@adventure-works.com","Production","M","M","Production Technician - WC50","637-555-0120","adventure-works\mindaugas0","Current","Not Salaried","Active","NA","NA","NA",40,"Liu","Jinghao Liu",11,"342607223",2008-08-13 00:00:00.000,1,97,2008-08-13 00:00:00.000,
116,"Ingle","Marc Ingle","marc0@adventure-works.com","Production","M","M","Production Technician - WC30","234-555-0169","adventure-works\marc0","Current","Not Salaried","Active","NA","NA","NA",188,"Richins","Jack Richins",9.5,"364818297",2008-08-16 00:00:00.000,1,22,2008-08-16 00:00:00.000,
118,"Singh","Paul Singh","paul1@adventure-works.com","Production","M","M","Production Technician - WC20","727-555-0112","adventure-works\paul1","Current","Not Salaried","Active","NA","NA","NA",111,"Gubbels","Eric Gubbels",14,"886023130",2008-08-17 00:00:00.000,1,6,2008-08-17 00:00:00.000,
119,"Lee","Frank Lee","frank0@adventure-works.com","Production","M","M","Production Technician - WC40","158-555-0191","adventure-works\frank0","Current","Not Salaried","Active","NA","NA","NA",214,"Diaz","Brenda Diaz",15,"749211824",2008-08-17 00:00:00.000,1,56,2008-08-17 00:00:00.000,
129,"Preston","Chris Preston","chris0@adventure-works.com","Production","M","M","Production Technician - WC45","200-555-0112","adventure-works\chris0","Current","Not Salaried","Active","NA","NA","NA",126,"Hay","Jeff Hay",10,"539490372",2008-08-22 00:00:00.000,1,76,2008-08-22 00:00:00.000,
134,"Pournasseh","Houman Pournasseh","houman0@adventure-works.com","Production","M","M","Production Technician - WC50","180-555-0136","adventure-works\houman0","Current","Not Salaried","Active","NA","NA","NA",76,"Loh","Kok-Ho Loh",11,"153288994",2008-08-25 00:00:00.000,1,3,2008-08-25 00:00:00.000,
146,"Ruth","Andy Ruth","andy0@adventure-works.com","Production","M","M","Production Technician - WC30","118-555-0110","adventure-works\andy0","Current","Not Salaried","Active","NA","NA","NA",138,"Randall","Cynthia Randall",9.5,"764853868",2008-08-31 00:00:00.000,1,39,2008-08-31 00:00:00.000,
