AddressID,AddressLine1,AddressLine2,City,State,Zipcode,AddressType
65,"1167 Boylston Street","Apt 21","Boston","Massachusetts","2115","Billing"
66,"352 Riverway","Apt 10","Boston","Massachusetts","2215","Billing"
67,"4415  Sardis Station","","Minneapolis","Minnesota","55402","Billing"
68,"2359  Abia Martin Drive","","New York","New York","10013","Billing"
69,"4456  Adamsville Road","","Harlingen","Texas","78550","Billing"
70,"1592  Desert Broom Court","","Jersey City","New Jersey","7304","Billing"
71,"2810  Whitetail Lane","","Irving","Texas","75039","Billing"
72,"2446 Chapman St","","Fullerton","California","92831","Home"
73,"352 Riverway","","Boston","Massachusetts","2115","Home"
74,"7200 Washington Ave","","Merced","California","95340","Billing"
75,"4159  Trails End Road","","Miami","Florida","33179","Billing"
76,"1076  Water Street","","Walnut Creek","California","94596","Billing"
77,"2808  Stone Lane","","Philadelphia","Pennsylvania","19108","Billing"
78,"4880  Goosetown Drive","","Charlotte","North Carolina","28202","Billing"
79,"1848  Green Hill Road","","Clarksville","Arkansas","72830","Billing"
80,"1702  Joes Road","","Latham","New York","12110","Billing"
81,"1990  Red Maple Drive","","Long Beach","California","90802","Billing"
82,"4500  Davis Street","","Columbus","Georgia","31901","Billing"
83,"2496  Public Works Drive","","Spring City","Tennessee","37381","Billing"
