customer_id,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Full Name
2884,"Female",99,1962-01-06 00:00:00.000,"Assistant Professor","No industry category","Mass Customer","N","No",15,"Karola Conneely"
1452,"Male",99,1955-12-31 00:00:00.000,"Safety Technician III","Retail","Mass Customer","N","No",20,"Zachery Hamber"
2354,"Female",99,1958-12-19 00:00:00.000,"Product Engineer","Retail","Mass Customer","N","No",17,"Tammie Fisbey"
227,"Male",99,1973-08-14 00:00:00.000,"Accountant I","Entertainment","Mass Customer","N","No",18,"Wendall McKeand"
555,"Male",99,1970-11-08 00:00:00.000,"Junior Executive","Property","Mass Customer","N","No",4,"Jarib Senior"
2181,"Male",99,1974-07-17 00:00:00.000,"Account Executive","IT","Mass Customer","N","Yes",8,"Tobe Roxby"
3432,"Female",99,1988-11-27 00:00:00.000,"Junior Executive","Argiculture","Mass Customer","N","Yes",2,"Max Cloney"
3815,"Male",99,1981-04-19 00:00:00.000,"Librarian","Entertainment","Mass Customer","N","Yes",5,"Jayson Gasparro"
2064,"Male",99,1969-05-19 00:00:00.000,"VP Marketing","Health","Mass Customer","N","Yes",18,"Reynard Jaffrey"
3607,"Male",99,2001-05-22 00:00:00.000,"Clinical Specialist","Health","Mass Customer","N","No",1,"Troy Blaydes"
1380,"Female",99,1998-09-30 00:00:00.000,"Financial Analyst","Financial Services","Mass Customer","N","No",3,"Lavina Clavey"
2509,"Male",99,1971-07-07 00:00:00.000,"Help Desk Technician","Financial Services","Mass Customer","N","No",7,"Danya Beadles"
3660,"Male",99,1981-03-14 00:00:00.000,"Administrative Assistant IV","Financial Services","Mass Customer","N","No",7,"Gradeigh Hothersall"
1098,"Female",99,1989-02-01 00:00:00.000,"Administrative Assistant IV","Financial Services","Mass Customer","N","Yes",12,"Maure Crow"
2402,"Female",99,1957-06-07 00:00:00.000,"Cost Accountant","Financial Services","Mass Customer","N","Yes",8,"Merrielle Strafen"
3496,"Male",99,1986-04-25 00:00:00.000,"Editor","Manufacturing","Mass Customer","N","Yes",19,"Danya Burnyeat"
1364,"Male",99,1978-04-20 00:00:00.000,"Junior Executive","Manufacturing","Mass Customer","N","No",21,"Selby Cabbell"
