Customer Name,State,Profit Margins
Alan Sims,New Jersey,36.04%
Alan Sims,South Carolina,23.02%
Alan Sims,Virginia,34.14%
Alan Thomas,Florida,28.50%
Alan Thomas,New Jersey,36.04%
Alan Thomas,New York,27.76%
Alan Thomas,North Carolina,28.98%
Alan Thomas,South Carolina,49.00%
Alan Thomas,Virginia,32.03%
Albert Cunningham,New Jersey,22.22%
Albert Cunningham,New York,28.44%
Albert Jacobs,Connecticut,28.96%
Albert Jacobs,New Hampshire,35.01%
Albert Jacobs,New Jersey,46.05%
Albert Jacobs,New York,26.99%
Albert Jacobs,South Carolina,18.02%
Albert Kennedy,Connecticut,28.98%
Albert Kennedy,Florida,30.78%
Albert Kennedy,New Jersey,28.96%
Albert Kennedy,New York,47.06%
Albert Kennedy,South Carolina,36.02%
Albert Rice,Connecticut,28.98%
Albert Rice,Florida,36.04%
Albert Rice,Georgia,28.98%
Albert Rice,New York,31.03%
Albert Rice,North Carolina,40.00%
Albert Robinson,Florida,24.26%
Albert Robinson,Maryland,46.05%
Albert Robinson,New York,31.99%
Albert Robinson,North Carolina,31.18%
Albert Young,Florida,31.97%
Albert Young,New York,36.42%
Albert Young,Virginia,39.93%
Andrew Adams,Florida,24.66%
Andrew Adams,Georgia,41.04%
Andrew Adams,New York,46.01%
Andrew Burns,Connecticut,45.53%
Andrew Burns,Florida,27.76%
Andrew Burns,Georgia,27.03%
Andrew Burns,New York,32.03%
Andrew Butler,Florida,31.03%
Andrew Butler,Massachusetts,46.01%
Andrew Butler,New Jersey,24.01%
Andrew Butler,New York,37.80%
Andrew Butler,Virginia,28.96%
Andrew Fernandez,Florida,40.04%
Andrew Fernandez,New York,47.21%
Andrew Fernandez,North Carolina,37.01%
Andrew Graham,Florida,35.11%
Andrew Graham,New Jersey,19.07%
Andrew Graham,New York,37.80%
Andrew Hansen,Florida,41.65%
Andrew Hansen,Maryland,47.06%
Andrew Hansen,New Hampshire,35.01%
Andrew Hansen,New Jersey,31.99%
Andrew Hansen,North Carolina,24.01%
Andrew James,Florida,29.07%
Andrew James,New Jersey,49.00%
Andrew James,New York,39.93%
Andrew Martin,Connecticut,38.96%
Andrew Martin,Florida,42.23%
Andrew Martin,Massachusetts,38.96%
Andrew Martin,New York,32.89%
Andrew Martin,Virginia,32.73%
Andrew Peters,Florida,39.61%
Andrew Peters,Georgia,43.87%
Andrew Peters,New Jersey,26.99%
Andrew Reynolds,Connecticut,29.36%
Andrew Reynolds,Florida,28.24%
Andrew Reynolds,Georgia,31.97%
Andrew Reynolds,New Jersey,46.05%
Andrew Reynolds,New York,49.00%
Andrew Reynolds,North Carolina,31.96%
Andrew Reynolds,Virginia,36.04%
Andrew Robinson,Florida,25.41%
Andrew Robinson,Massachusetts,24.68%
Andrew Robinson,New York,17.99%
Anthony Banks,Connecticut,26.99%
Anthony Banks,Florida,31.11%
Anthony Banks,New York,49.00%
Anthony Banks,Virginia,22.02%
Anthony Berry,Georgia,28.98%
Anthony Berry,New York,17.99%
Anthony Berry,North Carolina,44.99%
Anthony Chapman,Connecticut,47.06%
Anthony Chapman,Florida,28.00%
Anthony Chapman,Georgia,46.01%
Anthony Chapman,New York,44.99%
Anthony Chapman,North Carolina,28.96%
Anthony Chapman,Rhode Island,24.01%
Anthony Fisher,Florida,36.04%
Anthony Fisher,New Jersey,35.47%
Anthony Fisher,North Carolina,22.02%
Anthony Little,New York,18.53%
Anthony Parker,Florida,41.04%
Anthony Parker,New Jersey,32.72%
Anthony Simpson,Florida,31.33%
Anthony Simpson,Georgia,18.02%
Anthony Simpson,North Carolina,41.04%
Anthony Simpson,South Carolina,31.03%
Anthony Simpson,Virginia,37.57%
Anthony Torres,Florida,31.84%
Anthony Torres,Maryland,28.18%
Anthony Torres,New Jersey,46.03%
Anthony Torres,North Carolina,40.00%
Anthony Turner,Florida,39.93%
Anthony Turner,Georgia,41.04%
Anthony Turner,Maryland,28.18%
Anthony Turner,New Hampshire,17.99%
Anthony Turner,North Carolina,30.03%
Anthony Turner,Virginia,22.02%
Antonio Cooper,Florida,32.03%
Antonio Cooper,New York,28.71%
Antonio Cooper,North Carolina,40.00%
Antonio Diaz,Connecticut,46.05%
Antonio Diaz,Florida,43.44%
Antonio Diaz,New York,46.01%
Antonio Dixon,Florida,44.99%
Antonio Dixon,New York,36.02%
Antonio Dixon,Virginia,32.03%
Antonio Frazier,Florida,41.71%
Antonio Frazier,North Carolina,31.97%
Antonio Green,Connecticut,38.96%
Antonio Morris,Florida,24.01%
Antonio Morris,North Carolina,32.75%
Antonio Morris,South Carolina,36.02%
Antonio Morris,Virginia,31.97%
Antonio Nelson,Connecticut,37.46%
Antonio Nelson,Florida,28.18%
Antonio Nelson,North Carolina,49.00%
Antonio Owens,Massachusetts,44.99%
Antonio Owens,Virginia,27.59%
Antonio Shaw,Connecticut,31.03%
Antonio Shaw,Florida,32.38%
Antonio Shaw,Georgia,36.16%
Antonio Shaw,Massachusetts,31.03%
Antonio Shaw,South Carolina,31.96%
Arthur Gilbert,Connecticut,22.02%
Arthur Gilbert,Florida,36.04%
Arthur Gilbert,North Carolina,36.02%
Arthur Gilbert,South Carolina,47.06%
Arthur Reid,Connecticut,24.01%
Arthur Reid,Florida,48.18%
Arthur Roberts,Connecticut,37.80%
Arthur Roberts,Florida,28.96%
Arthur Roberts,Massachusetts,32.03%
Arthur Roberts,New York,28.96%
Arthur Roberts,North Carolina,31.97%
Arthur Webb,Florida,25.99%
Arthur Webb,North Carolina,28.18%
Arthur Webb,Virginia,39.93%
Arthur Welch,Florida,22.02%
Arthur Welch,New York,18.02%
Arthur Welch,South Carolina,31.97%
Benjamin Carpenter,New York,31.99%
Benjamin Carter,Connecticut,30.13%
Benjamin Carter,Massachusetts,49.00%
Benjamin Carter,New York,28.00%
Benjamin Carter,South Carolina,21.66%
Benjamin Carter,Virginia,37.80%
Benjamin Garza,Connecticut,36.16%
Benjamin Garza,Florida,41.04%
Benjamin Garza,New York,28.18%
Benjamin Garza,South Carolina,17.99%
Benjamin Garza,Virginia,36.04%
Benjamin Jacobs,Florida,39.72%
Benjamin Jacobs,New York,31.03%
Benjamin Jacobs,Virginia,28.96%
Benjamin Kim,Maryland,46.01%
Benjamin Kim,New York,24.29%
Benjamin Lynch,Connecticut,34.14%
Benjamin Lynch,Massachusetts,28.96%
Benjamin Lynch,Virginia,28.18%
Benjamin Moreno,Florida,32.45%
Benjamin Moreno,Georgia,37.01%
Benjamin Moreno,Massachusetts,37.01%
Benjamin Moreno,New Jersey,31.99%
Benjamin Morgan,Maryland,28.96%
Benjamin Morgan,Massachusetts,46.05%
Benjamin Morgan,New York,31.97%
Benjamin Murray,Connecticut,30.70%
Benjamin Murray,Florida,41.04%
Benjamin Murray,Georgia,26.99%
Benjamin Murray,Massachusetts,38.96%
Benjamin Murray,New Jersey,37.01%
Benjamin Murray,New York,24.01%
Benjamin Ryan,Georgia,36.02%
Benjamin Ryan,New York,18.02%
Benjamin Stanley,Connecticut,40.00%
Benjamin Stanley,Florida,22.02%
Benjamin Stanley,New York,26.02%
Benjamin Stanley,North Carolina,22.02%
Benjamin Stanley,Virginia,31.97%
Benjamin Vasquez,Georgia,28.96%
Benjamin Vasquez,New York,32.03%
Benjamin Vasquez,North Carolina,36.04%
Billy Adams,Florida,46.01%
Billy Adams,Georgia,36.02%
Billy Adams,Massachusetts,38.96%
Billy Adams,New York,26.89%
Billy Adams,Rhode Island,37.01%
Billy Adams,Virginia,26.99%
Billy Cook,Connecticut,44.49%
Billy Cook,Massachusetts,36.67%
Billy Cook,New Hampshire,32.03%
Billy Cook,New Jersey,31.96%
Billy Cook,New York,35.05%
Billy Evans,Florida,28.98%
Billy Evans,New York,47.06%
Billy Evans,Rhode Island,28.18%
Billy Evans,South Carolina,39.93%
Billy Gonzales,Florida,41.17%
Billy Gonzales,Massachusetts,31.99%
Billy Gonzales,North Carolina,36.04%
Billy Gonzales,Virginia,24.01%
Billy Kennedy,Georgia,44.99%
Billy Kennedy,New York,36.04%
Billy Kennedy,Virginia,38.96%
Billy Miller,Florida,37.42%
Billy Miller,New York,41.04%
Billy Miller,North Carolina,40.10%
Billy Miller,Virginia,18.02%
Billy Nelson,Florida,39.93%
Billy Nelson,South Carolina,49.00%
Billy Nelson,Virginia,36.52%
Billy Olson,Connecticut,36.02%
Billy Olson,Florida,30.33%
Billy Olson,New York,32.03%
Billy Olson,South Carolina,49.00%
Billy Reid,Connecticut,28.45%
Billy Reid,Florida,31.97%
Billy Reid,New Jersey,26.97%
Billy Reid,New York,22.02%
Billy West,Connecticut,32.03%
Billy West,Florida,39.93%
Billy West,Georgia,31.99%
Billy West,New Jersey,28.98%
Billy West,North Carolina,31.03%
Bobby Black,Connecticut,46.05%
Bobby Black,Florida,40.00%
Bobby Black,Georgia,26.99%
Bobby Black,New York,32.03%
Bobby Black,North Carolina,46.01%
Bobby Burton,Connecticut,38.96%
Bobby Burton,Florida,35.44%
Bobby Burton,New Jersey,34.77%
Bobby Burton,New York,26.99%
Bobby Burton,Virginia,47.06%
Bobby Coleman,Florida,36.89%
Bobby Coleman,New Jersey,41.04%
Bobby Coleman,North Carolina,40.00%
Bobby Duncan,Florida,37.80%
Bobby Duncan,Massachusetts,28.96%
Bobby Duncan,New York,43.44%
Bobby Duncan,North Carolina,35.19%
Bobby Duncan,Virginia,46.01%
Bobby Greene,Georgia,28.00%
Bobby Greene,Maryland,46.05%
Bobby Greene,New Hampshire,41.04%
Bobby Greene,New Jersey,17.99%
Bobby Greene,New York,49.00%
Bobby Hughes,Connecticut,44.99%
Bobby Hughes,Florida,31.99%
Bobby Hughes,Georgia,31.97%
Bobby Hughes,Maryland,31.99%
Bobby Hughes,Massachusetts,28.98%
Bobby Hughes,New Jersey,38.96%
Bobby Jackson,New York,38.31%
Bobby Jackson,North Carolina,28.96%
Bobby Murray,Connecticut,38.96%
Bobby Murray,Florida,35.47%
Bobby Murray,North Carolina,32.03%
Bobby Murray,Rhode Island,41.04%
Bobby Murray,South Carolina,28.00%
Bobby Willis,Connecticut,46.01%
Bobby Willis,Florida,33.66%
Bobby Willis,Georgia,46.05%
Bobby Willis,Maryland,35.01%
Bobby Willis,New York,32.45%
Brandon Bailey,Florida,46.01%
Brandon Bailey,Georgia,40.00%
Brandon Bailey,New York,26.99%
Brandon Diaz,Florida,31.03%
Brandon Diaz,New York,35.75%
Brandon Diaz,North Carolina,40.00%
Brandon Diaz,South Carolina,36.02%
Brandon Diaz,Virginia,47.06%
Brandon Dixon,Connecticut,24.01%
Brandon Dixon,Florida,36.90%
Brandon Dixon,North Carolina,17.99%
Brandon Dixon,Virginia,49.00%
Brandon Martin,Florida,30.19%
Brandon Martin,Maryland,47.06%
Brandon Martin,New Hampshire,23.02%
Brandon Martin,New Jersey,40.97%
Brandon Martin,New York,37.80%
Brandon Martin,North Carolina,35.01%
Brandon Martin,Virginia,24.01%
Brandon Wood,Connecticut,28.98%
Brandon Wood,Florida,37.80%
Brandon Wood,New Jersey,49.00%
Brandon Wood,New York,37.89%
Brandon Wright,Connecticut,40.00%
Brandon Wright,Florida,38.96%
Brandon Wright,Georgia,37.80%
Brian Hunter,Florida,28.92%
Brian Hunter,New Jersey,28.00%
Brian Hunter,New York,29.84%
Brian Kim,Connecticut,26.99%
Brian Kim,Florida,26.97%
Brian Kim,Georgia,18.02%
Brian Kim,New Jersey,42.22%
Brian Kim,New York,40.00%
Brian Kim,North Carolina,31.97%
Brian Kim,Virginia,17.99%
Brian Murphy,Florida,38.96%
Brian Murphy,Maryland,31.99%
Brian Murphy,North Carolina,26.99%
Brian Rice,Florida,31.96%
Brian Rice,New Hampshire,31.97%
Brian Taylor,Maryland,35.01%
Brian Taylor,New York,36.02%
Brian Warren,New York,38.02%
Bruce Armstrong,Florida,29.63%
Bruce Armstrong,Georgia,27.48%
Bruce Armstrong,Maryland,28.18%
Bruce Armstrong,North Carolina,37.01%
Bruce Bowman,Florida,22.02%
Bruce Bowman,Georgia,32.03%
Bruce Bowman,New Jersey,31.99%
Bruce Bowman,North Carolina,32.03%
Bruce Butler,Connecticut,47.06%
Bruce Butler,Florida,40.03%
Bruce Butler,New Jersey,37.56%
Bruce Butler,New York,28.41%
Bruce Butler,North Carolina,47.06%
Bruce Chapman,Florida,41.04%
Bruce Chapman,New York,37.31%
Bruce Chapman,North Carolina,31.03%
Bruce Hamilton,Connecticut,36.02%
Bruce Hamilton,Maryland,28.98%
Bruce Hamilton,New York,31.97%
Bruce Hamilton,North Carolina,26.99%
Bruce Harris,Connecticut,37.01%
Bruce Harris,Florida,35.61%
Bruce Harris,New Jersey,46.05%
Bruce Harris,New York,32.44%
Bruce King,Florida,37.17%
Bruce King,Virginia,38.36%
Bruce Morrison,Connecticut,32.03%
Bruce Morrison,Florida,31.20%
Bruce Morrison,Maryland,33.37%
Bruce Morrison,New York,36.55%
Bruce Morrison,North Carolina,37.80%
Bruce Morrison,South Carolina,31.96%
Bruce Oliver,Connecticut,44.99%
Bruce Oliver,Florida,39.93%
Bruce Porter,Connecticut,31.99%
Bruce Porter,Florida,32.66%
Bruce Porter,New York,24.61%
Bruce Porter,North Carolina,37.80%
Carl Anderson,Connecticut,28.98%
Carl Anderson,New York,49.00%
Carl Collins,North Carolina,46.01%
Carl Jones,Connecticut,42.47%
Carl Jones,Florida,35.50%
Carl Jones,New York,47.64%
Carl Jones,Virginia,22.02%
Carl Martin,Connecticut,37.61%
Carl Martin,Florida,37.03%
Carl Martin,Massachusetts,31.96%
Carl Martin,New Jersey,28.00%
Carl Martin,New York,32.01%
Carl Martin,Virginia,18.02%
Carl Murphy,Connecticut,40.00%
Carl Murphy,Georgia,28.97%
Carl Murphy,New York,32.03%
Carl Nguyen,Florida,38.08%
Carl Nguyen,New York,28.00%
Carl Nguyen,Virginia,22.02%
Carl Reid,Connecticut,44.99%
Carl Reid,New York,43.33%
Carl Reid,North Carolina,31.03%
Carl Reid,South Carolina,36.04%
Carlos Hunt,Connecticut,26.99%
Carlos Hunt,Florida,47.06%
Carlos Hunt,Georgia,24.01%
Carlos Hunt,New York,47.55%
Carlos Hunt,North Carolina,28.98%
Carlos Kim,Florida,44.99%
Carlos Kim,New York,44.99%
Carlos Kim,Virginia,23.02%
Carlos Martinez,Connecticut,41.04%
Carlos Martinez,New York,36.70%
Carlos Martinez,North Carolina,47.06%
Carlos Miller,Florida,18.02%
Carlos Miller,New Jersey,26.99%
Carlos Miller,New York,42.25%
Carlos Reed,Massachusetts,26.99%
Carlos Reed,New Jersey,49.00%
Carlos Reed,South Carolina,46.05%
Carlos Scott,Connecticut,31.03%
Carlos Scott,Florida,26.99%
Carlos Scott,New Jersey,28.00%
Carlos Scott,New York,28.18%
Carlos Scott,Rhode Island,28.98%
Carlos Smith,Massachusetts,28.00%
Carlos Smith,New York,32.03%
Carlos Stewart,Connecticut,37.01%
Carlos Stewart,Florida,36.98%
Carlos Stewart,Massachusetts,28.00%
Carlos Stewart,New York,31.96%
Carlos Stewart,North Carolina,37.42%
Carlos Wheeler,Connecticut,28.18%
Carlos Wheeler,Florida,38.33%
Carlos Wheeler,Georgia,40.00%
Carlos Wheeler,New Jersey,31.97%
Carlos Wheeler,South Carolina,30.23%
Carlos Young,Florida,39.93%
Carlos Young,Maryland,32.03%
Carlos Young,New York,33.14%
Carlos Young,North Carolina,31.03%
Charles Bell,Florida,36.38%
Charles Bell,Massachusetts,28.96%
Charles Bell,South Carolina,36.04%
Charles Fields,Florida,40.00%
Charles Fields,New Jersey,28.98%
Charles Fields,New York,31.03%
Charles Fields,Virginia,31.97%
Charles Henderson,Massachusetts,37.80%
Charles Henderson,New York,29.23%
Charles Henderson,Virginia,49.00%
Charles Hughes,Florida,42.78%
Charles Montgomery,Connecticut,22.02%
Charles Montgomery,Florida,28.92%
Charles Montgomery,Georgia,28.00%
Charles Montgomery,North Carolina,37.80%
Charles Perry,Connecticut,26.99%
Charles Perry,Florida,28.18%
Charles Perry,New York,28.98%
Charles Perry,North Carolina,36.02%
Charles Perry,South Carolina,26.99%
Charles Perry,Virginia,28.98%
Charles Richards,Connecticut,28.96%
Charles Richards,Florida,35.01%
Charles Richards,North Carolina,18.02%
Charles Richards,Virginia,42.69%
Charles Shaw,Connecticut,40.00%
Charles Shaw,Florida,37.80%
Charles Shaw,New Jersey,36.02%
Charles Shaw,New York,35.01%
Charles Sims,Florida,36.02%
Charles Sims,Georgia,47.06%
Charles Sims,Rhode Island,41.04%
Chris Armstrong,Connecticut,34.36%
Chris Armstrong,Florida,28.00%
Chris Armstrong,New York,33.90%
Chris Armstrong,Rhode Island,23.02%
Chris Burke,Connecticut,46.01%
Chris Burke,South Carolina,28.96%
Chris Burke,Virginia,46.05%
Chris Chapman,Connecticut,38.92%
Chris Chapman,New York,46.01%
Chris Chapman,Virginia,41.04%
Chris Fuller,Florida,35.01%
Chris Fuller,Georgia,27.00%
Chris Hall,Florida,24.15%
Chris Hall,Massachusetts,46.05%
Chris Hall,New York,36.64%
Chris Hall,South Carolina,23.02%
Chris Howard,Florida,44.99%
Chris Howard,Massachusetts,32.03%
Chris Howard,New York,37.59%
Chris Howard,South Carolina,44.99%
Christopher Arnold,Florida,24.01%
Christopher Arnold,Georgia,36.04%
Christopher Arnold,Massachusetts,23.02%
Christopher Arnold,New York,30.91%
Christopher Arnold,North Carolina,31.96%
Christopher Arnold,Virginia,28.18%
Christopher Hudson,Connecticut,42.62%
Christopher Hudson,Florida,46.05%
Christopher Hudson,New York,42.87%
Christopher Johnston,Florida,37.01%
Christopher Johnston,Georgia,28.98%
Christopher Johnston,New York,34.58%
Christopher Johnston,Rhode Island,26.99%
Christopher Johnston,Virginia,49.00%
Christopher Kim,Florida,28.91%
Christopher Kim,Maryland,32.03%
Christopher Kim,South Carolina,28.96%
Christopher Matthews,Florida,36.04%
Christopher Matthews,Georgia,31.99%
Christopher Matthews,Maryland,46.05%
Christopher Matthews,New Hampshire,22.02%
Christopher Matthews,New York,44.49%
Christopher Matthews,Virginia,40.00%
Christopher Miller,Connecticut,35.01%
Christopher Miller,New York,22.02%
Christopher Miller,Virginia,37.80%
Christopher Nguyen,Connecticut,37.80%
Christopher Nguyen,Georgia,26.97%
Christopher Nguyen,Massachusetts,28.00%
Christopher Nguyen,New Jersey,28.96%
Christopher Nguyen,New York,30.15%
Christopher Nguyen,North Carolina,31.96%
Christopher Nguyen,South Carolina,31.03%
Christopher Nguyen,Virginia,44.18%
Christopher Ramos,Connecticut,28.18%
Christopher Ramos,New York,31.97%
Christopher Ramos,North Carolina,44.99%
Christopher Ramos,Virginia,31.03%
Christopher Weaver,Connecticut,36.04%
Christopher Weaver,Florida,35.35%
Christopher Weaver,Georgia,47.06%
Christopher Weaver,Massachusetts,36.04%
Christopher Weaver,North Carolina,40.00%
Christopher Weaver,South Carolina,32.43%
Christopher Wright,Connecticut,32.03%
Christopher Wright,Florida,47.15%
Christopher Wright,New York,28.00%
Christopher Wright,North Carolina,31.99%
Christopher Wright,Virginia,28.96%
Clarence Austin,Connecticut,47.06%
Clarence Austin,Florida,38.96%
Clarence Austin,Georgia,37.01%
Clarence Austin,New Jersey,31.96%
Clarence Austin,North Carolina,44.99%
Clarence Austin,Virginia,24.68%
Clarence Cunningham,Connecticut,38.96%
Clarence Cunningham,Florida,28.18%
Clarence Cunningham,Massachusetts,46.05%
Clarence Cunningham,North Carolina,37.80%
Clarence Cunningham,Virginia,28.96%
Clarence Freeman,Connecticut,38.79%
Clarence Freeman,Florida,19.55%
Clarence Freeman,New Jersey,37.01%
Clarence Grant,Connecticut,37.80%
Clarence Grant,Florida,29.36%
Clarence Grant,New York,19.71%
Clarence Grant,Virginia,38.96%
Clarence Greene,Connecticut,28.07%
Clarence Greene,Florida,39.46%
Clarence Greene,Massachusetts,32.53%
Clarence Greene,New Jersey,41.71%
Clarence Greene,North Carolina,49.00%
Clarence Kelley,Florida,37.01%
Clarence Kelley,New Hampshire,35.01%
Clarence Kelley,New Jersey,34.91%
Clarence Kelley,New York,43.02%
Clarence Warren,Georgia,41.04%
Clarence Warren,Massachusetts,32.03%
Clarence Warren,New York,29.11%
Clarence Warren,Virginia,17.99%
Craig Mills,Florida,27.95%
Craig Mills,Georgia,47.06%
Craig Mills,New York,25.52%
Craig Reyes,New York,28.18%
Craig Reyes,North Carolina,17.99%
Craig Rodriguez,Florida,44.99%
Craig Rodriguez,Maryland,32.03%
Craig Rodriguez,New Jersey,31.99%
Craig Rodriguez,South Carolina,21.51%
Craig Wright,Connecticut,46.01%
Craig Wright,Florida,31.41%
Craig Wright,Georgia,44.99%
Craig Wright,New Jersey,37.01%
Daniel Barnes,Connecticut,28.18%
Daniel Barnes,Florida,18.02%
Daniel Barnes,Georgia,47.06%
Daniel Barnes,Maryland,24.01%
Daniel Barnes,New Jersey,35.01%
Daniel Barnes,New York,28.18%
Daniel Berry,Florida,28.00%
Daniel Berry,New York,47.71%
Daniel Berry,North Carolina,28.18%
Daniel Berry,Rhode Island,28.00%
Daniel Carroll,Florida,46.01%
Daniel Carroll,Massachusetts,39.93%
Daniel Carroll,New York,31.96%
Daniel Dixon,Connecticut,44.99%
Daniel Dixon,Florida,44.99%
Daniel Dixon,Massachusetts,28.08%
Daniel Dixon,Virginia,31.97%
Daniel Fernandez,Florida,29.23%
Daniel Fernandez,Georgia,24.01%
Daniel Fernandez,Massachusetts,31.99%
Daniel Fernandez,New York,24.01%
Daniel Moreno,Georgia,36.04%
Daniel Moreno,New Jersey,21.23%
Daniel Moreno,New York,29.83%
Daniel Moreno,Virginia,26.80%
Daniel Nguyen,Connecticut,36.02%
Daniel Nguyen,Florida,30.73%
Daniel Nguyen,New Jersey,40.00%
Daniel Perry,Florida,31.99%
Daniel Perry,Georgia,31.96%
Daniel Perry,Massachusetts,24.01%
Daniel Perry,New Jersey,37.80%
Daniel Perry,New York,41.04%
Daniel West,Florida,44.30%
Daniel West,Massachusetts,31.97%
David Ford,Florida,36.41%
David Ford,Georgia,40.00%
David Ford,New Jersey,41.04%
David Ford,North Carolina,38.96%
David Garrett,Connecticut,36.02%
David Garrett,Florida,39.30%
David Garrett,Georgia,17.99%
David Garrett,Massachusetts,28.98%
David Garrett,New Jersey,37.80%
David Garrett,New York,35.01%
David Mendoza,Florida,30.34%
David Mendoza,New Jersey,31.99%
David Mendoza,New York,37.01%
David Mendoza,North Carolina,31.99%
David Nguyen,Connecticut,23.02%
David Nguyen,Georgia,39.93%
David Nguyen,Massachusetts,37.80%
David Nguyen,New York,46.01%
David Nguyen,Virginia,17.99%
David Olson,Florida,26.99%
David Olson,Georgia,49.00%
David Olson,Maryland,31.03%
David Olson,New York,31.99%
David Perkins,Connecticut,40.00%
David Perkins,Florida,28.90%
David Smith,New York,46.01%
David Smith,Virginia,26.99%
David Wheeler,Connecticut,26.99%
David Wheeler,Florida,28.00%
David Wheeler,Rhode Island,31.97%
David Wilson,Florida,40.00%
David Wilson,Virginia,31.96%
Dennis Morris,Florida,28.96%
Dennis Morris,North Carolina,38.96%
Dennis Morris,Virginia,28.00%
Dennis Myers,North Carolina,23.02%
Dennis Ruiz,Florida,25.30%
Dennis Ruiz,Georgia,34.84%
Dennis Ruiz,New York,30.08%
Dennis Ruiz,Virginia,46.01%
Dennis Scott,Florida,35.39%
Dennis Scott,North Carolina,28.00%
Donald Andrews,Connecticut,32.03%
Donald Andrews,Florida,36.69%
Donald Andrews,Georgia,26.99%
Donald Andrews,Virginia,27.80%
Donald Carroll,Connecticut,37.01%
Donald Carroll,New Jersey,22.02%
Donald Collins,Connecticut,28.96%
Donald Collins,Florida,44.99%
Donald Collins,Massachusetts,31.03%
Donald Collins,North Carolina,37.80%
Donald Diaz,Connecticut,40.00%
Donald Diaz,New York,17.99%
Donald Diaz,South Carolina,46.01%
Donald Morris,Georgia,43.33%
Donald Morris,New York,36.02%
