campusname,campusid,professorid,professorname,departmentid,departmentname,courseid,coursename
"North West Campus",207,518,"Angela Weston",1008,"Health Informatics",6004,"Design Patterns"
"Sister Campus",208,518,"Angela Weston",1008,"Health Informatics",6004,"Design Patterns"
"Main Campus",204,505,"Haidar Jacobs",1003,"Computer Science",6005,"Datawarehousing and Business Intelligence"
"East West Campus",205,505,"Haidar Jacobs",1003,"Computer Science",6005,"Datawarehousing and Business Intelligence"
"Research Center",209,505,"Haidar Jacobs",1003,"Computer Science",6005,"Datawarehousing and Business Intelligence"
"Main Campus",204,511,"Vinny Norton",1002,"Industrial Engineering",6005,"Datawarehousing and Business Intelligence"
"East West Campus",205,511,"Vinny Norton",1002,"Industrial Engineering",6005,"Datawarehousing and Business Intelligence"
"Research Center",209,511,"Vinny Norton",1002,"Industrial Engineering",6005,"Datawarehousing and Business Intelligence"
"North East Campus",200,506,"Shakir Goulding",1004,"Software Engineering",6006,"Data Science Methods and Tools"
"East West Campus",205,506,"Shakir Goulding",1004,"Software Engineering",6006,"Data Science Methods and Tools"
"South East Campus",206,506,"Shakir Goulding",1004,"Software Engineering",6006,"Data Science Methods and Tools"
"North East Campus",200,517,"Alara Rivera",1010,"Bioinformatics",6006,"Data Science Methods and Tools"
"East West Campus",205,517,"Alara Rivera",1010,"Bioinformatics",6006,"Data Science Methods and Tools"
"South East Campus",206,517,"Alara Rivera",1010,"Bioinformatics",6006,"Data Science Methods and Tools"
"West Campus",201,503,"Jacob Porter",1001,"Data Analytics Engineering",6007,"Application Engineering Development"
"South East Campus",206,503,"Jacob Porter",1001,"Data Analytics Engineering",6007,"Application Engineering Development"
"North West Campus",207,503,"Jacob Porter",1001,"Data Analytics Engineering",6007,"Application Engineering Development"
"West Campus",201,518,"Angela Weston",1008,"Health Informatics",6007,"Application Engineering Development"
"South East Campus",206,518,"Angela Weston",1008,"Health Informatics",6007,"Application Engineering Development"
"North West Campus",207,518,"Angela Weston",1008,"Health Informatics",6007,"Application Engineering Development"
"West Campus",201,508,"Ranveer Stamp",1008,"Health Informatics",6008,"Network Structures and Cloud Computing"
"North West Campus",207,508,"Ranveer Stamp",1008,"Health Informatics",6008,"Network Structures and Cloud Computing"
"Sister Campus",208,508,"Ranveer Stamp",1008,"Health Informatics",6008,"Network Structures and Cloud Computing"
"Research Center",209,508,"Ranveer Stamp",1008,"Health Informatics",6008,"Network Structures and Cloud Computing"
"North East Campus",200,509,"Sumaiyah Herman",1009,"Regulatory Laws",6009,"Big Data Systems"
"North Campus",202,509,"Sumaiyah Herman",1009,"Regulatory Laws",6009,"Big Data Systems"
"South Campus",203,509,"Sumaiyah Herman",1009,"Regulatory Laws",6009,"Big Data Systems"
"Sister Campus",208,509,"Sumaiyah Herman",1009,"Regulatory Laws",6009,"Big Data Systems"
"Research Center",209,509,"Sumaiyah Herman",1009,"Regulatory Laws",6009,"Big Data Systems"
"North East Campus",200,508,"Ranveer Stamp",1008,"Health Informatics",6010,"Program Structures and Algorithms"
"West Campus",201,508,"Ranveer Stamp",1008,"Health Informatics",6010,"Program Structures and Algorithms"
"Main Campus",204,508,"Ranveer Stamp",1008,"Health Informatics",6010,"Program Structures and Algorithms"
"South East Campus",206,508,"Ranveer Stamp",1008,"Health Informatics",6010,"Program Structures and Algorithms"
"Sister Campus",208,508,"Ranveer Stamp",1008,"Health Informatics",6010,"Program Structures and Algorithms"
"Research Center",209,508,"Ranveer Stamp",1008,"Health Informatics",6010,"Program Structures and Algorithms"
"North East Campus",200,514,"Ann Storey",1004,"Software Engineering",6010,"Program Structures and Algorithms"
"West Campus",201,514,"Ann Storey",1004,"Software Engineering",6010,"Program Structures and Algorithms"
"Main Campus",204,514,"Ann Storey",1004,"Software Engineering",6010,"Program Structures and Algorithms"
"South East Campus",206,514,"Ann Storey",1004,"Software Engineering",6010,"Program Structures and Algorithms"
"Sister Campus",208,514,"Ann Storey",1004,"Software Engineering",6010,"Program Structures and Algorithms"
"Research Center",209,514,"Ann Storey",1004,"Software Engineering",6010,"Program Structures and Algorithms"
