first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,Age_Group,Full_name
"Frederik","Milan","Male",45,"13/11/1997",24,"N/A","Health","Mass Customer","N","No",5,"56 Riverside Street",2546,"NSW","Australia",5,114,1.275,"20-29","Frederik Milan"
"Viki","Coutts","Female",2,"14/12/1952",69,"Automation Specialist II","Property","Mass Customer","N","Yes",7,"6 Golf View Alley",2287,"NSW","Australia",4,120,1.2625,"60-69","Viki Coutts"
"Alexander","Broadbent","Male",57,"28/05/1997",24,"Desktop Support Technician","N/A","Mass Customer","N","No",9,"265 Stephen Trail",2209,"NSW","Australia",10,120,1.2625,"20-29","Alexander Broadbent"
"Ricki","Dobrowski","Male",13,"10/03/1975",47,"Civil Engineer","Manufacturing","Mass Customer","N","Yes",9,"8 Eggendart Pass",2835,"NSW","Australia",1,127,1.25,"40-49","Ricki Dobrowski"
"Nowell","Preddy","Male",29,"23/07/1985",36,"N/A","Manufacturing","Mass Customer","N","No",9,"932 Glendale Avenue",2173,"NSW","Australia",9,133,1.2375,"30-39","Nowell Preddy"
"Padraig","Snel","Male",89,"08/11/1970",51,"Staff Accountant II","N/A","Mass Customer","N","No",19,"12683 Mifflin Point",2114,"NSW","Australia",7,133,1.2375,"50-59","Padraig Snel"
"Shepperd","Ricards","Male",28,"27/09/1967",54,"Social Worker","Health","Mass Customer","N","Yes",16,"7 Oakridge Lane",2284,"NSW","Australia",4,133,1.2375,"50-59","Shepperd Ricards"
"Daryl","Pauncefort","Female",12,"18/06/1979",42,"Community Outreach Specialist","Financial Services","Mass Customer","N","Yes",12,"0 Dexter Parkway",2380,"NSW","Australia",3,133,1.2375,"40-49","Daryl Pauncefort"
"Nadiya","Balasini","Female",40,"05/11/1950",71,"Sales Associate","Financial Services","Mass Customer","N","No",15,"92934 Mallory Trail",2164,"NSW","Australia",9,146,1.225,"70-79","Nadiya Balasini"
"Tyne","Coate","Female",82,"15/07/1965",56,"Developer II","Manufacturing","Mass Customer","N","No",17,"90820 Thackeray Street",2218,"NSW","Australia",8,146,1.225,"50-59","Tyne Coate"
"Christie","Anders","Male",38,"02/10/1969",52,"VP Marketing","Retail","Mass Customer","N","No",16,"48 Ludington Plaza",2153,"NSW","Australia",10,146,1.225,"50-59","Christie Anders"
"Bernardine","Delmonti","Female",39,"31/03/1971",51,"N/A","Property","Mass Customer","N","No",17,"0721 Meadow Ridge Pass",2540,"NSW","Australia",8,146,1.225,"50-59","Bernardine Delmonti"
"Archibald","Blessed","Male",61,"10/02/1969",53,"VP Sales","Financial Services","Mass Customer","N","Yes",18,"7795 Memorial Drive",2016,"NSW","Australia",11,153,1.21875,"50-59","Archibald Blessed"
"Bill","","Female",74,"24/04/1963",59,"Human Resources Assistant II","Property","Mass Customer","N","Yes",19,"6704 Pine View Lane",2170,"NSW","Australia",9,155,1.2,"50-59","Bill "
"Roseanne","Caruth","Female",16,"25/05/1957",64,"Programmer Analyst III","Health","Mass Customer","N","No",7,"33652 Lyons Alley",2763,"NSW","Australia",9,158,1.1875,"60-69","Roseanne Caruth"
"Emilie","Brody","Female",3,"22/05/1979",42,"Director of Sales","N/A","Mass Customer","N","Yes",3,"5388 Burrows Alley",2073,"NSW","Australia",11,163,1.18203125,"40-49","Emilie Brody"
"Robert","Corkill","Male",55,"12/03/1976",46,"Clinical Specialist","Health","Mass Customer","N","No",4,"5612 Toban Point",2227,"NSW","Australia",10,166,1.175,"40-49","Robert Corkill"
"Sawyer","Sponton","Male",36,"22/02/1956",66,"Help Desk Technician","Property","Mass Customer","N","Yes",10,"5 Golf Terrace",2126,"NSW","Australia",11,166,1.175,"60-69","Sawyer Sponton"
"Feodor","Vickers","Male",60,"18/11/1989",32,"VP Quality Control","Financial Services","Mass Customer","N","Yes",4,"40809 Truax Way",2209,"NSW","Australia",6,173,1.171875,"30-39","Feodor Vickers"
"Omero","McDonand","Male",51,"01/04/1952",70,"Software Consultant","Manufacturing","Mass Customer","N","No",16,"48 Shoshone Park",2066,"NSW","Australia",9,177,1.1625,"70-79","Omero McDonand"
"Iain","Haversham","Male",92,"26/12/1950",71,"Sales Representative","Retail","Mass Customer","N","Yes",13,"170 Briar Crest Place",2120,"NSW","Australia",10,177,1.1625,"70-79","Iain Haversham"
"Harlin","Mazin","Male",34,"25/03/1974",48,"Computer Systems Analyst I","Manufacturing","Mass Customer","N","Yes",13,"735 Westridge Road",2454,"NSW","Australia",7,181,1.158125,"40-49","Harlin Mazin"
"Brigitte","Whellams","Female",67,"09/05/1973",48,"Payment Adjustment Coordinator","N/A","Mass Customer","N","Yes",17,"77785 Veith Lane",2766,"NSW","Australia",8,188,1.15625,"40-49","Brigitte Whellams"
"Franklin","Wohler","Male",55,"16/10/1938",83,"Clinical Specialist","Health","Mass Customer","N","Yes",7,"6966 Delladonna Street",2250,"NSW","Australia",8,191,1.15,"80+","Franklin Wohler"
"Ermentrude","Heindle","Female",47,"02/08/1969",52,"GIS Technical Architect","Argiculture","Mass Customer","N","No",7,"307 Knutson Center",2226,"NSW","Australia",10,191,1.15,"50-59","Ermentrude Heindle"
"Engracia","Dobbs","Female",84,"19/04/1959",63,"N/A","Health","Mass Customer","N","No",15,"72 Eliot Place",2250,"NSW","Australia",8,202,1.140625,"60-69","Engracia Dobbs"
"Alano","Satchel","Male",2,"26/11/1998",23,"Recruiting Manager","N/A","Mass Customer","N","No",2,"87107 Shelley Crossing",2429,"NSW","Australia",7,202,1.140625,"20-29","Alano Satchel"
"Jeanne","Darte","Female",70,"18/08/1955",66,"N/A","N/A","Mass Customer","N","Yes",11,"3 Homewood Park",2756,"NSW","Australia",7,206,1.1375,"60-69","Jeanne Darte"
"Mick","Macewan","Male",32,"12/12/1967",54,"Senior Cost Accountant","Financial Services","Mass Customer","N","No",16,"59254 Northland Alley",2032,"NSW","Australia",10,206,1.1375,"50-59","Mick Macewan"
"Kippy","Barabisch","Male",11,"07/04/2000",22,"Legal Assistant","Manufacturing","Mass Customer","N","No",4,"840 Graceland Street",2125,"NSW","Australia",11,215,1.12890625,"20-29","Kippy Barabisch"
"Rosalinde","Cubuzzi","Female",50,"04/09/1997",24,"Business Systems Development Analyst","N/A","Mass Customer","N","No",5,"6 Lotheville Trail",2444,"NSW","Australia",7,215,1.12890625,"20-29","Rosalinde Cubuzzi"
"Dorian","Stollen","Male",78,"16/02/1980",42,"Statistician I","Financial Services","Mass Customer","N","Yes",18,"72922 Cambridge Terrace",2026,"NSW","Australia",11,219,1.125,"40-49","Dorian Stollen"
"Kort","Disley","Male",66,"05/02/1979",43,"Technical Writer","Health","Mass Customer","N","Yes",7,"76 Donald Trail",2160,"NSW","Australia",9,219,1.125,"40-49","Kort Disley"
"Gretna","Thredder","Female",62,"08/01/1966",56,"N/A","N/A","Mass Customer","N","No",18,"1607 Westridge Drive",2203,"NSW","Australia",11,223,1.115625,"50-59","Gretna Thredder"
"Maribeth","Stivani","Female",46,"13/11/1954",67,"Associate Professor","Financial Services","Mass Customer","N","No",7,"945 Bobwhite Court",2430,"NSW","Australia",8,226,1.1125,"60-69","Maribeth Stivani"
"Gothart","Artus","Male",52,"31/05/1978",43,"Health Coach IV","Health","Mass Customer","N","Yes",14,"21824 Northridge Alley",2117,"NSW","Australia",10,231,1.105,"40-49","Gothart Artus"
"Danny","Bodle","Male",50,"24/09/1943",78,"Statistician I","Manufacturing","Mass Customer","N","Yes",18,"68 Anthes Park",2007,"NSW","Australia",9,231,1.105,"70-79","Danny Bodle"
"Vittorio","Boxen","Male",94,"15/08/1965",56,"Mechanical Systems Engineer","N/A","Mass Customer","N","No",14,"3 Anthes Court",2148,"NSW","Australia",9,233,1.1,"50-59","Vittorio Boxen"
"Deborah","Petrovsky","Female",53,"14/07/1943",78,"Teacher","Property","Mass Customer","N","No",16,"036 Redwing Street",2011,"NSW","Australia",7,233,1.1,"70-79","Deborah Petrovsky"
"Mariquilla","Springthorpe","Female",30,"04/04/1939",83,"Director of Sales","N/A","Mass Customer","N","Yes",8,"811 Melrose Park",2224,"NSW","Australia",10,237,1.094375,"80+","Mariquilla Springthorpe"
"Sunny","Christescu","Female",90,"12/03/1975",47,"Cost Accountant","Financial Services","Mass Customer","N","No",11,"6668 Blue Bill Park Plaza",2209,"NSW","Australia",10,250,1.075,"40-49","Sunny Christescu"
"Sharai","Priddie","Female",13,"16/01/1961",61,"Sales Representative","Retail","Mass Customer","N","No",9,"5202 Crowley Place",2145,"NSW","Australia",9,252,1.073125,"60-69","Sharai Priddie"
"Celeste","Fretson","Female",91,"16/09/1980",41,"Product Engineer","IT","Mass Customer","N","No",9,"14709 Portage Avenue",2166,"NSW","Australia",9,252,1.073125,"40-49","Celeste Fretson"
"Alleen","Eaken","Female",56,"31/08/1938",83,"N/A","N/A","Mass Customer","N","No",10,"343 Lakewood Center",2089,"NSW","Australia",12,259,1.0625,"80+","Alleen Eaken"
"Gerri","Schimann","Female",81,"17/11/1969",52,"Desktop Support Technician","Property","Mass Customer","N","Yes",18,"47 Kim Terrace",2566,"NSW","Australia",8,259,1.0625,"50-59","Gerri Schimann"
"Bartram","Di Lucia","Male",70,"03/01/1961",61,"N/A","Argiculture","Mass Customer","N","Yes",5,"83509 Delaware Street",2480,"NSW","Australia",3,271,1.06,"60-69","Bartram Di Lucia"
"Theresa","Cowper","Female",99,"24/08/1976",45,"Accountant III","Manufacturing","Mass Customer","N","No",3,"88 Mifflin Pass",2529,"NSW","Australia",10,271,1.06,"40-49","Theresa Cowper"
"Philbert","Raraty","Male",48,"28/06/1956",65,"Executive Secretary","Manufacturing","Mass Customer","N","No",6,"10 Dexter Park",2177,"NSW","Australia",9,274,1.051875,"60-69","Philbert Raraty"
"Cirillo","Frossell","Male",7,"14/10/1968",53,"Graphic Designer","N/A","Mass Customer","N","No",6,"602 Meadow Vale Lane",2111,"NSW","Australia",12,278,1.05,"50-59","Cirillo Frossell"
"Biddie","Gorce","Female",68,"30/01/1988",34,"Senior Financial Analyst","Financial Services","Mass Customer","N","Yes",5,"2116 Continental Terrace",2795,"NSW","Australia",7,295,1.03125,"30-39","Biddie Gorce"
"Geoff","Sitford","Male",97,"27/02/1965",57,"Account Executive","Financial Services","Mass Customer","N","Yes",4,"7 Elgar Road",2148,"NSW","Australia",8,297,1.030625,"50-59","Geoff Sitford"
"Ange","Chitham","Female",91,"14/02/1991",31,"N/A","Argiculture","Mass Customer","N","No",10,"00003 Hoffman Pass",2560,"NSW","Australia",8,297,1.030625,"30-39","Ange Chitham"
"Tiphanie","Blackader","Female",59,"08/10/1947",74,"Physical Therapy Assistant","Retail","Mass Customer","N","No",17,"71 Stone Corner Avenue",2007,"NSW","Australia",11,297,1.030625,"70-79","Tiphanie Blackader"
"Loleta","Aberdalgy","Female",45,"15/02/1981",41,"Occupational Therapist","Health","Mass Customer","N","No",11,"99 Westend Court",2287,"NSW","Australia",6,304,1.025,"40-49","Loleta Aberdalgy"
"Aldric","Birney","Male",21,"19/08/1971",50,"N/A","Manufacturing","Mass Customer","N","Yes",14,"5 Caliangt Center",2546,"NSW","Australia",6,310,1.02265625,"50-59","Aldric Birney"
"Guss","Karim","Male",95,"24/11/1968",53,"Senior Sales Associate","Manufacturing","Mass Customer","N","No",7,"4 Warner Circle",2227,"NSW","Australia",11,312,1.02,"50-59","Guss Karim"
"Honey","Gosdin","Female",0,"29/11/1981",40,"Software Engineer I","Property","Mass Customer","N","No",17,"066 Warner Trail",2582,"NSW","Australia",9,322,1.0125,"40-49","Honey Gosdin"
"Carry","Costi","Female",32,"26/11/1972",49,"Senior Developer","Property","Mass Customer","N","No",11,"5316 Farwell Hill",2800,"NSW","Australia",4,329,1,"40-49","Carry Costi"
"Vitia","Axtens","Female",62,"08/08/1945",76,"Financial Advisor","Financial Services","Mass Customer","N","Yes",15,"42681 Carey Alley",2011,"NSW","Australia",10,334,0.9987499999999998,"70-79","Vitia Axtens"
"Haskell","Moxted","Male",81,"27/08/1943",78,"Civil Engineer","Manufacturing","Mass Customer","N","No",7,"2941 Talisman Alley",2145,"NSW","Australia",9,334,0.9987499999999998,"70-79","Haskell Moxted"
"Vladimir","Westmerland","Male",18,"19/06/1956",65,"N/A","Manufacturing","Mass Customer","N","Yes",18,"102 Charing Cross Terrace",2640,"NSW","Australia",4,338,0.99609375,"60-69","Vladimir Westmerland"
"Lucilia","Minshall","Female",71,"15/04/1952",70,"N/A","IT","Mass Customer","N","Yes",7,"0237 Mallard Place",2750,"NSW","Australia",8,345,0.988125,"70-79","Lucilia Minshall"
"Cissiee","Pollington","Female",43,"21/07/1941",80,"Associate Professor","Property","Mass Customer","N","Yes",7,"69710 Northfield Center",2256,"NSW","Australia",9,345,0.988125,"80+","Cissiee Pollington"
"Caron","Kezar","Female",11,"08/08/1953",68,"Social Worker","Health","Mass Customer","N","No",5,"40553 Rigney Avenue",2835,"NSW","Australia",1,349,0.9875,"60-69","Caron Kezar"
"Murial","Bulloch","Female",59,"01/10/1964",57,"N/A","Financial Services","Mass Customer","N","No",13,"391 Old Shore Lane",2011,"NSW","Australia",6,349,0.9875,"50-59","Murial Bulloch"
"Muffin","Grigolon","Male",7,"31/10/1979",42,"Senior Editor","Telecommunications","Mass Customer","N","No",12,"4597 Marcy Point",2232,"NSW","Australia",10,361,0.9775,"40-49","Muffin Grigolon"
"Allsun","Biner","Female",67,"26/12/1997",24,"Nurse Practicioner","Financial Services","Mass Customer","N","Yes",10,"9 Walton Way",2641,"NSW","Australia",2,361,0.9775,"20-29","Allsun Biner"
"Clotilda","Southers","Female",62,"08/11/1999",22,"Computer Systems Analyst II","Financial Services","Mass Customer","N","Yes",15,"42 Donald Hill",2323,"NSW","Australia",4,361,0.9775,"20-29","Clotilda Southers"
"Daisi","Tinwell","Female",84,"24/12/1971",50,"Business Systems Development Analyst","Financial Services","Mass Customer","N","No",11,"19561 Express Street",2777,"NSW","Australia",8,366,0.97500000000000009,"50-59","Daisi Tinwell"
"Claresta","MacConnulty","Female",6,"01/10/1957",64,"Recruiting Manager","N/A","Mass Customer","N","Yes",20,"0516 Fremont Point",2026,"NSW","Australia",9,366,0.97500000000000009,"60-69","Claresta MacConnulty"
"Whit","Emloch","Male",30,"20/08/1963",58,"Food Chemist","Health","Mass Customer","N","Yes",6,"105 Carpenter Court",2220,"NSW","Australia",9,372,0.96687499999999993,"50-59","Whit Emloch"
"Rowan","Summerly","Male",4,"05/07/1974",47,"Librarian","Entertainment","Mass Customer","N","No",9,"58231 Tomscot Plaza",2209,"NSW","Australia",10,372,0.96687499999999993,"40-49","Rowan Summerly"
"Gabrila","Toopin","Female",7,"14/01/1963",59,"Junior Executive","Manufacturing","Mass Customer","N","No",12,"1914 Oakridge Place",2456,"NSW","Australia",6,378,0.95624999999999993,"50-59","Gabrila Toopin"
"Arty","Strudwick","Male",85,"31/01/1964",58,"Data Coordiator","Health","Mass Customer","N","Yes",8,"62 Melrose Court",2211,"NSW","Australia",10,382,0.95,"50-59","Arty Strudwick"
"Kizzee","Kemston","Female",11,"29/09/1961",60,"N/A","Health","Mass Customer","N","No",13,"5979 Green Ridge Way",2767,"NSW","Australia",8,386,0.945625,"60-69","Kizzee Kemston"
"Fara","Sarath","Female",75,"30/06/1948",73,"Quality Control Specialist","N/A","Mass Customer","N","No",22,"540 Forest Run Plaza",2168,"NSW","Australia",7,386,0.945625,"70-79","Fara Sarath"
"Kipp","Stockport","Male",36,"10/12/1982",39,"Data Coordiator","Retail","Mass Customer","N","Yes",6,"02 Roth Drive",2022,"NSW","Australia",11,386,0.945625,"30-39","Kipp Stockport"
"Demetria","Bausor","Female",73,"22/12/1961",60,"Assistant Media Planner","Entertainment","Mass Customer","N","Yes",9,"97 Transport Plaza",2097,"NSW","Australia",12,396,0.9375,"60-69","Demetria Bausor"
"Estevan","Eastment","Male",54,"09/08/1942",79,"Environmental Specialist","Health","Mass Customer","N","Yes",21,"61926 Tomscot Hill",2019,"NSW","Australia",8,396,0.9375,"70-79","Estevan Eastment"
"Bastien","Ibbeson","Male",53,"04/11/1976",45,"Software Consultant","IT","Mass Customer","N","No",12,"43094 Kedzie Pass",2487,"NSW","Australia",5,401,0.935,"40-49","Bastien Ibbeson"
"Dodi","Kiggel","Female",5,"15/08/1980",41,"N/A","Financial Services","Mass Customer","N","Yes",13,"05 Everett Trail",2114,"NSW","Australia",11,405,0.93,"40-49","Dodi Kiggel"
"Kippar","Brimilcome","Male",21,"29/11/1938",83,"Graphic Designer","Health","Mass Customer","N","No",19,"082 Welch Lane",2089,"NSW","Australia",11,405,0.93,"80+","Kippar Brimilcome"
"Marcelia","Copins","Female",81,"15/03/1946",76,"N/A","N/A","Mass Customer","N","Yes",21,"330 Melby Terrace",2259,"NSW","Australia",8,409,0.925,"70-79","Marcelia Copins"
"Hilliard","Dullard","Male",65,"18/07/1954",67,"Civil Engineer","Manufacturing","Mass Customer","N","No",17,"37919 Old Gate Park",2163,"NSW","Australia",8,409,0.925,"60-69","Hilliard Dullard"
"Wyn","Meach","Male",37,"10/09/1938",83,"N/A","Manufacturing","Mass Customer","N","No",9,"79 Armistice Junction",2765,"NSW","Australia",9,415,0.92187499999999989,"80+","Wyn Meach"
"Freddi","Litherborough","Female",46,"14/01/1989",33,"Product Engineer","Financial Services","Mass Customer","N","No",7,"7873 Meadow Vale Plaza",2460,"NSW","Australia",3,418,0.918,"30-39","Freddi Litherborough"
"Sherill","","Female",33,"18/12/1991",30,"Information Systems Manager","Financial Services","Mass Customer","N","No",3,"53 Moulton Avenue",2880,"NSW","Australia",1,420,0.91375,"30-39","Sherill "
"Queenie","Learie","Female",90,"24/01/1948",74,"N/A","Property","Mass Customer","N","No",12,"7 Sauthoff Park",2073,"NSW","Australia",11,420,0.91375,"70-79","Queenie Learie"
"Etan","Prinett","Male",97,"21/01/1970",52,"Operator","Argiculture","Mass Customer","N","Yes",10,"9082 Waywood Avenue",2250,"NSW","Australia",8,420,0.91375,"50-59","Etan Prinett"
"Donaugh","Benedict","Male",3,"01/12/1991",30,"Systems Administrator III","Property","Mass Customer","N","No",12,"30049 Brown Road",2233,"NSW","Australia",9,420,0.91375,"30-39","Donaugh Benedict"
"Cheston","Hritzko","Male",70,"08/11/1945",76,"Software Engineer III","Manufacturing","Mass Customer","N","Yes",19,"3 Service Center",2127,"NSW","Australia",9,420,0.91375,"70-79","Cheston Hritzko"
"Jobie","Runacres","Female",96,"08/01/1975",47,"Developer IV","N/A","Mass Customer","N","Yes",18,"24960 Shopko Crossing",2528,"NSW","Australia",7,427,0.9125,"40-49","Jobie Runacres"
"Kipper","Circuit","Male",23,"12/12/1974",47,"Research Assistant IV","Argiculture","Mass Customer","N","Yes",4,"3867 Barby Hill",2140,"NSW","Australia",8,430,0.9095,"40-49","Kipper Circuit"
"Marilin","Frome","Female",58,"22/12/1975",46,"Account Executive","IT","Mass Customer","N","Yes",17,"52 Bobwhite Court",2219,"NSW","Australia",9,430,0.9095,"40-49","Marilin Frome"
"Craggie","Dering","Male",47,"05/10/1952",69,"Actuary","Financial Services","Mass Customer","N","No",7,"11 Paget Road",2125,"NSW","Australia",10,436,0.903125,"60-69","Craggie Dering"
"Theresina","","Female",30,"01/03/1987",35,"General Manager","Argiculture","Mass Customer","N","Yes",14,"253 Katie Junction",2650,"NSW","Australia",2,441,0.901,"30-39","Theresina "
"Gleda","Howerd","Female",59,"22/01/1964",58,"Senior Developer","IT","Mass Customer","N","No",6,"481 Moulton Place",2440,"NSW","Australia",2,444,0.9,"50-59","Gleda Howerd"
"Tristam","Larose","Male",70,"29/01/1985",37,"VP Accounting","Financial Services","Mass Customer","N","No",17,"9645 Moose Terrace",2137,"NSW","Australia",11,455,0.8925,"30-39","Tristam Larose"
"Kori","Sparsholt","Female",59,"19/05/1940",81,"Office Assistant II","N/A","Mass Customer","N","Yes",19,"37 Rigney Park",2171,"NSW","Australia",9,455,0.8925,"80+","Kori Sparsholt"
"Erasmus","Olenchenko","Male",56,"03/02/1965",57,"Software Test Engineer IV","Property","Mass Customer","N","Yes",5,"415 Rockefeller Trail",2484,"NSW","Australia",7,464,0.89062499999999989,"50-59","Erasmus Olenchenko"
"Carita","Sand","Female",25,"20/03/1977",45,"Quality Engineer","Retail","Mass Customer","N","No",16,"846 Loftsgordon Crossing",2154,"NSW","Australia",11,464,0.89062499999999989,"40-49","Carita Sand"
"Lela","Billing","Female",38,"17/12/1970",51,"Programmer Analyst III","N/A","Mass Customer","N","Yes",18,"095 Glacier Hill Circle",2571,"NSW","Australia",7,468,0.88984374999999993,"50-59","Lela Billing"
"Norah","Mapis","Female",75,"09/12/2000",21,"Assistant Manager","Argiculture","Mass Customer","N","No",10,"057 Victoria Crossing",2263,"NSW","Australia",9,468,0.88984374999999993,"20-29","Norah Mapis"
"Laurie","","Male",31,"28/07/1979",42,"Assistant Media Planner","Entertainment","Mass Customer","N","Yes",15,"94 Barby Lane",2210,"NSW","Australia",10,475,0.88187499999999985,"40-49","Laurie "
"Aloysius","Killingsworth","Male",89,"14/02/1957",65,"VP Quality Control","N/A","Mass Customer","N","No",12,"625 Mandrake Junction",2145,"NSW","Australia",9,478,0.88,"60-69","Aloysius Killingsworth"
"Huberto","Mollatt","Male",82,"27/08/1961",60,"Programmer IV","N/A","Mass Customer","N","Yes",14,"31121 Pierstorff Center",2770,"NSW","Australia",7,483,0.8765625,"60-69","Huberto Mollatt"
"Alexina","Mabley","Female",72,"12/10/1975",46,"Web Designer IV","Manufacturing","Mass Customer","N","Yes",10,"9 Rieder Junction",2573,"NSW","Australia",9,486,0.875,"40-49","Alexina Mabley"
"Claudette","Renackowna","Female",55,"11/02/1996",26,"Administrative Officer","Manufacturing","Mass Customer","N","No",2,"0800 Dahle Alley",2148,"NSW","Australia",8,492,0.87124999999999986,"20-29","Claudette Renackowna"
