Customer_ID,First_name,Last_name,Gender,Past_3_Years_Bike_Related_Purchases,DOB,Age,Job_title,Job_industry_category,Wealth_segment,Deceased_indicator,Owns_car,Tenure,Age_Group,Full_name
1249,"Tabb","McKeowon","Male",11,"31/10/1967",54,"N/A","Telecommunications","Mass Customer","N","No",16,"50-59","Tabb McKeowon"
1264,"Michail","Heart","Male",48,"28/02/1994",28,"N/A","Health","Mass Customer","N","Yes",7,"20-29","Michail Heart"
1289,"Shelley","Stroyan","Male",35,"16/07/1973",48,"N/A","N/A","Mass Customer","N","Yes",8,"40-49","Shelley Stroyan"
1294,"Cari","Worling","Female",31,"28/09/1974",47,"N/A","Manufacturing","Mass Customer","N","Yes",15,"40-49","Cari Worling"
1303,"Nollie","Guilliatt","Male",64,"27/04/1972",49,"N/A","Argiculture","Mass Customer","N","No",15,"40-49","Nollie Guilliatt"
1315,"Ebba","Comport","Female",46,"24/06/1973",48,"N/A","IT","Mass Customer","N","Yes",12,"40-49","Ebba Comport"
1319,"Trevor","St. Paul","Male",20,"18/07/1955",66,"N/A","Entertainment","Mass Customer","N","Yes",12,"60-69","Trevor St. Paul"
1335,"Sibylla","Marlon","Female",57,"14/08/1997",24,"N/A","Entertainment","Mass Customer","N","Yes",3,"20-29","Sibylla Marlon"
1368,"Aarika","Magog","Female",54,"14/04/1973",49,"N/A","Property","Mass Customer","N","No",4,"40-49","Aarika Magog"
1374,"Cleveland","Spilling","Male",76,"13/01/1976",46,"N/A","Manufacturing","Mass Customer","N","No",8,"40-49","Cleveland Spilling"
1393,"Adria","MacRorie","Female",96,"10/03/1976",46,"N/A","Manufacturing","Mass Customer","N","No",20,"40-49","Adria MacRorie"
1394,"Freemon","Perago","Male",50,"27/01/1978",44,"N/A","Health","Mass Customer","N","Yes",8,"40-49","Freemon Perago"
1461,"Earl","Skeels","Male",71,"04/01/1957",65,"N/A","Retail","Mass Customer","N","Yes",9,"60-69","Earl Skeels"
1467,"Alysia","Cantrill","Female",1,"16/12/1975",46,"N/A","Manufacturing","Mass Customer","N","Yes",6,"40-49","Alysia Cantrill"
1471,"Berri","Farr","Female",88,"24/02/1978",44,"N/A","Financial Services","Mass Customer","N","No",15,"40-49","Berri Farr"
1500,"Bellina","Bradberry","Female",82,"24/01/1960",62,"N/A","N/A","Mass Customer","N","No",9,"60-69","Bellina Bradberry"
1506,"Andonis","Cochrane","Male",21,"21/02/1958",64,"N/A","Property","Mass Customer","N","No",17,"60-69","Andonis Cochrane"
1520,"Dillie","Wilstead","Male",95,"18/11/1965",56,"N/A","Retail","Mass Customer","N","No",19,"50-59","Dillie Wilstead"
1548,"Perla","Cortnay","Female",70,"03/02/1995",27,"N/A","Manufacturing","Mass Customer","N","Yes",2,"20-29","Perla Cortnay"
1560,"Tymon","Blackstone","Male",14,"12/01/1973",49,"N/A","Retail","Mass Customer","N","No",5,"40-49","Tymon Blackstone"
1613,"Ernesta","Billany","Female",18,"25/05/1977",44,"N/A","Property","Mass Customer","N","No",19,"40-49","Ernesta Billany"
1615,"Evvie","Crack","Female",75,"04/02/1971",51,"N/A","Entertainment","Mass Customer","N","Yes",7,"50-59","Evvie Crack"
1639,"Marna","Showers","Female",9,"17/12/1962",59,"N/A","Manufacturing","Mass Customer","N","Yes",12,"50-59","Marna Showers"
1643,"Manda","Forsey","Female",13,"07/01/1961",61,"N/A","Retail","Mass Customer","N","No",19,"60-69","Manda Forsey"
1653,"Florry","Folbige","Female",80,"29/04/1987",34,"N/A","Argiculture","Mass Customer","N","Yes",12,"30-39","Florry Folbige"
1694,"Tonnie","McLinden","Male",11,"11/10/1959",62,"N/A","IT","Mass Customer","N","Yes",19,"60-69","Tonnie McLinden"
1751,"Sara-ann","Haddick","Female",49,"23/03/1969",53,"N/A","Health","Mass Customer","N","No",4,"50-59","Sara-ann Haddick"
1754,"Zonnya","Tolland","Female",24,"27/11/1965",56,"N/A","Retail","Mass Customer","N","Yes",15,"50-59","Zonnya Tolland"
1769,"Sheridan","Shaves","Male",13,"26/11/1960",61,"N/A","N/A","Mass Customer","N","Yes",5,"60-69","Sheridan Shaves"
1783,"Brett","McCalister","Male",55,"30/07/1995",26,"N/A","Retail","Mass Customer","N","Yes",7,"20-29","Brett McCalister"
1792,"Dunstan","Kegley","Male",1,"07/04/1988",34,"N/A","Financial Services","Mass Customer","N","No",15,"30-39","Dunstan Kegley"
1803,"Clarinda","Edlyn","Female",75,"13/01/1988",34,"N/A","N/A","Mass Customer","N","No",6,"30-39","Clarinda Edlyn"
1811,"Sylvan","Sugge","Male",59,"13/10/1999",22,"N/A","Financial Services","Mass Customer","N","No",1,"20-29","Sylvan Sugge"
1816,"Lonni","Andrichak","Female",68,"25/02/1977",45,"N/A","Argiculture","Mass Customer","N","No",18,"40-49","Lonni Andrichak"
1822,"Trudie","Capper","Female",67,"18/09/1962",59,"N/A","Financial Services","Mass Customer","N","No",9,"50-59","Trudie Capper"
1849,"Jess","Bollans","Male",6,"01/07/1958",63,"N/A","Retail","Mass Customer","N","Yes",5,"60-69","Jess Bollans"
1883,"Jinny","Cawood","Female",6,"13/08/1991",30,"N/A","Health","Mass Customer","N","No",6,"30-39","Jinny Cawood"
1884,"Aurore","Buckmaster","Female",19,"25/11/1969",52,"N/A","Manufacturing","Mass Customer","N","Yes",17,"50-59","Aurore Buckmaster"
1925,"Amaleta","Dickens","Female",34,"28/01/1982",40,"N/A","N/A","Mass Customer","N","Yes",7,"40-49","Amaleta Dickens"
1948,"Elizabeth","Applewhaite","Female",30,"08/06/1964",57,"N/A","Entertainment","Mass Customer","N","No",11,"50-59","Elizabeth Applewhaite"
1971,"Mariel","Dyke","Female",49,"10/02/1998",24,"N/A","Manufacturing","Mass Customer","N","Yes",4,"20-29","Mariel Dyke"
1972,"Obed","Pauler","Male",12,"14/07/1989",32,"N/A","IT","Mass Customer","N","Yes",2,"30-39","Obed Pauler"
1977,"Myrtia","Paschke","Female",28,"04/10/1977",44,"N/A","Manufacturing","Mass Customer","N","Yes",5,"40-49","Myrtia Paschke"
1986,"Melania","Ruske","Female",53,"30/12/1981",40,"N/A","Retail","Mass Customer","N","No",16,"40-49","Melania Ruske"
2036,"Alix","Gilliland","Female",11,"29/04/1977",44,"N/A","N/A","Mass Customer","N","No",17,"40-49","Alix Gilliland"
2052,"Ganny","Sealeaf","Male",5,"30/11/1955",66,"N/A","Retail","Mass Customer","N","Yes",8,"60-69","Ganny Sealeaf"
2054,"Horace","Gilpillan","Male",12,"21/08/1995",26,"N/A","Manufacturing","Mass Customer","N","Yes",22,"20-29","Horace Gilpillan"
2071,"Ardis","Ramelet","Female",69,"07/02/1978",44,"N/A","N/A","Mass Customer","N","No",10,"40-49","Ardis Ramelet"
2074,"Roslyn","Rawdall","Female",90,"11/06/1997",24,"N/A","Financial Services","Mass Customer","N","No",4,"20-29","Roslyn Rawdall"
2083,"Karee","Ortler","Female",5,"18/07/1980",41,"N/A","N/A","Mass Customer","N","No",4,"40-49","Karee Ortler"
2084,"Britni","Menguy","Female",6,"03/10/1986",35,"N/A","IT","Mass Customer","N","Yes",17,"30-39","Britni Menguy"
2146,"Timmie","Lenden","Male",75,"25/01/1967",55,"N/A","N/A","Mass Customer","N","No",13,"50-59","Timmie Lenden"
2161,"Tommie","Mardle","Male",35,"14/01/1998",24,"N/A","Financial Services","Mass Customer","N","No",4,"20-29","Tommie Mardle"
2208,"Lavena","Embling","Female",59,"07/05/1954",67,"N/A","N/A","Mass Customer","N","No",9,"60-69","Lavena Embling"
2211,"Carmelita","Matuskiewicz","Female",3,"27/08/1975",46,"N/A","Manufacturing","Mass Customer","N","Yes",18,"40-49","Carmelita Matuskiewicz"
2230,"Gertruda","Shrimpling","Female",53,"22/12/1977",44,"N/A","N/A","Mass Customer","N","No",19,"40-49","Gertruda Shrimpling"
2237,"Julia","Walden","Female",83,"26/06/1969",52,"N/A","N/A","Mass Customer","N","Yes",9,"50-59","Julia Walden"
2249,"Kiele","Caghan","Female",7,"11/11/1996",25,"N/A","Financial Services","Mass Customer","N","No",5,"20-29","Kiele Caghan"
2265,"Brendan","Vicent","Male",55,"29/07/1980",41,"N/A","Property","Mass Customer","N","Yes",5,"40-49","Brendan Vicent"
2271,"King","Hoston","Male",96,"26/03/1974",48,"N/A","Telecommunications","Mass Customer","N","Yes",18,"40-49","King Hoston"
2300,"Cary","Cockerham","Male",20,"26/09/1998",23,"N/A","Financial Services","Mass Customer","N","Yes",3,"20-29","Cary Cockerham"
2304,"Shelia","Bellew","Female",65,"01/06/1957",64,"N/A","N/A","Mass Customer","N","Yes",11,"60-69","Shelia Bellew"
2342,"Clara","Jakel","Female",87,"17/09/1999",22,"N/A","N/A","Mass Customer","N","No",2,"20-29","Clara Jakel"
2409,"Carolan","Ortler","Female",23,"13/07/1989",32,"N/A","Health","Mass Customer","N","No",12,"30-39","Carolan Ortler"
2455,"Kathe","Heatlie","Female",64,"09/10/1977",44,"N/A","Manufacturing","Mass Customer","N","No",21,"40-49","Kathe Heatlie"
2470,"Roy","Dunaway","Male",70,"04/07/1957",64,"N/A","Argiculture","Mass Customer","N","No",13,"60-69","Roy Dunaway"
2483,"Greta","Cotterrill","Female",54,"06/06/1987",34,"N/A","Manufacturing","Mass Customer","N","No",10,"30-39","Greta Cotterrill"
2490,"Clint","Krause","Male",28,"01/10/1987",34,"N/A","Health","Mass Customer","N","Yes",5,"30-39","Clint Krause"
2504,"Aloysius","Huffer","Male",52,"29/04/2000",21,"N/A","Property","Mass Customer","N","No",2,"20-29","Aloysius Huffer"
2532,"Milli","Hubbert","Female",27,"01/05/1969",52,"N/A","Manufacturing","Mass Customer","N","No",11,"50-59","Milli Hubbert"
2556,"Chucho","Francey","Male",39,"11/08/1988",33,"N/A","Health","Mass Customer","N","Yes",15,"30-39","Chucho Francey"
2557,"Lian","Zarfai","Female",37,"19/08/1978",43,"N/A","N/A","Mass Customer","N","No",19,"40-49","Lian Zarfai"
2574,"Humfrey","Boyse","Male",73,"21/12/1979",42,"N/A","Manufacturing","Mass Customer","N","No",4,"40-49","Humfrey Boyse"
2613,"Trenton","Casaccio","Male",78,"13/06/1966",55,"N/A","Health","Mass Customer","N","Yes",16,"50-59","Trenton Casaccio"
2632,"Krishna","Frood","Male",18,"29/09/1965",56,"N/A","Argiculture","Mass Customer","N","No",16,"50-59","Krishna Frood"
2633,"Shayla","Colnett","Female",47,"18/01/1969",53,"N/A","Property","Mass Customer","N","Yes",12,"50-59","Shayla Colnett"
2658,"Inger","Barnham","Female",82,"11/02/1964",58,"N/A","Manufacturing","Mass Customer","N","Yes",6,"50-59","Inger Barnham"
2677,"Zollie","Exell","Male",34,"08/10/1954",67,"N/A","Financial Services","Mass Customer","N","No",10,"60-69","Zollie Exell"
2685,"Demetria","Shoobridge","Female",42,"06/08/1978",43,"N/A","N/A","Mass Customer","N","No",9,"40-49","Demetria Shoobridge"
2710,"Flory","Standering","Male",77,"30/01/1998",24,"N/A","Retail","Mass Customer","N","No",2,"20-29","Flory Standering"
2721,"Alf","Farnie","Male",3,"03/02/1969",53,"N/A","Manufacturing","Mass Customer","N","Yes",17,"50-59","Alf Farnie"
2722,"Faustine","Peert","Female",1,"28/03/1987",35,"N/A","Health","Mass Customer","N","No",8,"30-39","Faustine Peert"
2737,"Andras","Yurocjkin","Male",28,"20/07/1998",23,"N/A","Retail","Mass Customer","N","Yes",3,"20-29","Andras Yurocjkin"
2756,"Cymbre","Sloey","Female",11,"17/01/1969",53,"N/A","Entertainment","Mass Customer","N","No",8,"50-59","Cymbre Sloey"
2762,"Rozamond","Franceschino","Female",34,"27/11/1992",29,"N/A","Manufacturing","Mass Customer","N","No",9,"20-29","Rozamond Franceschino"
2764,"Callie","Coltart","Female",12,"29/03/1955",67,"N/A","Financial Services","Mass Customer","N","Yes",20,"60-69","Callie Coltart"
2765,"Bartholomew","Gowdy","Male",68,"12/04/1985",37,"N/A","IT","Mass Customer","N","Yes",7,"30-39","Bartholomew Gowdy"
2774,"Danella","Chevers","Female",50,"28/07/1956",65,"N/A","Manufacturing","Mass Customer","N","No",14,"60-69","Danella Chevers"
2776,"Tyson","Pearcy","Male",59,"05/08/1980",41,"N/A","N/A","Mass Customer","N","No",16,"40-49","Tyson Pearcy"
2797,"Agatha","Vowden","Female",6,"10/09/1985",36,"N/A","IT","Mass Customer","N","Yes",14,"30-39","Agatha Vowden"
2801,"Danella","Lines","Female",15,"26/01/1965",57,"N/A","Health","Mass Customer","N","No",10,"50-59","Danella Lines"
2810,"Malvin","Burchill","Male",27,"26/08/1961",60,"N/A","Property","Mass Customer","N","Yes",15,"60-69","Malvin Burchill"
2815,"Emery","Carlett","Male",50,"30/10/1954",67,"N/A","Health","Mass Customer","N","No",19,"60-69","Emery Carlett"
2833,"Cy","Braim","Male",60,"26/11/1999",22,"N/A","IT","Mass Customer","N","Yes",3,"20-29","Cy Braim"
2837,"Caitrin","MacTavish","Female",81,"04/12/1987",34,"N/A","Retail","Mass Customer","N","No",10,"30-39","Caitrin MacTavish"
2842,"Olimpia","Traynor","Female",80,"12/08/1968",53,"N/A","Health","Mass Customer","N","No",6,"50-59","Olimpia Traynor"
2844,"Amie","Felgate","Female",98,"22/11/1975",46,"N/A","Financial Services","Mass Customer","N","Yes",13,"40-49","Amie Felgate"
2870,"Aldis","Chazerand","Male",99,"26/12/1957",64,"N/A","N/A","Mass Customer","N","No",11,"60-69","Aldis Chazerand"
2901,"Banky","Baudichon","Male",77,"11/06/1995",26,"N/A","Manufacturing","Mass Customer","N","Yes",6,"20-29","Banky Baudichon"
2918,"Elli","","Female",58,"15/02/1989",33,"N/A","Financial Services","Mass Customer","N","Yes",5,"30-39","Elli "
2921,"Astrid","Mac Giolla Pheadair","Female",15,"12/04/1976",46,"N/A","Financial Services","Mass Customer","N","No",7,"40-49","Astrid Mac Giolla Pheadair"
2935,"Jessi","Aldwich","Female",41,"23/04/1978",44,"N/A","Manufacturing","Mass Customer","N","No",17,"40-49","Jessi Aldwich"
2941,"Emylee","Pavlov","Female",38,"05/08/1963",58,"N/A","Retail","Mass Customer","N","No",10,"50-59","Emylee Pavlov"
2946,"Paige","Bax","Male",14,"21/11/1990",31,"N/A","Property","Mass Customer","N","Yes",7,"30-39","Paige Bax"
2947,"Standford","Sauter","Male",75,"13/10/1977",44,"N/A","Manufacturing","Mass Customer","N","No",11,"40-49","Standford Sauter"
2949,"Alexa","Simanek","Female",68,"21/09/1977",44,"N/A","Telecommunications","Mass Customer","N","No",17,"40-49","Alexa Simanek"
2986,"Ettore","Bere","Male",60,"01/09/1980",41,"N/A","Financial Services","Mass Customer","N","No",13,"40-49","Ettore Bere"
2995,"Garvin","Cunradi","Male",60,"14/01/1997",25,"N/A","Health","Mass Customer","N","Yes",2,"20-29","Garvin Cunradi"
3006,"Ariel","Dillingston","Female",72,"06/12/1988",33,"N/A","N/A","Mass Customer","N","Yes",21,"30-39","Ariel Dillingston"
3021,"Parker","Lukacs","Male",4,"18/01/1983",39,"N/A","N/A","Mass Customer","N","No",9,"30-39","Parker Lukacs"
3024,"Franz","Craddy","Male",86,"08/01/1959",63,"N/A","Health","Mass Customer","N","No",12,"60-69","Franz Craddy"
3075,"Corty","Debell","Male",36,"24/10/1959",62,"N/A","Entertainment","Mass Customer","N","Yes",16,"60-69","Corty Debell"
3082,"Emlyn","Maile","Male",68,"28/03/1997",25,"N/A","Manufacturing","Mass Customer","N","Yes",2,"20-29","Emlyn Maile"
3083,"Cirillo","Duprey","Male",44,"17/10/1971",50,"N/A","N/A","Mass Customer","N","Yes",12,"50-59","Cirillo Duprey"
3099,"Shelli","Benitti","Female",73,"26/11/1996",25,"N/A","Retail","Mass Customer","N","Yes",3,"20-29","Shelli Benitti"
3106,"Yetty","Conneely","Female",13,"03/06/1989",32,"N/A","Financial Services","Mass Customer","N","Yes",21,"30-39","Yetty Conneely"
3116,"Correy","Loynes","Male",16,"29/06/1978",43,"N/A","Health","Mass Customer","N","No",7,"40-49","Correy Loynes"
3134,"Pierette","Roseman","Female",53,"20/01/1995",27,"N/A","Manufacturing","Mass Customer","N","No",5,"20-29","Pierette Roseman"
3156,"Bearnard","Letixier","Male",23,"28/09/1976",45,"N/A","Financial Services","Mass Customer","N","No",4,"40-49","Bearnard Letixier"
3157,"Hurlee","Fasson","Male",46,"19/07/1997",24,"N/A","Retail","Mass Customer","N","Yes",1,"20-29","Hurlee Fasson"
3161,"Cindie","Naldrett","Female",71,"16/02/1977",45,"N/A","Financial Services","Mass Customer","N","Yes",4,"40-49","Cindie Naldrett"
3186,"Rora","Warre","Female",22,"09/05/1997",24,"N/A","N/A","Mass Customer","N","Yes",2,"20-29","Rora Warre"
3207,"Anica","Halfhyde","Female",46,"29/08/1987",34,"N/A","N/A","Mass Customer","N","No",21,"30-39","Anica Halfhyde"
3236,"Edsel","Arguile","Male",37,"01/04/1993",29,"N/A","Manufacturing","Mass Customer","N","Yes",5,"20-29","Edsel Arguile"
3261,"Benedicto","Blumire","Male",6,"30/01/1975",47,"N/A","Property","Mass Customer","N","Yes",5,"40-49","Benedicto Blumire"
3264,"Garret","Higginbottam","Male",88,"19/08/1978",43,"N/A","Financial Services","Mass Customer","N","Yes",17,"40-49","Garret Higginbottam"
3274,"Tory","Dosdell","Female",44,"26/04/1973",48,"N/A","Financial Services","Mass Customer","N","Yes",18,"40-49","Tory Dosdell"
3304,"Tymothy","Rodder","Male",43,"19/01/1981",41,"N/A","N/A","Mass Customer","N","No",12,"40-49","Tymothy Rodder"
3314,"Blakelee","Tassel","Female",50,"31/10/1972",49,"N/A","Financial Services","Mass Customer","N","Yes",12,"40-49","Blakelee Tassel"
