Customer Name,Customer Email Address,Customer Gender,Customer City,Customer Sales Territory Country,Customer Sales Territory Group,Customer Sales Territory Region,Customer Key,Customer Alternate Key,Customer Title,Customer Street Address,Customer Date of Birth,Customer Commute Distance,Customer First Purchase Date,Customer Education,Customer Occupation,Customer House Owner Indicator,Customer Cars Owned,Customer Marital Status,Customer Children,Customer Phone Number,Customer Annual Income,Customer Country Code,Customer Country,Customer Postal Code,Customer State Province,Customer State Province Code,Customer City State
"Amber Hernandez","amber18@adventure-works.com","F","Torrance","United States","North America","Southwest",16019,"AW00016019","","4021 Rosemarie Place",1984-08-01 00:00:00.000,"5-10 Miles",2013-08-10 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"833-555-0127",60000,"US","United States","90505","California","CA","Torrance, CA"
"Jonathan Wright","jonathan51@adventure-works.com","M","Downey","United States","North America","Southwest",16336,"AW00016336","","5101 Camino Peral",1982-12-06 00:00:00.000,"5-10 Miles",2013-10-01 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"164-555-0112",60000,"US","United States","90241","California","CA","Downey, CA"
"Sophia Baker","sophia15@adventure-works.com","F","Palo Alto","United States","North America","Southwest",16356,"AW00016356","","2532 Jacqueline Drive",1981-06-16 00:00:00.000,"5-10 Miles",2013-07-15 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"199-555-0115",60000,"US","United States","94303","California","CA","Palo Alto, CA"
"Megan Robinson","megan21@adventure-works.com","F","San Gabriel","United States","North America","Southwest",16490,"AW00016490","","6003 San Vincente Drive",1985-11-14 00:00:00.000,"5-10 Miles",2013-05-19 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"506-555-0188",60000,"US","United States","91776","California","CA","San Gabriel, CA"
"Christian Anderson","christian45@adventure-works.com","M","Mill Valley","United States","North America","Southwest",16503,"AW00016503","","6019 Ironwood Way",1980-08-29 00:00:00.000,"5-10 Miles",2013-05-17 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"367-555-0132",60000,"US","United States","94941","California","CA","Mill Valley, CA"
"Nicole Richardson","nicole36@adventure-works.com","F","La Jolla","United States","North America","Southwest",16652,"AW00016652","","2687 Gilberto",1984-08-02 00:00:00.000,"5-10 Miles",2013-07-24 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"302-555-0112",60000,"US","United States","92806","California","CA","La Jolla, CA"
"Lucas Gonzalez","lucas0@adventure-works.com","M","Mill Valley","United States","North America","Southwest",17480,"AW00017480","","304 Diver Way",1984-02-17 00:00:00.000,"5-10 Miles",2013-06-17 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"213-555-0171",60000,"US","United States","94941","California","CA","Mill Valley, CA"
"Alexandria Simmons","alexandria15@adventure-works.com","F","Berkeley","United States","North America","Southwest",17506,"AW00017506","","5970 Meadowbrook Court",1978-10-17 00:00:00.000,"5-10 Miles",2013-02-03 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"117-555-0117",60000,"US","United States","94704","California","CA","Berkeley, CA"
"Jennifer Bailey","jennifer61@adventure-works.com","F","Long Beach","United States","North America","Southwest",18448,"AW00018448","","893 Thornwood Drive",1983-07-02 00:00:00.000,"5-10 Miles",2013-10-13 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"508-555-0164",60000,"US","United States","90802","California","CA","Long Beach, CA"
"George Perez","george28@adventure-works.com","M","Burbank","United States","North America","Southwest",18454,"AW00018454","","9365 G St.",1983-05-23 00:00:00.000,"5-10 Miles",2013-01-29 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"296-555-0110",60000,"US","United States","91502","California","CA","Burbank, CA"
"Nathaniel Rogers","nathaniel21@adventure-works.com","M","La Jolla","United States","North America","Southwest",18473,"AW00018473","","2075 Alvina Dr.",1980-11-23 00:00:00.000,"5-10 Miles",2013-08-06 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"678-555-0114",60000,"US","United States","92806","California","CA","La Jolla, CA"
"James Smith","james75@adventure-works.com","M","Long Beach","United States","North America","Southwest",18474,"AW00018474","","6013 Meier Road",1981-01-07 00:00:00.000,"5-10 Miles",2013-10-02 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"505-555-0184",60000,"US","United States","90802","California","CA","Long Beach, CA"
"Andrea Allen","andrea45@adventure-works.com","F","Glendale","United States","North America","Southwest",18798,"AW00018798","","1658 Stonyhill Circle",1983-12-11 00:00:00.000,"5-10 Miles",2013-10-31 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"306-555-0110",60000,"US","United States","91203","California","CA","Glendale, CA"
"Chase Howard","chase11@adventure-works.com","M","Colma","United States","North America","Southwest",18892,"AW00018892","","4496 Hurlstone Ct.",1983-05-16 00:00:00.000,"5-10 Miles",2013-11-15 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"133-555-0121",60000,"US","United States","94014","California","CA","Colma, CA"
"Michael Davis","michael37@adventure-works.com","M","Concord","United States","North America","Southwest",19671,"AW00019671","","2144 San Rafael",1983-12-30 00:00:00.000,"5-10 Miles",2013-03-26 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"172-555-0156",60000,"US","United States","94519","California","CA","Concord, CA"
"Nicolas Yuan","nicolas4@adventure-works.com","M","Chula Vista","United States","North America","Southwest",19756,"AW00019756","","3168 Limewood Pl.",1983-01-31 00:00:00.000,"5-10 Miles",2013-08-14 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"891-555-0117",60000,"US","United States","91910","California","CA","Chula Vista, CA"
"Sydney Barnes","sydney25@adventure-works.com","F","Redwood City","United States","North America","Southwest",19759,"AW00019759","","8629 English Court",1981-10-04 00:00:00.000,"5-10 Miles",2013-05-29 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"616-555-0166",60000,"US","United States","94063","California","CA","Redwood City, CA"
"Isabella Jones","isabella60@adventure-works.com","F","National City","United States","North America","Southwest",19778,"AW00019778","","623 Chestnut Ave",1981-02-12 00:00:00.000,"5-10 Miles",2013-02-20 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"387-555-0117",60000,"US","United States","91950","California","CA","National City, CA"
"Cole James","cole0@adventure-works.com","M","El Cajon","United States","North America","Southwest",20411,"AW00020411","","9995 Valley View Road",1982-12-03 00:00:00.000,"5-10 Miles",2013-05-14 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"117-555-0150",60000,"US","United States","92020","California","CA","El Cajon, CA"
"Taylor Powell","taylor34@adventure-works.com","F","Berkeley","United States","North America","Southwest",20413,"AW00020413","","7165 Brock Lane",1981-11-03 00:00:00.000,"5-10 Miles",2013-03-23 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"666-555-0172",60000,"US","United States","94704","California","CA","Berkeley, CA"
"Amanda Bailey","amanda6@adventure-works.com","F","Newport Beach","United States","North America","Southwest",20414,"AW00020414","","4915 Pear Dr.",1982-05-23 00:00:00.000,"5-10 Miles",2013-10-11 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"241-555-0141",60000,"US","United States","92625","California","CA","Newport Beach, CA"
"Maria Brooks","maria20@adventure-works.com","F","San Diego","United States","North America","Southwest",20422,"AW00020422","","8375 Ambush Dr..",1986-02-14 00:00:00.000,"5-10 Miles",2013-07-08 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"231-555-0159",60000,"US","United States","92102","California","CA","San Diego, CA"
"Natalie Green","natalie57@adventure-works.com","F","Lemon Grove","United States","North America","Southwest",20435,"AW00020435","","3470 Augustine Dr.",1981-05-25 00:00:00.000,"5-10 Miles",2013-07-16 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"314-555-0118",60000,"US","United States","91945","California","CA","Lemon Grove, CA"
"Robert Scott","robert56@adventure-works.com","M","West Covina","United States","North America","Southwest",20438,"AW00020438","","8313 Canyon Creek Drive",1981-06-20 00:00:00.000,"5-10 Miles",2013-04-11 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"683-555-0131",60000,"US","United States","91791","California","CA","West Covina, CA"
"Julia Smith","julia22@adventure-works.com","F","Fremont","United States","North America","Southwest",21282,"AW00021282","","157 Birch Bark Road",1983-09-07 00:00:00.000,"5-10 Miles",2013-10-09 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"420-555-0153",60000,"US","United States","94536","California","CA","Fremont, CA"
"Mason Collins","mason23@adventure-works.com","M","Daly City","United States","North America","Southwest",21368,"AW00021368","","8903 Suzanne Dr.",1983-03-26 00:00:00.000,"5-10 Miles",2013-06-29 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"882-555-0117",60000,"US","United States","94015","California","CA","Daly City, CA"
"Ethan Diaz","ethan18@adventure-works.com","M","Spring Valley","United States","North America","Southwest",21398,"AW00021398","","3397 Farm Bureau Road",1986-03-21 00:00:00.000,"5-10 Miles",2013-11-25 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"136-555-0124",60000,"US","United States","91977","California","CA","Spring Valley, CA"
"Ian Hughes","ian52@adventure-works.com","M","Woodland Hills","United States","North America","Southwest",21399,"AW00021399","","3162 Chaucer Drive",1981-05-24 00:00:00.000,"5-10 Miles",2013-10-29 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"240-555-0189",60000,"US","United States","91364","California","CA","Woodland Hills, CA"
"Marcus King","marcus29@adventure-works.com","M","Long Beach","United States","North America","Southwest",22152,"AW00022152","","8564 Hickory Drive",1983-08-18 00:00:00.000,"5-10 Miles",2013-12-07 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"964-555-0119",60000,"US","United States","90802","California","CA","Long Beach, CA"
"Brad Yuan","brad6@adventure-works.com","M","Burbank","United States","North America","Southwest",22162,"AW00022162","","9001 Esperanza",1982-10-09 00:00:00.000,"5-10 Miles",2013-06-05 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"658-555-0190",60000,"US","United States","91502","California","CA","Burbank, CA"
"Morgan Scott","morgan10@adventure-works.com","F","Lakewood","United States","North America","Southwest",22163,"AW00022163","","6710 Santa Monica Drive",1982-12-29 00:00:00.000,"5-10 Miles",2013-02-04 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"632-555-0118",60000,"US","United States","90712","California","CA","Lakewood, CA"
"Jeremy Carter","jeremy13@adventure-works.com","M","Lakewood","United States","North America","Southwest",22184,"AW00022184","","5985 Bouncing Road",1981-01-23 00:00:00.000,"5-10 Miles",2013-10-13 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"809-555-0156",60000,"US","United States","90712","California","CA","Lakewood, CA"
"Connor Henderson","connor1@adventure-works.com","M","Palo Alto","United States","North America","Southwest",22185,"AW00022185","","1515 Palm Dr",1980-11-29 00:00:00.000,"5-10 Miles",2013-03-26 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"205-555-0110",60000,"US","United States","94303","California","CA","Palo Alto, CA"
"Jocelyn Barnes","jocelyn3@adventure-works.com","F","Lemon Grove","United States","North America","Southwest",23080,"AW00023080","","1905 July Loop",1983-09-06 00:00:00.000,"5-10 Miles",2013-05-16 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"137-555-0153",60000,"US","United States","91945","California","CA","Lemon Grove, CA"
"Patrick Morgan","patrick18@adventure-works.com","M","Lemon Grove","United States","North America","Southwest",23318,"AW00023318","","3391 Paso Del Rio Court",1984-04-01 00:00:00.000,"5-10 Miles",2013-08-03 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"730-555-0119",60000,"US","United States","91945","California","CA","Lemon Grove, CA"
"Isaiah Green","isaiah40@adventure-works.com","M","Woodland Hills","United States","North America","Southwest",23337,"AW00023337","","8782 Palisade Court",1981-05-06 00:00:00.000,"5-10 Miles",2013-09-28 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"615-555-0196",60000,"US","United States","91364","California","CA","Woodland Hills, CA"
"Lucas Jenkins","lucas56@adventure-works.com","M","Imperial Beach","United States","North America","Southwest",23338,"AW00023338","","2423 Brookview Dr.",1984-12-09 00:00:00.000,"5-10 Miles",2013-08-17 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"708-555-0164",60000,"US","United States","91932","California","CA","Imperial Beach, CA"
"Ryan Johnson","ryan40@adventure-works.com","M","West Covina","United States","North America","Southwest",24232,"AW00024232","","7251 Millfield Place",1984-08-16 00:00:00.000,"5-10 Miles",2013-12-18 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"584-555-0116",60000,"US","United States","91791","California","CA","West Covina, CA"
"Sean Richardson","sean17@adventure-works.com","M","Berkeley","United States","North America","Southwest",24238,"AW00024238","","9277 Claycord Ave.",1984-03-06 00:00:00.000,"5-10 Miles",2013-12-19 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"726-555-0144",60000,"US","United States","94704","California","CA","Berkeley, CA"
"Miguel Hernandez","miguel26@adventure-works.com","M","Imperial Beach","United States","North America","Southwest",24239,"AW00024239","","8370 Birchwood Dr",1984-05-26 00:00:00.000,"5-10 Miles",2013-12-02 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"145-555-0139",60000,"US","United States","91932","California","CA","Imperial Beach, CA"
"Emma Jones","emma2@adventure-works.com","F","Concord","United States","North America","Southwest",24261,"AW00024261","","5123 Gumwood",1982-12-13 00:00:00.000,"5-10 Miles",2013-07-12 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"291-555-0163",60000,"US","United States","94519","California","CA","Concord, CA"
"Brooke Brooks","brooke1@adventure-works.com","F","La Jolla","United States","North America","Southwest",24263,"AW00024263","","1994 South Villa Way",1983-02-12 00:00:00.000,"5-10 Miles",2013-07-12 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"496-555-0117",60000,"US","United States","92806","California","CA","La Jolla, CA"
"Robert Gonzalez","robert51@adventure-works.com","M","Grossmont","United States","North America","Southwest",24289,"AW00024289","","1899 Mayhew Way",1981-06-14 00:00:00.000,"5-10 Miles",2013-04-04 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"962-555-0138",60000,"US","United States","91941","California","CA","Grossmont, CA"
"Naomi Serrano","naomi17@adventure-works.com","F","Burbank","United States","North America","Southwest",25916,"AW00025916","","8018 Pinnacle Drive",1984-01-10 00:00:00.000,"5-10 Miles",2011-05-13 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"871-555-0191",60000,"US","United States","91502","California","CA","Burbank, CA"
"Miguel Bennett","miguel47@adventure-works.com","M","Imperial Beach","United States","North America","Southwest",26546,"AW00026546","","6208 Hedaro Court",1983-12-24 00:00:00.000,"5-10 Miles",2012-05-01 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"180-555-0197",60000,"US","United States","91932","California","CA","Imperial Beach, CA"
"Katelyn Morgan","katelyn21@adventure-works.com","F","Coronado","United States","North America","Southwest",26557,"AW00026557","","8434 Ringing Court",1982-01-10 00:00:00.000,"5-10 Miles",2013-05-11 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"607-555-0179",60000,"US","United States","92118","California","CA","Coronado, CA"
"Kaitlyn Robinson","kaitlyn41@adventure-works.com","F","Lemon Grove","United States","North America","Southwest",26576,"AW00026576","","5288 York Dr.",1980-07-09 00:00:00.000,"5-10 Miles",2013-05-31 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"935-555-0189",60000,"US","United States","91945","California","CA","Lemon Grove, CA"
"Cindy Edwards","cindy20@adventure-works.com","F","Mill Valley","United States","North America","Southwest",26577,"AW00026577","","8468 Clifford Court",1980-08-01 00:00:00.000,"5-10 Miles",2013-06-01 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"882-555-0188",60000,"US","United States","94941","California","CA","Mill Valley, CA"
"Jeremy White","jeremy3@adventure-works.com","M","Mill Valley","United States","North America","Southwest",26578,"AW00026578","","9830 May Way",1981-04-23 00:00:00.000,"5-10 Miles",2013-10-28 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"642-555-0133",60000,"US","United States","94941","California","CA","Mill Valley, CA"
"Jackson Coleman","jackson8@adventure-works.com","M","Coronado","United States","North America","Southwest",27467,"AW00027467","","9919 Macarthur Avenue",1983-09-13 00:00:00.000,"5-10 Miles",2012-12-20 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"159-555-0145",60000,"US","United States","92118","California","CA","Coronado, CA"
"Sheila Alvarez","sheila5@adventure-works.com","F","Chula Vista","United States","North America","Southwest",27478,"AW00027478","","9322 Sinaloa",1982-12-10 00:00:00.000,"5-10 Miles",2013-04-09 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"229-555-0150",60000,"US","United States","91910","California","CA","Chula Vista, CA"
"Alexandra Stewart","alexandra1@adventure-works.com","F","Berkeley","United States","North America","Southwest",28096,"AW00028096","","5935 Isabel",1984-05-18 00:00:00.000,"5-10 Miles",2011-03-15 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"125-555-0117",60000,"US","United States","94704","California","CA","Berkeley, CA"
"Jennifer Barnes","jennifer78@adventure-works.com","F","Chula Vista","United States","North America","Southwest",28097,"AW00028097","","2215 La Corte Bonita",1984-03-02 00:00:00.000,"5-10 Miles",2011-03-09 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"377-555-0139",60000,"US","United States","91910","California","CA","Chula Vista, CA"
"Hannah Williams","hannah3@adventure-works.com","F","Coronado","United States","North America","Southwest",28104,"AW00028104","","495 Alameda Drive",1983-02-18 00:00:00.000,"5-10 Miles",2013-11-29 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"254-555-0139",60000,"US","United States","92118","California","CA","Coronado, CA"
"Chloe Williams","chloe36@adventure-works.com","F","Grossmont","United States","North America","Southwest",28106,"AW00028106","","1663 Almond Drive",1982-11-24 00:00:00.000,"5-10 Miles",2013-04-15 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"746-555-0145",60000,"US","United States","91941","California","CA","Grossmont, CA"
"Dalton Jackson","dalton11@adventure-works.com","M","Fremont","United States","North America","Southwest",28125,"AW00028125","","6598 Hargate Court",1981-03-21 00:00:00.000,"5-10 Miles",2013-12-13 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"598-555-0113",60000,"US","United States","94536","California","CA","Fremont, CA"
"Anna Johnson","anna62@adventure-works.com","F","Glendale","United States","North America","Southwest",28126,"AW00028126","","2633 Dalis Dr.",1980-07-11 00:00:00.000,"5-10 Miles",2013-04-09 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"420-555-0145",60000,"US","United States","91203","California","CA","Glendale, CA"
"Fernando Price","fernando44@adventure-works.com","M","Santa Cruz","United States","North America","Southwest",28127,"AW00028127","","8274 Gladstone Drive",1980-12-15 00:00:00.000,"5-10 Miles",2013-04-07 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"678-555-0146",60000,"US","United States","95062","California","CA","Santa Cruz, CA"
"Angelica Griffin","angelica20@adventure-works.com","F","West Covina","United States","North America","Southwest",29056,"AW00029056","","121 Keith Court",1984-09-01 00:00:00.000,"5-10 Miles",2011-06-10 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"807-555-0129",60000,"US","United States","91791","California","CA","West Covina, CA"
"Jocelyn Perry","jocelyn8@adventure-works.com","F","Downey","United States","North America","Southwest",29059,"AW00029059","","5455 Granola Dr",1983-12-18 00:00:00.000,"5-10 Miles",2011-06-26 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"407-555-0157",60000,"US","United States","90241","California","CA","Downey, CA"
"Arianna Simmons","arianna13@adventure-works.com","F","Lakewood","United States","North America","Southwest",29070,"AW00029070","","24 San Vincente Drive",1983-11-12 00:00:00.000,"5-10 Miles",2011-06-29 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"581-555-0195",60000,"US","United States","90712","California","CA","Lakewood, CA"
"Sydney Smith","sydney64@adventure-works.com","F","Los Angeles","United States","North America","Southwest",29110,"AW00029110","","719 Sycamore Drive",1978-10-09 00:00:00.000,"5-10 Miles",2011-06-17 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Single",0,"641-555-0152",60000,"US","United States","90012","California","CA","Los Angeles, CA"
"Erik Gutierrez","erik11@adventure-works.com","M","Burbank","United States","North America","Southwest",19670,"AW00019670","","9919 Macarthur Avenue",1983-09-13 00:00:00.000,"5-10 Miles",2013-03-13 00:00:00.000,"Partial College","Skilled Manual","Not House Owner",2,"Single",0,"725-555-0195",60000,"US","United States","91502","California","CA","Burbank, CA"
"Emma Bailey","emma33@adventure-works.com","F","Woodland Hills","United States","North America","Southwest",25044,"AW00025044","","3795 Tabora Drive",1981-02-06 00:00:00.000,"5-10 Miles",2013-05-20 00:00:00.000,"Partial College","Skilled Manual","Not House Owner",2,"Single",0,"515-555-0135",60000,"US","United States","91364","California","CA","Woodland Hills, CA"
"David Washington","david46@adventure-works.com","M","La Jolla","United States","North America","Southwest",29060,"AW00029060","","3743 Greenbelt Way",1983-09-29 00:00:00.000,"5-10 Miles",2011-06-20 00:00:00.000,"Partial College","Skilled Manual","Not House Owner",2,"Single",0,"110-555-0116",60000,"US","United States","92806","California","CA","La Jolla, CA"
"Jennifer Russell","jennifer93@adventure-works.com","F","National City","United States","North America","Southwest",11036,"AW00011036","","3981 Augustine Drive",1984-06-16 00:00:00.000,"1-2 Miles",2013-01-22 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"115-555-0183",60000,"US","United States","91950","California","CA","National City, CA"
"Amanda Carter","amanda53@adventure-works.com","F","Glendale","United States","North America","Southwest",11041,"AW00011041","","5826 Escobar",1983-04-15 00:00:00.000,"1-2 Miles",2013-01-14 00:00:00.000,"Partial College","Skilled Manual","House Owner",2,"Married",0,"295-555-0145",60000,"US","United States","91203","California","CA","Glendale, CA"
"Ana Price","ana0@adventure-works.com","F","San Diego","United States","North America","Southwest",11053,"AW00011053","","1660 Stonyhill Circle",1986-02-17 00:00:00.000,"1-2 Miles",2013-01-17 00:00:00.000,"Partial College","Skilled Manual","Not House Owner",2,"Married",0,"859-555-0113",60000,"US","United States","92102","California","CA","San Diego, CA"
"Jessica Henderson","jessica29@adventure-works.com","F","La Jolla","United States","North America","Southwest",11065,"AW00011065","","9343 Ironwood Way",1979-04-08 00:00:00.000,"1-2 Miles",2013-02-10 00:00:00.000,"Partial College","Skilled Manual","Not House Owner",2,"Married",0,"278-555-0186",60000,"US","United States","92806","California","CA","La Jolla, CA"
