CustomerID,Customer,Phone Number,CustomerID.1,Gender,Occupation,Date_of_birth,Source,Age,AgeGroup,Age (groups)
308,"Name 308","372-360-849",308,"M","Engineer",1968,"Radio",54,"mature","mature"
309,"Name 309","458-590-963",309,"M","Engineer",1982,"Radio",40,"young","young"
316,"Name 316","269-525-871",316,"M","Engineer",1983,"Advertisement",39,"young","young"
328,"Name 328","592-817-560",328,"M","Engineer",1975,"Internet",47,"mature","mature"
338,"Name 338","240-770-603",338,"M","Engineer",1983,"Internet",39,"young","young"
340,"Name 340","107-340-838",340,"M","Engineer",1970,"Friends",52,"mature","mature"
344,"Name 344","277-445-757",344,"F","Engineer",1978,"Friends",44,"young","young"
347,"Name 347","179-604-842",347,"F","Engineer",1974,"Advertisement",48,"mature","mature"
354,"Name 354","961-535-243",354,"F","Engineer",1973,"Friends",49,"mature","mature"
356,"Name 356","150-736-136",356,"F","Engineer",1986,"Internet",36,"young","young"
357,"Name 357","970-466-280",357,"M","Engineer",1991,"Advertisement",31,"young","young"
362,"Name 362","208-977-149",362,"M","Engineer",1986,"Friends",36,"young","young"
371,"Name 371","586-808-679",371,"M","Engineer",1962,"Other",60,"old","old"
372,"Name 372","246-245-510",372,"M","Engineer",1969,"Friends",53,"mature","mature"
373,"Name 373","457-155-965",373,"M","Engineer",1987,"Advertisement",35,"young","young"
375,"Name 375","431-207-360",375,"M","Engineer",1972,"Advertisement",50,"mature","mature"
377,"Name 377","752-620-455",377,"M","Engineer",1988,"Friends",34,"young","young"
381,"Name 381","398-727-881",381,"M","Engineer",1973,"Internet",49,"mature","mature"
383,"Name 383","143-203-929",383,"F","Engineer",1991,"Advertisement",31,"young","young"
385,"Name 385","360-845-555",385,"M","Engineer",1972,"Radio",50,"mature","mature"
386,"Name 386","305-298-822",386,"M","Engineer",1973,"Friends",49,"mature","mature"
393,"Name 393","191-627-711",393,"M","Engineer",1992,"Internet",30,"young","young"
394,"Name 394","200-830-894",394,"F","Engineer",1988,"Radio",34,"young","young"
406,"Name 406","778-742-171",406,"M","Engineer",1970,"Friends",52,"mature","mature"
414,"Name 414","659-545-856",414,"F","Engineer",1992,"Friends",30,"young","young"
417,"Name 417","113-437-520",417,"F","Engineer",1988,"Other",34,"young","young"
421,"Name 421","598-930-613",421,"F","Engineer",1984,"Internet",38,"young","young"
422,"Name 422","158-348-861",422,"M","Engineer",1982,"Advertisement",40,"young","young"
423,"Name 423","924-390-584",423,"M","Engineer",1981,"Other",41,"young","young"
427,"Name 427","807-747-133",427,"M","Engineer",1980,"Internet",42,"young","young"
430,"Name 430","452-660-770",430,"M","Engineer",1986,"Internet",36,"young","young"
433,"Name 433","293-663-737",433,"F","Engineer",1977,"Friends",45,"young","young"
437,"Name 437","290-326-306",437,"F","Engineer",1985,"Advertisement",37,"young","young"
442,"Name 442","827-811-891",442,"M","Engineer",1969,"Friends",53,"mature","mature"
443,"Name 443","908-704-559",443,"M","Engineer",1986,"Advertisement",36,"young","young"
449,"Name 449","414-177-440",449,"F","Engineer",1977,"Other",45,"young","young"
450,"Name 450","860-598-437",450,"M","Engineer",1975,"Internet",47,"mature","mature"
453,"Name 453","549-420-554",453,"M","Engineer",1966,"Advertisement",56,"old","old"
455,"Name 455","484-257-822",455,"M","Engineer",1980,"Friends",42,"young","young"
458,"Name 458","302-474-713",458,"M","Engineer",1965,"Friends",57,"old","old"
466,"Name 466","820-569-728",466,"F","Engineer",1976,"Friends",46,"mature","mature"
467,"Name 467","885-138-833",467,"M","Engineer",1983,"Other",39,"young","young"
469,"Name 469","691-615-933",469,"M","Engineer",1988,"Advertisement",34,"young","young"
488,"Name 488","465-452-567",488,"F","Engineer",1968,"Radio",54,"mature","mature"
495,"Name 495","577-630-720",495,"M","Engineer",1985,"Other",37,"young","young"
500,"Name 500","500-752-112",500,"F","Engineer",1965,"Other",57,"old","old"
501,"Name 501","116-267-553",501,"M","Engineer",1988,"Internet",34,"young","young"
504,"Name 504","339-766-582",504,"F","Engineer",1971,"Friends",51,"mature","mature"
507,"Name 507","555-487-324",507,"M","Engineer",1976,"Internet",46,"mature","mature"
509,"Name 509","993-122-513",509,"F","Engineer",1980,"Advertisement",42,"young","young"
510,"Name 510","987-624-911",510,"F","Engineer",1973,"Advertisement",49,"mature","mature"
513,"Name 513","206-552-115",513,"F","Engineer",1979,"Internet",43,"young","young"
520,"Name 520","126-638-830",520,"M","Engineer",1988,"Other",34,"young","young"
521,"Name 521","323-901-422",521,"M","Engineer",1985,"Advertisement",37,"young","young"
522,"Name 522","399-361-118",522,"F","Engineer",1976,"Internet",46,"mature","mature"
528,"Name 528","800-768-853",528,"F","Engineer",1987,"Other",35,"young","young"
538,"Name 538","808-953-131",538,"M","Engineer",1961,"Advertisement",61,"old","old"
549,"Name 549","899-486-568",549,"M","Engineer",1974,"Other",48,"mature","mature"
554,"Name 554","930-734-269",554,"M","Engineer",1982,"Internet",40,"young","young"
570,"Name 570","974-951-662",570,"F","Engineer",1977,"Friends",45,"young","young"
586,"Name 586","533-895-712",586,"F","Engineer",1986,"Other",36,"young","young"
598,"Name 598","453-156-622",598,"F","Engineer",1969,"Radio",53,"mature","mature"
599,"Name 599","318-125-569",599,"M","Engineer",1971,"Radio",51,"mature","mature"
601,"Name 601","641-529-843",601,"M","Engineer",1990,"Other",32,"young","young"
610,"Name 610","125-401-674",610,"F","Engineer",1964,"Other",58,"old","old"
611,"Name 611","711-898-978",611,"F","Engineer",1960,"Advertisement",62,"old","old"
613,"Name 613","361-891-511",613,"M","Engineer",1960,"Radio",62,"old","old"
625,"Name 625","415-644-370",625,"F","Engineer",1962,"Internet",60,"old","old"
626,"Name 626","461-335-594",626,"F","Engineer",1990,"Radio",32,"young","young"
627,"Name 627","994-147-161",627,"F","Engineer",1971,"Friends",51,"mature","mature"
633,"Name 633","843-956-274",633,"F","Engineer",1964,"Other",58,"old","old"
638,"Name 638","295-378-574",638,"M","Engineer",1960,"Internet",62,"old","old"
639,"Name 639","142-211-609",639,"F","Engineer",1966,"Other",56,"old","old"
641,"Name 641","549-335-178",641,"F","Engineer",1975,"Radio",47,"mature","mature"
659,"Name 659","852-169-594",659,"F","Engineer",1963,"Radio",59,"old","old"
662,"Name 662","940-865-504",662,"M","Engineer",1972,"Other",50,"mature","mature"
665,"Name 665","921-901-734",665,"F","Engineer",1981,"Internet",41,"young","young"
670,"Name 670","307-738-403",670,"F","Engineer",1985,"Other",37,"young","young"
671,"Name 671","197-689-453",671,"M","Engineer",1990,"Internet",32,"young","young"
674,"Name 674","259-569-205",674,"M","Engineer",1963,"Radio",59,"old","old"
683,"Name 683","480-568-686",683,"F","Engineer",1979,"Advertisement",43,"young","young"
687,"Name 687","637-858-414",687,"M","Engineer",1960,"Advertisement",62,"old","old"
689,"Name 689","623-332-741",689,"M","Engineer",1965,"Radio",57,"old","old"
691,"Name 691","168-517-427",691,"M","Engineer",1989,"Advertisement",33,"young","young"
696,"Name 696","527-304-522",696,"F","Engineer",1981,"Internet",41,"young","young"
698,"Name 698","545-115-224",698,"M","Engineer",1962,"Other",60,"old","old"
713,"Name 713","526-545-707",713,"M","Engineer",1967,"Friends",55,"mature","mature"
717,"Name 717","146-150-265",717,"M","Engineer",1981,"Advertisement",41,"young","young"
720,"Name 720","953-170-374",720,"F","Engineer",1984,"Other",38,"young","young"
723,"Name 723","394-602-387",723,"F","Engineer",1972,"Friends",50,"mature","mature"
730,"Name 730","150-898-983",730,"M","Engineer",1964,"Internet",58,"old","old"
732,"Name 732","905-125-501",732,"M","Engineer",1972,"Friends",50,"mature","mature"
739,"Name 739","313-616-511",739,"F","Engineer",1989,"Advertisement",33,"young","young"
745,"Name 745","972-538-326",745,"F","Engineer",1985,"Radio",37,"young","young"
749,"Name 749","834-930-160",749,"M","Engineer",1969,"Radio",53,"mature","mature"
756,"Name 756","485-639-657",756,"M","Engineer",1964,"Internet",58,"old","old"
762,"Name 762","254-825-970",762,"M","Engineer",1960,"Advertisement",62,"old","old"
765,"Name 765","840-339-422",765,"M","Engineer",1960,"Advertisement",62,"old","old"
766,"Name 766","179-628-735",766,"M","Engineer",1960,"Other",62,"old","old"
772,"Name 772","905-534-771",772,"F","Engineer",1965,"Advertisement",57,"old","old"
775,"Name 775","561-621-598",775,"F","Engineer",1969,"Radio",53,"mature","mature"
776,"Name 776","934-778-967",776,"F","Engineer",1964,"Advertisement",58,"old","old"
777,"Name 777","167-793-312",777,"F","Engineer",1982,"Other",40,"young","young"
780,"Name 780","709-677-334",780,"F","Engineer",1991,"Advertisement",31,"young","young"
785,"Name 785","244-412-463",785,"M","Engineer",1969,"Advertisement",53,"mature","mature"
788,"Name 788","411-755-304",788,"F","Engineer",1991,"Friends",31,"young","young"
791,"Name 791","999-372-559",791,"M","Engineer",1965,"Radio",57,"old","old"
792,"Name 792","764-756-564",792,"M","Engineer",1965,"Radio",57,"old","old"
793,"Name 793","125-724-319",793,"F","Engineer",1980,"Friends",42,"young","young"
798,"Name 798","371-323-493",798,"F","Engineer",1992,"Other",30,"young","young"
801,"Name 801","763-255-801",801,"F","Engineer",1981,"Radio",41,"young","young"
803,"Name 803","978-562-787",803,"F","Engineer",1960,"Other",62,"old","old"
804,"Name 804","962-204-613",804,"F","Engineer",1982,"Friends",40,"young","young"
814,"Name 814","266-210-505",814,"M","Engineer",1988,"Advertisement",34,"young","young"
818,"Name 818","297-220-930",818,"M","Engineer",1988,"Advertisement",34,"young","young"
825,"Name 825","949-237-237",825,"F","Engineer",1991,"Radio",31,"young","young"
829,"Name 829","147-542-296",829,"F","Engineer",1963,"Radio",59,"old","old"
832,"Name 832","708-264-711",832,"M","Engineer",1967,"Advertisement",55,"mature","mature"
835,"Name 835","436-499-124",835,"M","Engineer",1982,"Radio",40,"young","young"
837,"Name 837","403-154-235",837,"M","Engineer",1981,"Internet",41,"young","young"
843,"Name 843","161-944-605",843,"F","Engineer",1963,"Friends",59,"old","old"
849,"Name 849","594-701-761",849,"M","Engineer",1983,"Advertisement",39,"young","young"
854,"Name 854","100-405-799",854,"M","Engineer",1963,"Internet",59,"old","old"
860,"Name 860","661-205-384",860,"F","Engineer",1985,"Advertisement",37,"young","young"
869,"Name 869","756-576-109",869,"M","Engineer",1986,"Friends",36,"young","young"
882,"Name 882","508-510-329",882,"M","Engineer",1966,"Friends",56,"old","old"
884,"Name 884","388-374-922",884,"M","Engineer",1989,"Internet",33,"young","young"
886,"Name 886","197-397-925",886,"M","Engineer",1990,"Other",32,"young","young"
898,"Name 898","668-868-480",898,"F","Engineer",1972,"Internet",50,"mature","mature"
912,"Name 912","191-655-830",912,"F","Engineer",1961,"Friends",61,"old","old"
920,"Name 920","725-989-579",920,"F","Engineer",1977,"Advertisement",45,"young","young"
921,"Name 921","713-121-903",921,"F","Engineer",1967,"Advertisement",55,"mature","mature"
922,"Name 922","541-601-923",922,"F","Engineer",1986,"Radio",36,"young","young"
927,"Name 927","283-772-445",927,"M","Engineer",1963,"Internet",59,"old","old"
932,"Name 932","682-517-737",932,"F","Engineer",1988,"Advertisement",34,"young","young"
933,"Name 933","140-375-159",933,"F","Engineer",1970,"Radio",52,"mature","mature"
945,"Name 945","765-232-120",945,"F","Engineer",1977,"Other",45,"young","young"
949,"Name 949","403-689-924",949,"M","Engineer",1988,"Radio",34,"young","young"
951,"Name 951","319-833-499",951,"M","Engineer",1963,"Internet",59,"old","old"
953,"Name 953","348-230-173",953,"F","Engineer",1972,"Radio",50,"mature","mature"
954,"Name 954","419-539-702",954,"F","Engineer",1987,"Other",35,"young","young"
958,"Name 958","382-279-289",958,"M","Engineer",1987,"Friends",35,"young","young"
961,"Name 961","630-453-554",961,"M","Engineer",1974,"Other",48,"mature","mature"
975,"Name 975","877-947-355",975,"F","Engineer",1965,"Advertisement",57,"old","old"
982,"Name 982","522-495-941",982,"M","Engineer",1976,"Internet",46,"mature","mature"
988,"Name 988","481-254-119",988,"F","Engineer",1973,"Internet",49,"mature","mature"
994,"Name 994","421-489-749",994,"F","Engineer",1964,"Advertisement",58,"old","old"
998,"Name 998","909-986-910",998,"M","Engineer",1962,"Radio",60,"old","old"
1005,"Name 1005","182-357-343",1005,"M","Engineer",1984,"Advertisement",38,"young","young"
1011,"Name 1011","667-372-214",1011,"M","Engineer",1969,"Internet",53,"mature","mature"
1014,"Name 1014","811-431-848",1014,"F","Engineer",1990,"Advertisement",32,"young","young"
1017,"Name 1017","251-475-337",1017,"F","Engineer",1963,"Friends",59,"old","old"
1027,"Name 1027","239-610-807",1027,"F","Engineer",1975,"Friends",47,"mature","mature"
1028,"Name 1028","394-745-552",1028,"F","Engineer",1970,"Radio",52,"mature","mature"
1031,"Name 1031","231-802-128",1031,"F","Engineer",1982,"Friends",40,"young","young"
1032,"Name 1032","366-828-682",1032,"F","Engineer",1972,"Friends",50,"mature","mature"
1033,"Name 1033","225-611-282",1033,"F","Engineer",1979,"Radio",43,"young","young"
1038,"Name 1038","522-148-441",1038,"M","Engineer",1966,"Radio",56,"old","old"
1042,"Name 1042","992-244-732",1042,"F","Engineer",1968,"Radio",54,"mature","mature"
1049,"Name 1049","880-721-313",1049,"M","Engineer",1962,"Internet",60,"old","old"
1050,"Name 1050","959-562-508",1050,"F","Engineer",1988,"Radio",34,"young","young"
1053,"Name 1053","838-198-997",1053,"M","Engineer",1980,"Advertisement",42,"young","young"
1055,"Name 1055","209-715-723",1055,"F","Engineer",1979,"Other",43,"young","young"
1058,"Name 1058","543-602-974",1058,"M","Engineer",1985,"Friends",37,"young","young"
1060,"Name 1060","870-683-212",1060,"M","Engineer",1972,"Friends",50,"mature","mature"
1063,"Name 1063","504-543-796",1063,"M","Engineer",1973,"Internet",49,"mature","mature"
1070,"Name 1070","192-951-435",1070,"F","Engineer",1991,"Friends",31,"young","young"
1071,"Name 1071","816-921-955",1071,"M","Engineer",1968,"Internet",54,"mature","mature"
1073,"Name 1073","786-609-150",1073,"F","Engineer",1988,"Other",34,"young","young"
1076,"Name 1076","946-108-221",1076,"F","Engineer",1977,"Friends",45,"young","young"
1078,"Name 1078","740-940-151",1078,"F","Engineer",1962,"Internet",60,"old","old"
1086,"Name 1086","470-742-324",1086,"F","Engineer",1982,"Other",40,"young","young"
1093,"Name 1093","322-261-677",1093,"M","Engineer",1961,"Internet",61,"old","old"
1096,"Name 1096","877-389-611",1096,"F","Engineer",1992,"Other",30,"young","young"
1104,"Name 1104","122-142-632",1104,"F","Engineer",1965,"Radio",57,"old","old"
1105,"Name 1105","600-901-131",1105,"M","Engineer",1970,"Advertisement",52,"mature","mature"
1110,"Name 1110","838-844-204",1110,"M","Engineer",1960,"Other",62,"old","old"
1111,"Name 1111","770-452-572",1111,"F","Engineer",1992,"Friends",30,"young","young"
1123,"Name 1123","909-881-381",1123,"F","Engineer",1992,"Internet",30,"young","young"
1134,"Name 1134","830-630-722",1134,"F","Engineer",1976,"Radio",46,"mature","mature"
1135,"Name 1135","271-552-326",1135,"M","Engineer",1986,"Friends",36,"young","young"
1140,"Name 1140","174-657-861",1140,"M","Engineer",1984,"Other",38,"young","young"
1144,"Name 1144","636-780-444",1144,"F","Engineer",1969,"Radio",53,"mature","mature"
1145,"Name 1145","547-460-144",1145,"M","Engineer",1965,"Radio",57,"old","old"
1147,"Name 1147","325-993-495",1147,"F","Engineer",1989,"Internet",33,"young","young"
1156,"Name 1156","700-769-872",1156,"F","Engineer",1976,"Radio",46,"mature","mature"
1164,"Name 1164","136-195-697",1164,"F","Engineer",1990,"Radio",32,"young","young"
1166,"Name 1166","905-764-634",1166,"M","Engineer",1991,"Advertisement",31,"young","young"
1173,"Name 1173","343-451-565",1173,"F","Engineer",1980,"Friends",42,"young","young"
1174,"Name 1174","104-260-648",1174,"F","Engineer",1963,"Internet",59,"old","old"
1175,"Name 1175","680-431-765",1175,"M","Engineer",1981,"Friends",41,"young","young"
1176,"Name 1176","564-122-126",1176,"M","Engineer",1982,"Friends",40,"young","young"
1178,"Name 1178","688-778-389",1178,"M","Engineer",1987,"Other",35,"young","young"
1201,"Name 1201","470-237-262",1201,"F","Engineer",1972,"Other",50,"mature","mature"
1207,"Name 1207","833-103-588",1207,"M","Engineer",1962,"Advertisement",60,"old","old"
1211,"Name 1211","356-574-889",1211,"M","Engineer",1978,"Other",44,"young","young"
1214,"Name 1214","980-779-362",1214,"F","Engineer",1992,"Friends",30,"young","young"
1215,"Name 1215","168-565-546",1215,"F","Engineer",1980,"Other",42,"young","young"
1228,"Name 1228","647-983-460",1228,"F","Engineer",1972,"Radio",50,"mature","mature"
1236,"Name 1236","194-406-819",1236,"M","Engineer",1960,"Friends",62,"old","old"
1242,"Name 1242","662-331-668",1242,"F","Engineer",1960,"Advertisement",62,"old","old"
1244,"Name 1244","322-463-634",1244,"M","Engineer",1984,"Internet",38,"young","young"
1245,"Name 1245","591-381-384",1245,"F","Engineer",1968,"Internet",54,"mature","mature"
1248,"Name 1248","513-534-528",1248,"M","Engineer",1966,"Internet",56,"old","old"
1249,"Name 1249","866-391-504",1249,"F","Engineer",1970,"Internet",52,"mature","mature"
1252,"Name 1252","191-288-709",1252,"F","Engineer",1985,"Radio",37,"young","young"
1255,"Name 1255","798-686-546",1255,"M","Engineer",1976,"Radio",46,"mature","mature"
1257,"Name 1257","743-102-255",1257,"F","Engineer",1992,"Other",30,"young","young"
1264,"Name 1264","752-522-136",1264,"F","Engineer",1988,"Radio",34,"young","young"
1267,"Name 1267","381-104-734",1267,"M","Engineer",1964,"Advertisement",58,"old","old"
1272,"Name 1272","604-353-962",1272,"F","Engineer",1969,"Other",53,"mature","mature"
1273,"Name 1273","204-383-553",1273,"F","Engineer",1974,"Friends",48,"mature","mature"
1,"Name 1","838-624-728",1,"M","Office",1989,"Other",33,"young","young"
3,"Name 3","866-269-520",3,"M","Office",1981,"Radio",41,"young","young"
7,"Name 7","498-280-920",7,"M","Office",1992,"Internet",30,"young","young"
11,"Name 11","569-114-979",11,"M","Office",1961,"Friends",61,"old","old"
12,"Name 12","969-834-158",12,"F","Office",1991,"Other",31,"young","young"
15,"Name 15","169-437-798",15,"M","Office",1976,"Radio",46,"mature","mature"
19,"Name 19","723-602-413",19,"F","Office",1972,"Other",50,"mature","mature"
23,"Name 23","946-495-407",23,"M","Office",1981,"Advertisement",41,"young","young"
24,"Name 24","363-866-856",24,"M","Office",1969,"Internet",53,"mature","mature"
34,"Name 34","441-473-819",34,"M","Office",1986,"Radio",36,"young","young"
37,"Name 37","350-222-298",37,"F","Office",1971,"Internet",51,"mature","mature"
39,"Name 39","177-207-121",39,"F","Office",1975,"Advertisement",47,"mature","mature"
41,"Name 41","888-311-352",41,"M","Office",1964,"Advertisement",58,"old","old"
44,"Name 44","900-496-455",44,"F","Office",1961,"Friends",61,"old","old"
46,"Name 46","647-193-225",46,"F","Office",1984,"Other",38,"young","young"
51,"Name 51","753-612-742",51,"F","Office",1985,"Other",37,"young","young"
57,"Name 57","810-572-405",57,"M","Office",1982,"Friends",40,"young","young"
59,"Name 59","123-358-489",59,"M","Office",1986,"Friends",36,"young","young"
61,"Name 61","598-962-112",61,"M","Office",1973,"Other",49,"mature","mature"
64,"Name 64","585-996-725",64,"M","Office",1987,"Other",35,"young","young"
77,"Name 77","282-831-610",77,"F","Office",1960,"Radio",62,"old","old"
88,"Name 88","874-457-702",88,"M","Office",1979,"Other",43,"young","young"
97,"Name 97","401-351-984",97,"F","Office",1991,"Other",31,"young","young"
107,"Name 107","400-815-160",107,"M","Office",1974,"Advertisement",48,"mature","mature"
109,"Name 109","611-112-762",109,"M","Office",1965,"Radio",57,"old","old"
110,"Name 110","462-284-847",110,"M","Office",1988,"Advertisement",34,"young","young"
117,"Name 117","982-331-529",117,"F","Office",1976,"Advertisement",46,"mature","mature"
118,"Name 118","983-150-447",118,"M","Office",1969,"Radio",53,"mature","mature"
120,"Name 120","831-582-994",120,"F","Office",1961,"Internet",61,"old","old"
128,"Name 128","762-871-402",128,"F","Office",1963,"Internet",59,"old","old"
129,"Name 129","291-277-717",129,"F","Office",1960,"Other",62,"old","old"
142,"Name 142","786-231-971",142,"F","Office",1977,"Other",45,"young","young"
150,"Name 150","337-690-636",150,"M","Office",1961,"Friends",61,"old","old"
152,"Name 152","646-700-811",152,"F","Office",1975,"Radio",47,"mature","mature"
161,"Name 161","969-155-861",161,"F","Office",1971,"Radio",51,"mature","mature"
165,"Name 165","557-533-577",165,"F","Office",1977,"Internet",45,"young","young"
166,"Name 166","113-682-919",166,"F","Office",1985,"Radio",37,"young","young"
170,"Name 170","265-798-876",170,"M","Office",1974,"Other",48,"mature","mature"
172,"Name 172","145-577-208",172,"F","Office",1982,"Internet",40,"young","young"
176,"Name 176","120-935-859",176,"F","Office",1978,"Other",44,"young","young"
181,"Name 181","134-722-661",181,"M","Office",1966,"Radio",56,"old","old"
182,"Name 182","423-440-302",182,"F","Office",1971,"Advertisement",51,"mature","mature"
183,"Name 183","193-828-773",183,"F","Office",1964,"Other",58,"old","old"
186,"Name 186","959-845-607",186,"F","Office",1967,"Radio",55,"mature","mature"
192,"Name 192","280-344-974",192,"M","Office",1965,"Internet",57,"old","old"
201,"Name 201","591-834-688",201,"M","Office",1992,"Radio",30,"young","young"
204,"Name 204","116-258-509",204,"F","Office",1979,"Friends",43,"young","young"
206,"Name 206","788-892-539",206,"F","Office",1972,"Friends",50,"mature","mature"
211,"Name 211","583-272-768",211,"F","Office",1978,"Internet",44,"young","young"
219,"Name 219","126-137-779",219,"M","Office",1991,"Radio",31,"young","young"
231,"Name 231","524-357-564",231,"M","Office",1973,"Other",49,"mature","mature"
234,"Name 234","127-849-378",234,"F","Office",1979,"Radio",43,"young","young"
239,"Name 239","314-476-642",239,"M","Office",1980,"Internet",42,"young","young"
240,"Name 240","335-318-106",240,"M","Office",1969,"Radio",53,"mature","mature"
248,"Name 248","528-199-466",248,"M","Office",1963,"Radio",59,"old","old"
249,"Name 249","158-790-635",249,"M","Office",1967,"Radio",55,"mature","mature"
251,"Name 251","300-677-983",251,"F","Office",1990,"Advertisement",32,"young","young"
253,"Name 253","432-336-216",253,"M","Office",1974,"Other",48,"mature","mature"
256,"Name 256","964-791-688",256,"F","Office",1987,"Advertisement",35,"young","young"
257,"Name 257","421-329-576",257,"F","Office",1968,"Other",54,"mature","mature"
264,"Name 264","797-350-134",264,"F","Office",1967,"Radio",55,"mature","mature"
268,"Name 268","697-452-761",268,"M","Office",1962,"Other",60,"old","old"
