Cod.Vendedor,Vendedor,Supervisor
10595260,"Igor Azevedo","Matheus Siqueira"
10595267,"Raissa Cunha","Ana Bento"
10595270,"Henry Rodrigues","Lucas Pali"
10595271,"João Pedro","Laennder Alves"
10595272,"Ana Sophia","Giovana Lopes"
10595273,"Benício Silva","Matheus Siqueira"
10595278,"Ana Júlia","Giovana Lopes"
10595279,"Malu Fernandes","Ana Bento"
10595280,"Erick Cunha","Lucas Pali"
10595281,"Mateus Santos","Karine Lago"
10595283,"Ana Vitória","Karine Lago"
10595284,"Luiza Gomes","Ana Bento"
10595285,"Antônio Dias","Giovana Lopes"
10595286,"Olívia Pereira","Ana Bento"
10595288,"Lívia Cunha","Karine Lago"
10595292,"Carla Ribeiro","Lucas Pali"
10595294,"Diego Almeida","Matheus Siqueira"
10595298,"Luiz Rodrigues","Matheus Siqueira"
10595300,"Vitória Oliveira","Laennder Alves"
10595303,"Amanda Cavalcanti","Ana Bento"
10595306,"Alícia Rodrigues","Matheus Siqueira"
10595307,"Lucas Gabriel","Laennder Alves"
10595312,"Lorenzo Alves","Matheus Siqueira"
10595317,"Victor Fernandes","Karine Lago"
10595324,"Antônia Goncalves","Ana Bento"
10595327,"Helena Santos","Giovana Lopes"
10595333,"Camila Carvalho","Karine Lago"
10595340,"Nicole Costa","Karine Lago"
20095175,"Arthur Correa","Ana Bento"
20095211,"Yasmin Costa","Giovana Lopes"
20095249,"André Cardoso","Karine Lago"
20095275,"Arthur Henrique","Ana Bento"
20095296,"Manuela Azevedo","Laennder Alves"
20101317,"Caleb Santos","Giovana Lopes"
20101402,"Clarice Azevedo","Laennder Alves"
20195180,"Tânia Araujo","Ana Bento"
20195184,"Leonor Martins","Matheus Siqueira"
20195213,"Sophie Fernandes","Ana Bento"
20195228,"Beatriz Alves","Karine Lago"
20195250,"Renan Rocha","Lucas Pali"
20195262,"Douglas Sousa","Karine Lago"
20195308,"João Miguel","Lucas Pali"
20195314,"Felipe Correa","Ana Bento"
20195328,"Murilo Goncalves","Matheus Siqueira"
20195331,"Lara Souza","Laennder Alves"
20195332,"Isabel Silva","Matheus Siqueira"
20195334,"Gael Santos","Karine Lago"
20195335,"Pedro Carvalho","Giovana Lopes"
20195342,"Louise Carvalho","Laennder Alves"
20195344,"Fernando Correia","Laennder Alves"
20195347,"Isabela Souza","Giovana Lopes"
20195349,"João Victor","Lucas Pali"
20501308,"Matheus Rodrigues","Karine Lago"
20501312,"Vicente Almeida","Giovana Lopes"
20595232,"João Lucas","Giovana Lopes"
20595318,"Rafaela Carvalho","Laennder Alves"
20595319,"Leonardo Barros","Lucas Pali"
20595320,"Letícia Lima","Ana Bento"
20595321,"Maria Sophia","Giovana Lopes"
20595323,"Luan Costa","Giovana Lopes"
20595325,"Isabelly Cavalcanti","Karine Lago"
20595326,"Maria Heloísa","Lucas Pali"
20595330,"Matilde Rocha","Giovana Lopes"
20595338,"Levi Santos","Giovana Lopes"
20595350,"Tiago Castro","Matheus Siqueira"
