Transaction Type,Date,Name,Amount,Job_Type
Invoice,2023-12-15 00:00:00.000,Ecker Designs:Office Expansion,4757.81,Remodel
Invoice,2025-11-03 00:00:00.000,"Nguyen, Tuan:Garage",43.89,Remodel
Invoice,2025-12-10 00:00:00.000,Pretell Real Estate:155 Wilks Blvd.,1715.0,New Construction
Invoice,2025-11-28 00:00:00.000,"Teschner, Anton:Sun Room",8305.95,Remodel
Invoice,2025-06-09 00:00:00.000,"Memeo, Jeanette:Utility Shed",2092.0,New Construction
Invoice,2025-06-04 00:00:00.000,"Fomin, Slava:Utility Shed",2588.13,New Construction
Sales Receipt,2025-05-21 00:00:00.000,Reyes Properties - C:Repairs,840.0,Repairs
Invoice,2025-05-08 00:00:00.000,"Sage, Robert:Remodel",17270.0,Remodel
Invoice,2025-10-30 00:00:00.000,Pretell Real Estate:155 Wilks Blvd.,4948.0,New Construction
Invoice,2025-07-20 00:00:00.000,Samuels Art Supplies:Remodel,13900.0,Remodel
Sales Receipt,2025-11-29 00:00:00.000,Ecker Designs:Office Repairs,3150.0,Repairs
Invoice,2025-10-23 00:00:00.000,"Jacobsen, Doug:Kitchen",3207.75,Remodel
Invoice,2025-11-25 00:00:00.000,"Jacobsen, Doug:Kitchen",4725.0,Remodel
Invoice,2025-04-11 00:00:00.000,"Fisher, Jennifer:Garage Roof",2095.6,Repairs
Invoice,2025-06-30 00:00:00.000,"Craven, Pam:Duct Work",321.8,Repairs
Invoice,2025-05-16 00:00:00.000,"Bristol, Sonya:Utility Shed",2092.0,New Construction
Invoice,2025-11-15 00:00:00.000,"Vitton, David:Remodel Kitchen",700.0,Remodel
Invoice,2025-12-10 00:00:00.000,"Campbell, Heather:Remodel",13900.0,Remodel
Invoice,2025-06-23 00:00:00.000,"Craven, Pam:Duct Work",625.0,Repairs
Invoice,2025-10-10 00:00:00.000,Pretell Real Estate:155 Wilks Blvd.,3439.0,New Construction
Invoice,2025-02-01 00:00:00.000,"Abercrombie, Kristy:Kitchen",5019.08,Repairs
Sales Receipt,2025-10-15 00:00:00.000,"Natiello, Ernesto:Kitchen",717.5,Remodel
Invoice,2025-07-14 00:00:00.000,"Luke, Noelani:Kitchen",11481.8,Remodel
Invoice,2025-08-20 00:00:00.000,Tony's Barber Shop:Remodel,15870.0,Remodel
Sales Receipt,2025-09-11 00:00:00.000,"Freeman, Kirby:Repairs",770.0,Repairs
Invoice,2025-03-15 00:00:00.000,Carr's Pie Shop:Remodel,14900.0,Remodel
